"","date","UA"
"1","2015-07-01",84.260002
"2","2015-07-02",84.589996
"3","2015-07-06",84.580002
"4","2015-07-07",84.940002
"5","2015-07-08",84.389999
"6","2015-07-09",84.489998
"7","2015-07-10",86.239998
"8","2015-07-13",89.349998
"9","2015-07-14",88.800003
"10","2015-07-15",88.279999
"11","2015-07-16",85.349998
"12","2015-07-17",87.220001
"13","2015-07-20",88.949997
"14","2015-07-21",88.339996
"15","2015-07-22",89.370003
"16","2015-07-23",95.93
"17","2015-07-24",96.050003
"18","2015-07-27",96.43
"19","2015-07-28",97.849998
"20","2015-07-29",98.82
"21","2015-07-30",99.279999
"22","2015-07-31",99.330002
"23","2015-08-03",98.260002
"24","2015-08-04",99.349998
"25","2015-08-05",101.040001
"26","2015-08-06",98.190002
"27","2015-08-07",97.93
"28","2015-08-10",98.75
"29","2015-08-11",99.089996
"30","2015-08-12",97.769997
"31","2015-08-13",99.400002
"32","2015-08-14",100.25
"33","2015-08-17",100.739998
"34","2015-08-18",100.360001
"35","2015-08-19",100.059998
"36","2015-08-20",96.650002
"37","2015-08-21",90.029999
"38","2015-08-24",85.440002
"39","2015-08-25",87.019997
"40","2015-08-26",90.760002
"41","2015-08-27",95.690002
"42","2015-08-28",96.410004
"43","2015-08-31",95.529999
"44","2015-09-01",93.160004
"45","2015-09-02",95.639999
"46","2015-09-03",95.629997
"47","2015-09-04",95
"48","2015-09-08",97.07
"49","2015-09-09",95.110001
"50","2015-09-10",96.169998
"51","2015-09-11",96.589996
"52","2015-09-14",96.150002
"53","2015-09-15",98.68
"54","2015-09-16",103.360001
"55","2015-09-17",104.099998
"56","2015-09-18",101.800003
"57","2015-09-21",103.07
"58","2015-09-22",101.889999
"59","2015-09-23",101.43
"60","2015-09-24",102.190002
"61","2015-09-25",103.709999
"62","2015-09-28",100.790001
"63","2015-09-29",93.959999
"64","2015-09-30",96.779999
"65","2015-10-01",98.839996
"66","2015-10-02",100.25
"67","2015-10-05",101.860001
"68","2015-10-06",99.860001
"69","2015-10-07",99.059998
"70","2015-10-08",101.139999
"71","2015-10-09",102.32
"72","2015-10-12",103.349998
"73","2015-10-13",101.300003
"74","2015-10-14",97.279999
"75","2015-10-15",99.489998
"76","2015-10-16",100.080002
"77","2015-10-19",100.449997
"78","2015-10-20",99.970001
"79","2015-10-21",99.150002
"80","2015-10-22",93.809998
"81","2015-10-23",92.019997
"82","2015-10-26",94.059998
"83","2015-10-27",94.730003
"84","2015-10-28",96.540001
"85","2015-10-29",96.360001
"86","2015-10-30",95.080002
"87","2015-11-02",95.699997
"88","2015-11-03",96.400002
"89","2015-11-04",95.300003
"90","2015-11-05",96.029999
"91","2015-11-06",96.010002
"92","2015-11-09",NA
"93","2015-11-10",95.480003
"94","2015-11-11",93.57
"95","2015-11-12",92.360001
"96","2015-11-13",87.43
"97","2015-11-16",90
"98","2015-11-17",84.989998
"99","2015-11-18",87.300003
"100","2015-11-19",89.25
"101","2015-11-20",92.010002
"102","2015-11-23",92.160004
"103","2015-11-24",92.080002
"104","2015-11-25",92.099998
"105","2015-11-27",89.68
"106","2015-11-30",86.220001
"107","2015-12-01",87.18
"108","2015-12-02",86.919998
"109","2015-12-03",84.150002
"110","2015-12-04",87.309998
"111","2015-12-07",86.580002
"112","2015-12-08",87.230003
"113","2015-12-09",86.309998
"114","2015-12-10",85.669998
"115","2015-12-11",82.559998
"116","2015-12-14",NA
"117","2015-12-15",81.519997
"118","2015-12-16",83.110001
"119","2015-12-17",81.269997
"120","2015-12-18",80.870003
"121","2015-12-21",80.970001
"122","2015-12-22",80.370003
"123","2015-12-23",81.989998
"124","2015-12-24",81.199997
"125","2015-12-28",81.220001
"126","2015-12-29",82.25
"127","2015-12-30",80.959999
"128","2015-12-31",80.610001
"129","2016-01-04",79.660004
"130","2016-01-05",80.150002
"131","2016-01-06",79.870003
"132","2016-01-07",78
"133","2016-01-08",75
"134","2016-01-11",69.959999
"135","2016-01-12",72.150002
"136","2016-01-13",71.870003
"137","2016-01-14",69.870003
"138","2016-01-15",68.629997
"139","2016-01-19",67.110001
"140","2016-01-20",67.339996
"141","2016-01-21",69.059998
"142","2016-01-22",70.790001
"143","2016-01-25",68.160004
"144","2016-01-26",67.360001
"145","2016-01-27",68.580002
"146","2016-01-28",84.07
"147","2016-01-29",85.43
"148","2016-02-01",85.129997
"149","2016-02-02",82
"150","2016-02-03",80.900002
"151","2016-02-04",80.540001
"152","2016-02-05",77.330002
"153","2016-02-08",NA
"154","2016-02-09",72.349998
"155","2016-02-10",74.480003
"156","2016-02-11",72.580002
"157","2016-02-12",76.290001
"158","2016-02-16",79.940002
"159","2016-02-17",82.970001
"160","2016-02-18",81.029999
"161","2016-02-19",80.639999
"162","2016-02-22",NA
"163","2016-02-23",80.5
"164","2016-02-24",82.150002
"165","2016-02-25",83.059998
"166","2016-02-26",83.809998
"167","2016-02-29",83.690002
"168","2016-03-01",84.93
"169","2016-03-02",83.93
"170","2016-03-03",83.089996
"171","2016-03-04",84
"172","2016-03-07",83.199997
"173","2016-03-08",81.300003
"174","2016-03-09",80.300003
"175","2016-03-10",81.029999
"176","2016-03-11",82.449997
"177","2016-03-14",81.809998
"178","2016-03-15",81.019997
"179","2016-03-16",81
"180","2016-03-17",83.139999
"181","2016-03-18",84.279999
"182","2016-03-21",NA
"183","2016-03-22",84.449997
"184","2016-03-23",41.207836
"185","2016-03-24",40.582272
"186","2016-03-28",40.582272
"187","2016-03-29",40.582272
"188","2016-03-30",41.704315
"189","2016-03-31",41.426289
"190","2016-04-01",40.800724
"191","2016-04-04",40.800724
"192","2016-04-05",40.800724
"193","2016-04-06",41.505726
"194","2016-04-07",41.267414
"195","2016-04-08",43.710094
"196","2016-04-11",41.168118
"197","2016-04-12",41.356781
"198","2016-04-13",41.505726
"199","2016-04-14",41.932697
"200","2016-04-15",41.704315
"201","2016-04-18",42.121361
"202","2016-04-19",42.697277
"203","2016-04-20",42.458965
"204","2016-04-21",45.408058
"205","2016-04-22",44.742775
"206","2016-04-25",43.948406
"207","2016-04-26",43.640587
"208","2016-04-27",41.86319
"209","2016-04-28",41.595089
"210","2016-04-29",40.512764
"211","2016-05-02",39.986496
"212","2016-05-03",39.837551
"213","2016-05-04",37.12677
"214","2016-05-05",37.226067
"215","2016-05-06",36.123882
"216","2016-05-09",36.054375
"217","2016-05-10",36.292686
"218","2016-05-11",34.981979
"219","2016-05-12",34.942261
"220","2016-05-13",34.465637
"221","2016-05-16",34.296837
"222","2016-05-17",34.227329
"223","2016-05-18",33.979088
"224","2016-05-19",34.604652
"225","2016-05-20",35.329514
"226","2016-05-23",34.584793
"227","2016-05-24",35.329514
"228","2016-05-25",35.230217
"229","2016-05-26",34.67416
"230","2016-05-27",34.813175
"231","2016-05-31",34.723808
"232","2016-06-01",33.482609
