"","date","ARE"
"190","2007-10-03",98.599998
"191","2007-10-04",101.550003
"192","2007-10-05",105.68
"193","2007-10-08",104.879997
"194","2007-10-09",105.050003
"195","2007-10-10",105.349998
"196","2007-10-11",104.989998
"197","2007-10-12",104.230003
"198","2007-10-15",103.07
"199","2007-10-16",101.489998
"200","2007-10-17",101.879997
"201","2007-10-18",102.919998
"202","2007-10-19",100.25
"203","2007-10-22",100.230003
"204","2007-10-23",100.620003
"205","2007-10-24",99.120003
"206","2007-10-25",98.800003
"207","2007-10-26",100
"208","2007-10-29",98.75
"209","2007-10-30",100.809998
"210","2007-10-31",103.139999
"211","2007-11-01",97.709999
"212","2007-11-02",97.900002
"213","2007-11-05",97.839996
"214","2007-11-06",100.849998
"215","2007-11-07",96.559998
"216","2007-11-08",97.830002
"217","2007-11-09",96.599998
"218","2007-11-12",97.129997
"219","2007-11-13",99
"220","2007-11-14",97.190002
"221","2007-11-15",96.959999
"222","2007-11-16",95.889999
"223","2007-11-19",94
"224","2007-11-20",93.190002
"225","2007-11-21",93.470001
"226","2007-11-23",95.449997
"227","2007-11-26",90.260002
"228","2007-11-27",91.959999
"229","2007-11-28",97.110001
"230","2007-11-29",96.690002
"231","2007-11-30",98.230003
"232","2007-12-03",99.199997
"233","2007-12-04",97.360001
"234","2007-12-05",101.290001
"235","2007-12-06",104.360001
"236","2007-12-07",103.949997
"237","2007-12-10",106.199997
"238","2007-12-11",101.709999
"239","2007-12-12",103.309998
"240","2007-12-13",103.480003
"241","2007-12-14",101.260002
"242","2007-12-17",98.879997
"243","2007-12-18",100.860001
"244","2007-12-19",101.589996
"245","2007-12-20",101.059998
"246","2007-12-21",102.480003
"247","2007-12-24",106.190002
"248","2007-12-26",105.019997
"249","2007-12-27",102.910004
"250","2007-12-28",100.720001
"251","2007-12-31",101.669998
"252","2008-01-02",103.019997
"253","2008-01-03",99.220001
"254","2008-01-04",96.010002
"255","2008-01-07",95.720001
"256","2008-01-08",92.519997
"257","2008-01-09",94.519997
"258","2008-01-10",97.300003
"259","2008-01-11",97.709999
"260","2008-01-14",97.959999
"261","2008-01-15",94.220001
"262","2008-01-16",96.709999
"263","2008-01-17",95
"264","2008-01-18",92.279999
"265","2008-01-22",94.470001
"266","2008-01-23",100.449997
"267","2008-01-24",98.68
"268","2008-01-25",99.050003
"269","2008-01-28",103.349998
"270","2008-01-29",101.379997
"271","2008-01-30",96.919998
"272","2008-01-31",98.080002
"273","2008-02-01",100.529999
"274","2008-02-04",100.489998
"275","2008-02-05",98.010002
"276","2008-02-06",95.610001
"277","2008-02-07",98.690002
"278","2008-02-08",95.279999
"279","2008-02-11",95
"280","2008-02-12",96.040001
"281","2008-02-13",96.739998
"282","2008-02-14",94.120003
"283","2008-02-15",94.889999
"284","2008-02-19",94.43
"285","2008-02-20",95.339996
"286","2008-02-21",92.5
"287","2008-02-22",94.07
"288","2008-02-25",96.809998
"289","2008-02-26",96.110001
"290","2008-02-27",95.889999
"291","2008-02-28",94.029999
"292","2008-02-29",91.800003
"293","2008-03-03",91.720001
"294","2008-03-04",91.529999
"295","2008-03-05",91.279999
"296","2008-03-06",87.360001
"297","2008-03-07",88.629997
"298","2008-03-10",86.57
"299","2008-03-11",91.32
"300","2008-03-12",89.57
"301","2008-03-13",91.099998
"302","2008-03-14",89.32
"303","2008-03-17",89.669998
"304","2008-03-18",94.220001
"305","2008-03-19",87.75
"306","2008-03-20",90.589996
"307","2008-03-24",93.879997
"308","2008-03-25",95.059998
"309","2008-03-26",94
"310","2008-03-27",92.779999
"311","2008-03-28",91.959999
"312","2008-03-31",92.720001
"313","2008-04-01",98.360001
"314","2008-04-02",97.07
"315","2008-04-03",99.849998
"316","2008-04-04",98.959999
"317","2008-04-07",99.5
"318","2008-04-08",98.650002
"319","2008-04-09",97.550003
"320","2008-04-10",98.889999
"321","2008-04-11",97.690002
"322","2008-04-14",96.959999
"323","2008-04-15",98.099998
"324","2008-04-16",101.540001
"325","2008-04-17",101.410004
"326","2008-04-18",101.849998
"327","2008-04-21",101.75
"328","2008-04-22",101.949997
"329","2008-04-23",103.839996
"330","2008-04-24",106.669998
"331","2008-04-25",107.040001
"332","2008-04-28",106
"333","2008-04-29",105.32
"334","2008-04-30",105.029999
"335","2008-05-01",106.080002
"336","2008-05-02",104.830002
"337","2008-05-05",105.32
"338","2008-05-06",106.019997
"339","2008-05-07",103.650002
"340","2008-05-08",103.599998
"341","2008-05-09",102.400002
"342","2008-05-12",104.489998
"343","2008-05-13",104.839996
"344","2008-05-14",105.68
"345","2008-05-15",106.889999
"346","2008-05-16",104.75
"347","2008-05-19",104.860001
"348","2008-05-20",103.860001
"349","2008-05-21",101.769997
"350","2008-05-22",102.129997
"351","2008-05-23",101.599998
"352","2008-05-27",103.519997
"353","2008-05-28",102.93
"354","2008-05-29",105.230003
"355","2008-05-30",104.300003
"356","2008-06-02",102.129997
"357","2008-06-03",101.779999
"358","2008-06-04",103.309998
"359","2008-06-05",107.010002
"360","2008-06-06",102.870003
"361","2008-06-09",101.449997
"362","2008-06-10",101.199997
"363","2008-06-11",99.669998
"364","2008-06-12",100.660004
"365","2008-06-13",103.349998
"366","2008-06-16",105.769997
"367","2008-06-17",102.5
"368","2008-06-18",101.669998
"369","2008-06-19",103.720001
"370","2008-06-20",100.720001
"371","2008-06-23",99
"372","2008-06-24",99.080002
"373","2008-06-25",100.889999
"374","2008-06-26",99.080002
"375","2008-06-27",98.110001
"376","2008-06-30",97.339996
"377","2008-07-01",98.690002
"378","2008-07-02",97.970001
"379","2008-07-03",97.529999
"380","2008-07-07",95.690002
"381","2008-07-08",102.190002
"382","2008-07-09",96.830002
"383","2008-07-10",98.599998
"384","2008-07-11",98.07
"385","2008-07-14",95.510002
"386","2008-07-15",94.32
"387","2008-07-16",100.25
"388","2008-07-17",101.730003
"389","2008-07-18",101.199997
"390","2008-07-21",102.599998
"391","2008-07-22",104.580002
"392","2008-07-23",107.230003
"393","2008-07-24",103.199997
"394","2008-07-25",104.220001
"395","2008-07-28",101.57
"396","2008-07-29",105
"397","2008-07-30",104.82
"398","2008-07-31",103.260002
"399","2008-08-01",104.5
"400","2008-08-04",101.440002
"401","2008-08-05",106.739998
"402","2008-08-06",107.349998
"403","2008-08-07",104.25
"404","2008-08-08",107.349998
"405","2008-08-11",109.400002
"406","2008-08-12",106.290001
"407","2008-08-13",105.470001
"408","2008-08-14",107.18
"409","2008-08-15",107.5
"410","2008-08-18",105.919998
"411","2008-08-19",103.800003
"412","2008-08-20",103.330002
"413","2008-08-21",103.160004
"414","2008-08-22",107.5
"415","2008-08-25",104.309998
"416","2008-08-26",105.769997
"417","2008-08-27",106.470001
"418","2008-08-28",109.099998
"419","2008-08-29",107.709999
"420","2008-09-02",108.900002
"421","2008-09-03",110.300003
"422","2008-09-04",107.800003
"423","2008-09-05",106.230003
"424","2008-09-08",109.349998
"425","2008-09-09",107.050003
"426","2008-09-10",109
"427","2008-09-11",109.730003
"428","2008-09-12",111.82
"429","2008-09-15",102.82
"430","2008-09-16",108.589996
"431","2008-09-17",103.849998
"432","2008-09-18",113.949997
"433","2008-09-19",114.050003
"434","2008-09-22",109.25
"435","2008-09-23",109.550003
"436","2008-09-24",109.540001
"437","2008-09-25",112
"438","2008-09-26",113
"439","2008-09-29",107.050003
"440","2008-09-30",112.5
"441","2008-10-01",112.400002
"442","2008-10-02",107.220001
"443","2008-10-03",100.519997
"444","2008-10-06",93.099998
"445","2008-10-07",88.650002
"446","2008-10-08",88.199997
"447","2008-10-09",80.480003
"448","2008-10-10",89.5
"449","2008-10-13",95.830002
"450","2008-10-14",88.709999
"451","2008-10-15",75.029999
