"","date","LAND"
"1","2013-01-29",15
"2","2013-01-30",14.9
"3","2013-01-31",14.63
"4","2013-02-01",15
"5","2013-02-04",15
"6","2013-02-05",15
"7","2013-02-06",14.97
"8","2013-02-07",14.75
"9","2013-02-08",15.05
"10","2013-02-11",15.06
"11","2013-02-12",15.07
"12","2013-02-13",15.06
"13","2013-02-14",15.07
"14","2013-02-15",14.79
"15","2013-02-19",15.1
"16","2013-02-20",14.91
"17","2013-02-21",14.9
"18","2013-02-22",15.1
"19","2013-02-25",14.9
"20","2013-02-26",14.86
"21","2013-02-27",14.83
"22","2013-02-28",15.07
"23","2013-03-01",15.25
"24","2013-03-04",14.91
"25","2013-03-05",15.3
"26","2013-03-06",15.2
"27","2013-03-07",15.37
"28","2013-03-08",15.4
"29","2013-03-11",15.37
"30","2013-03-12",15.35
"31","2013-03-13",15.27
"32","2013-03-14",15.44
"33","2013-03-15",15.25
"34","2013-03-18",15.25
"35","2013-03-19",15.31
"36","2013-03-20",15.34
"37","2013-03-21",15.251
"38","2013-03-22",15.28
"39","2013-03-25",15.41
"40","2013-03-26",15.25
"41","2013-03-27",15
"42","2013-03-28",15.52
"43","2013-04-01",15.79
"44","2013-04-02",15.85
"45","2013-04-03",15.75
"46","2013-04-04",15.85
"47","2013-04-05",16.18
"48","2013-04-08",16.09
"49","2013-04-09",16
"50","2013-04-10",16.629999
"51","2013-04-11",16.73
"52","2013-04-12",17
"53","2013-04-15",17.469999
"54","2013-04-16",17.629999
"55","2013-04-17",17.68
"56","2013-04-18",17.48
"57","2013-04-19",16.889999
"58","2013-04-22",17.200001
"59","2013-04-23",17.129999
"60","2013-04-24",16.889999
"61","2013-04-25",16.99
"62","2013-04-26",16.959999
"63","2013-04-29",16.200001
"64","2013-04-30",16.5
"65","2013-05-01",15.85
"66","2013-05-02",16
"67","2013-05-03",15.99
"68","2013-05-06",15.75
"69","2013-05-07",15.95
"70","2013-05-08",15.99
"71","2013-05-09",16
"72","2013-05-10",16.25
"73","2013-05-13",16.34
"74","2013-05-14",16.41
"75","2013-05-15",16.700001
"76","2013-05-16",16.57
"77","2013-05-17",16.790001
"78","2013-05-20",16.799999
"79","2013-05-21",16.969999
"80","2013-05-22",17.18
"81","2013-05-23",16.98
"82","2013-05-24",16.98
"83","2013-05-28",16.360001
"84","2013-05-29",15.88
"85","2013-05-30",16
"86","2013-05-31",15.29
"87","2013-06-03",15.75
"88","2013-06-04",15.73
"89","2013-06-05",15.9
"90","2013-06-06",15.96
"91","2013-06-07",16.5
"92","2013-06-10",16.280001
"93","2013-06-11",16
"94","2013-06-12",16.33
