"","date","PME"
"1","2011-08-02",9.49
"2","2011-08-03",9.5
"3","2011-08-04",9.5
"4","2011-08-05",9.5
"5","2011-08-08",9.5
"6","2011-08-09",9.5
"7","2011-08-10",9.5
"8","2011-08-11",9.5
"9","2011-08-12",9.5
"10","2011-08-15",9.5
"11","2011-08-16",9.5
"12","2011-08-17",9.5
"13","2011-08-18",9.5
"14","2011-08-19",9.5
"15","2011-08-22",9.5
"16","2011-08-23",9.5
"17","2011-08-24",9.5
"18","2011-08-25",9.5
"19","2011-08-26",9.5
"20","2011-08-29",9.5
"21","2011-08-30",9.5
"22","2011-08-31",9.5
"23","2011-09-01",9.5
"24","2011-09-02",9.5
"25","2011-09-06",9.5
"26","2011-09-07",9.5
"27","2011-09-08",9.5
"28","2011-09-09",9.5
"29","2011-09-12",9.49
"30","2011-09-13",9.49
"31","2011-09-14",9.49
"32","2011-09-15",9.49
"33","2011-09-16",9.49
"34","2011-09-19",9.49
"35","2011-09-20",9.49
"36","2011-09-21",9.49
"37","2011-09-22",9.49
"38","2011-09-23",9.49
"39","2011-09-26",9.49
"40","2011-09-27",9.49
"41","2011-09-28",9.49
"42","2011-09-29",9.49
"43","2011-09-30",9.49
"44","2011-10-03",9.5
"45","2011-10-04",9.5
"46","2011-10-05",9.5
"47","2011-10-06",9.5
"48","2011-10-07",9.5
"49","2011-10-10",9.51
"50","2011-10-11",9.51
"51","2011-10-12",9.5
"52","2011-10-13",9.48
"53","2011-10-14",9.45
"54","2011-10-17",9.52
"55","2011-10-18",9.51
"56","2011-10-19",9.51
"57","2011-10-20",9.49
"58","2011-10-21",9.49
"59","2011-10-24",9.49
"60","2011-10-25",9.49
"61","2011-10-26",9.49
"62","2011-10-27",9.49
"63","2011-10-28",9.49
"64","2011-10-31",9.49
"65","2011-11-01",9.49
"66","2011-11-02",9.49
"67","2011-11-03",9.49
"68","2011-11-04",9.49
"69","2011-11-07",9.49
"70","2011-11-08",9.49
"71","2011-11-09",9.49
"72","2011-11-10",9.49
"73","2011-11-11",9.49
"74","2011-11-14",9.49
"75","2011-11-15",9.49
"76","2011-11-16",9.49
"77","2011-11-17",9.49
"78","2011-11-18",9.49
"79","2011-11-21",9.49
"80","2011-11-22",9.49
"81","2011-11-23",9.49
"82","2011-11-25",9.49
"83","2011-11-28",9.49
"84","2011-11-29",9.49
"85","2011-11-30",9.49
"86","2011-12-01",9.49
"87","2011-12-02",9.49
"88","2011-12-05",9.5
"89","2011-12-06",9.5
"90","2011-12-07",9.5
"91","2011-12-08",9.5
"92","2011-12-09",9.5
"93","2011-12-12",9.54
"94","2011-12-13",9.54
"95","2011-12-14",9.54
"96","2011-12-15",9.54
"97","2011-12-16",9.54
"98","2011-12-19",9.54
"99","2011-12-20",9.54
"100","2011-12-21",9.54
"101","2011-12-22",9.54
"102","2011-12-23",9.54
"103","2011-12-27",9.54
"104","2011-12-28",9.54
"105","2011-12-29",9.54
"106","2011-12-30",9.54
"107","2012-01-03",9.54
"108","2012-01-04",9.54
"109","2012-01-05",9.55
"110","2012-01-06",9.55
"111","2012-01-09",9.55
"112","2012-01-10",9.82
"113","2012-01-11",9.65
"114","2012-01-12",9.76
"115","2012-01-13",9.76
"116","2012-01-17",9.76
"117","2012-01-18",9.76
"118","2012-01-19",9.76
"119","2012-01-20",9.76
"120","2012-01-23",9.76
"121","2012-01-24",9.76
"122","2012-01-25",9.76
"123","2012-01-26",9.76
"124","2012-01-27",9.76
"125","2012-01-30",9.76
"126","2012-01-31",9.76
"127","2012-02-01",9.76
"128","2012-02-02",9.76
"129","2012-02-03",9.76
"130","2012-02-06",9.76
"131","2012-02-07",9.76
"132","2012-02-08",9.62
"133","2012-02-09",9.62
"134","2012-02-10",9.62
"135","2012-02-13",9.62
"136","2012-02-14",9.62
"137","2012-02-15",9.62
"138","2012-02-16",9.62
"139","2012-02-17",9.62
"140","2012-02-21",9.62
"141","2012-02-22",9.62
"142","2012-02-23",9.62
"143","2012-02-24",9.62
"144","2012-02-27",9.62
"145","2012-02-28",9.62
"146","2012-02-29",9.64
"147","2012-03-01",9.61
"148","2012-03-02",9.61
"149","2012-03-05",9.61
"150","2012-03-06",9.61
"151","2012-03-07",9.61
"152","2012-03-08",9.62
"153","2012-03-09",9.62
"154","2012-03-12",9.62
"155","2012-03-13",9.62
"156","2012-03-14",9.62
"157","2012-03-15",9.62
"158","2012-03-16",9.62
"159","2012-03-19",9.62
"160","2012-03-20",9.62
"161","2012-03-21",9.62
"162","2012-03-22",9.62
"163","2012-03-23",9.62
"164","2012-03-26",9.73
"165","2012-03-27",9.65
"166","2012-03-28",9.65
"167","2012-03-29",9.65
"168","2012-03-30",9.61
"169","2012-04-02",9.61
"170","2012-04-03",9.62
"171","2012-04-04",9.62
"172","2012-04-05",9.62
"173","2012-04-09",9.62
"174","2012-04-10",9.62
"175","2012-04-11",9.62
"176","2012-04-12",9.62
"177","2012-04-13",9.62
"178","2012-04-16",9.62
"179","2012-04-17",9.72
"180","2012-04-18",9.72
"181","2012-04-19",9.71
"182","2012-04-20",9.61
"183","2012-04-23",9.65
"184","2012-04-24",9.65
"185","2012-04-25",9.62
"186","2012-04-26",9.66
"187","2012-04-27",9.66
"188","2012-04-30",9.66
"189","2012-05-01",9.66
"190","2012-05-02",9.66
"191","2012-05-03",9.66
"192","2012-05-04",9.7
"193","2012-05-07",9.7
"194","2012-05-08",9.68
"195","2012-05-09",9.7
"196","2012-05-10",9.7
"197","2012-05-11",9.7
"198","2012-05-14",9.7
"199","2012-05-15",9.7
"200","2012-05-16",9.74
"201","2012-05-17",9.74
"202","2012-05-18",9.74
"203","2012-05-21",9.68
"204","2012-05-22",9.68
"205","2012-05-23",9.72
"206","2012-05-24",9.72
"207","2012-05-25",9.65
"208","2012-05-29",9.65
"209","2012-05-30",9.65
"210","2012-05-31",9.67
"211","2012-06-01",9.67
