"","date","RIVE"
"1","2009-09-04",13
"2","2009-09-08",13
"3","2009-09-09",13
"4","2009-09-10",13
"5","2009-09-11",13
"6","2009-09-14",13
"7","2009-09-15",13
"8","2009-09-16",13
"9","2009-09-17",13
"10","2009-09-18",13
"11","2009-09-21",13
"12","2009-09-22",13
"13","2009-09-23",13
"14","2009-09-24",13
"15","2009-09-25",13
"16","2009-09-28",13
"17","2009-09-29",13
"18","2009-09-30",13
"19","2009-10-01",13
"20","2009-10-02",13
"21","2009-10-05",13
"22","2009-10-06",13
"23","2009-10-07",13
"24","2009-10-08",13
"25","2009-10-09",13
"26","2009-10-12",13
"27","2009-10-13",13
"28","2009-10-14",13
"29","2009-10-15",13
"30","2009-10-16",13
"31","2009-10-19",13
"32","2009-10-20",13
"33","2009-10-21",13
"34","2009-10-22",13
"35","2009-10-23",13
"36","2009-10-26",13
"37","2009-10-27",13
"38","2009-10-28",13
"39","2009-10-29",13
"40","2009-10-30",13
"41","2009-11-02",12.15
"42","2009-11-03",12.5
"43","2009-11-04",12.5
"44","2009-11-05",12.5
"45","2009-11-06",12.5
"46","2009-11-09",12.5
"47","2009-11-10",12.5
"48","2009-11-11",12.5
"49","2009-11-12",12.25
"50","2009-11-13",12.25
"51","2009-11-16",12.25
"52","2009-11-17",12.25
"53","2009-11-18",11.2
"54","2009-11-19",12.5
"55","2009-11-20",12
"56","2009-11-23",12
"57","2009-11-24",12
"58","2009-11-25",12
"59","2009-11-27",12.01
"60","2009-11-30",12.01
"61","2009-12-01",12.01
"62","2009-12-02",12.01
"63","2009-12-03",12.01
"64","2009-12-04",12.01
"65","2009-12-07",12.01
"66","2009-12-08",12.01
"67","2009-12-09",12.01
"68","2009-12-10",12.01
"69","2009-12-11",12.01
"70","2009-12-14",12.13
"71","2009-12-15",12.13
"72","2009-12-16",12.13
"73","2009-12-17",12.13
"74","2009-12-18",12.13
"75","2009-12-21",12.13
"76","2009-12-22",12.13
"77","2009-12-23",10.25
"78","2009-12-24",10.25
"79","2009-12-28",10.25
"80","2009-12-29",10.25
"81","2009-12-30",10.25
"82","2009-12-31",10.25
"83","2010-01-04",10.25
"84","2010-01-05",10.05
"85","2010-01-06",10.05
"86","2010-01-07",10
"87","2010-01-08",10
"88","2010-01-11",9.75
"89","2010-01-12",9.5
"90","2010-01-13",9.5
"91","2010-01-14",9.15
"92","2010-01-15",9.15
"93","2010-01-19",9.15
"94","2010-01-20",9.15
"95","2010-01-21",9.15
"96","2010-01-22",9.15
"97","2010-01-25",9.15
"98","2010-01-26",9.5
"99","2010-01-27",8.85
"100","2010-01-28",8.85
"101","2010-01-29",9.5
"102","2010-02-01",9.5
"103","2010-02-02",8.85
"104","2010-02-03",8.85
"105","2010-02-04",8.85
"106","2010-02-05",8.85
"107","2010-02-08",8.85
"108","2010-02-09",8.85
"109","2010-02-10",8.85
"110","2010-02-11",8.85
"111","2010-02-12",8.85
"112","2010-02-16",8.85
"113","2010-02-17",8.85
"114","2010-02-18",8.85
"115","2010-02-19",8.85
"116","2010-02-22",8.75
"117","2010-02-23",8.75
"118","2010-02-24",9.25
"119","2010-02-25",9.25
"120","2010-02-26",9.25
"121","2010-03-01",9.25
"122","2010-03-02",9.25
"123","2010-03-03",9.25
"124","2010-03-04",9.99
"125","2010-03-05",9.99
"126","2010-03-08",10
"127","2010-03-09",10
"128","2010-03-10",10
"129","2010-03-11",10
"130","2010-03-12",9
"131","2010-03-15",9
"132","2010-03-16",8.87
"133","2010-03-17",8.55
"134","2010-03-18",8.5
"135","2010-03-19",8.55
"136","2010-03-22",8.55
"137","2010-03-23",8.55
"138","2010-03-24",8.5
"139","2010-03-25",8.5
"140","2010-03-26",8.5
"141","2010-03-29",8.5
"142","2010-03-30",8.5
"143","2010-03-31",8.5
"144","2010-04-01",8.5
"145","2010-04-05",8.55
"146","2010-04-06",8.55
"147","2010-04-07",8.55
"148","2010-04-08",10
"149","2010-04-09",10
"150","2010-04-12",10
"151","2010-04-13",10
"152","2010-04-14",9.75
"153","2010-04-15",9.75
"154","2010-04-16",9.75
"155","2010-04-19",9
"156","2010-04-20",8.75
"157","2010-04-21",8.75
"158","2010-04-22",8.76
"159","2010-04-23",8.55
"160","2010-04-26",9
"161","2010-04-27",9
"162","2010-04-28",8.99
"163","2010-04-29",8.99
"164","2010-04-30",9
"165","2010-05-03",9.45
"166","2010-05-04",8.99
"167","2010-05-05",8.8
"168","2010-05-06",8.8
"169","2010-05-07",8.8
"170","2010-05-10",8.8
"171","2010-05-11",8.8
"172","2010-05-12",9
"173","2010-05-13",9
"174","2010-05-14",9
"175","2010-05-17",9
"176","2010-05-18",9
"177","2010-05-19",9
"178","2010-05-20",8.6
"179","2010-05-21",8.6
"180","2010-05-24",8.6
"181","2010-05-25",8.6
"182","2010-05-26",9
"183","2010-05-27",9
"184","2010-05-28",9
"185","2010-06-01",9
"186","2010-06-02",9
"187","2010-06-03",9
"188","2010-06-04",9
"189","2010-06-07",9
"190","2010-06-08",9
"191","2010-06-09",9
"192","2010-06-10",9
"193","2010-06-11",9
"194","2010-06-14",9
"195","2010-06-15",9
"196","2010-06-16",9
"197","2010-06-17",9
"198","2010-06-18",8.99
"199","2010-06-21",8.99
"200","2010-06-22",8.99
"201","2010-06-23",8.99
"202","2010-06-24",8.65
"203","2010-06-25",8.65
"204","2010-06-28",8.65
"205","2010-06-29",8.62
"206","2010-06-30",8.62
"207","2010-07-01",9
"208","2010-07-02",9
"209","2010-07-06",8.62
"210","2010-07-07",8.62
