"","date","AEYE"
"1","2013-04-26",28
"2","2013-04-29",35
"3","2013-04-30",32.25
"4","2013-05-01",30
"5","2013-05-02",27.5
"6","2013-05-03",27.5
"7","2013-05-06",28.5
"8","2013-05-07",25
"9","2013-05-08",25
"10","2013-05-09",16.25
"11","2013-05-10",22.5
"12","2013-05-13",19
"13","2013-05-14",23.5
"14","2013-05-15",21.5
"15","2013-05-16",25.25
"16","2013-05-17",24.75
"17","2013-05-20",23.75
"18","2013-05-21",20.25
"19","2013-05-22",18.75
"20","2013-05-23",16.5
"21","2013-05-24",21.5
"22","2013-05-28",21.5
"23","2013-05-29",21.5
"24","2013-05-30",20
"25","2013-05-31",17.5
"26","2013-06-03",16.25
"27","2013-06-04",16.25
"28","2013-06-05",16.25
"29","2013-06-06",15
"30","2013-06-07",16
"31","2013-06-10",16
"32","2013-06-11",15
"33","2013-06-12",16.75
"34","2013-06-13",15
"35","2013-06-14",15
"36","2013-06-17",15
"37","2013-06-18",11.25
"38","2013-06-19",12.5
"39","2013-06-20",13.75
"40","2013-06-21",12.5
"41","2013-06-24",7.5
"42","2013-06-25",8.5
"43","2013-06-26",10
"44","2013-06-27",11.75
"45","2013-06-28",10
"46","2013-07-01",10.5
"47","2013-07-02",10.25
"48","2013-07-03",10.5
"49","2013-07-05",13.5
"50","2013-07-08",12
"51","2013-07-09",12
"52","2013-07-10",12.5
"53","2013-07-11",11.25
"54","2013-07-12",11.25
"55","2013-07-15",11.25
"56","2013-07-16",12.75
"57","2013-07-17",12.75
"58","2013-07-18",10.75
"59","2013-07-19",9.5
"60","2013-07-22",10
"61","2013-07-23",9.25
"62","2013-07-24",8.75
"63","2013-07-25",9.5
"64","2013-07-26",8.75
"65","2013-07-29",8.75
"66","2013-07-30",8.75
"67","2013-07-31",8.75
"68","2013-08-01",10.25
"69","2013-08-02",11.75
"70","2013-08-05",12
"71","2013-08-06",10.75
"72","2013-08-07",11.25
"73","2013-08-08",10
"74","2013-08-09",10.25
"75","2013-08-12",9
"76","2013-08-13",11
"77","2013-08-14",10.25
"78","2013-08-15",9
"79","2013-08-16",10.25
"80","2013-08-19",10
"81","2013-08-20",9.75
"82","2013-08-21",11.75
"83","2013-08-22",11.25
"84","2013-08-23",12
"85","2013-08-26",11.5
"86","2013-08-27",8.75
"87","2013-08-28",12.75
"88","2013-08-29",11.25
"89","2013-08-30",11.25
"90","2013-09-03",12.5
"91","2013-09-04",11.75
"92","2013-09-05",13.25
"93","2013-09-06",11.75
"94","2013-09-09",13
"95","2013-09-10",12.25
"96","2013-09-11",12
"97","2013-09-12",10.25
"98","2013-09-13",12.5
"99","2013-09-16",10.5
"100","2013-09-17",11.75
"101","2013-09-18",11
"102","2013-09-19",10.75
"103","2013-09-20",10.5
"104","2013-09-23",10.5
"105","2013-09-24",10.75
"106","2013-09-25",8.5
"107","2013-09-26",9.75
"108","2013-09-27",9.75
"109","2013-09-30",9.75
"110","2013-10-01",10
"111","2013-10-02",7.5
"112","2013-10-03",8.75
"113","2013-10-04",11.25
"114","2013-10-07",10.75
"115","2013-10-08",12.75
"116","2013-10-09",10.5
"117","2013-10-10",10.5
"118","2013-10-11",12.25
"119","2013-10-14",11.25
"120","2013-10-15",11.5
"121","2013-10-16",10.75
"122","2013-10-17",11.75
"123","2013-10-18",11.75
"124","2013-10-21",11
"125","2013-10-22",11
"126","2013-10-23",11
"127","2013-10-24",11
"128","2013-10-25",10
"129","2013-10-28",10
"130","2013-10-29",10
"131","2013-10-30",10
"132","2013-10-31",9.75
"133","2013-11-01",9.5
"134","2013-11-04",8.25
"135","2013-11-05",8.25
"136","2013-11-06",8.25
"137","2013-11-07",8.25
"138","2013-11-08",8.25
"139","2013-11-11",10
"140","2013-11-12",8.75
"141","2013-11-13",9.25
"142","2013-11-14",6.25
"143","2013-11-15",7
"144","2013-11-18",7.5
"145","2013-11-19",7
"146","2013-11-20",8.5
"147","2013-11-21",10
"148","2013-11-22",10.75
"149","2013-11-25",10.5
"150","2013-11-26",10.25
"151","2013-11-27",9.25
"152","2013-11-29",10.5
"153","2013-12-02",10
"154","2013-12-03",8.75
"155","2013-12-04",8.75
"156","2013-12-05",8
"157","2013-12-06",8.25
"158","2013-12-09",9.5
"159","2013-12-10",9
"160","2013-12-11",8.5
"161","2013-12-12",8
"162","2013-12-13",8.25
"163","2013-12-16",8.5
"164","2013-12-17",8
"165","2013-12-18",9.25
"166","2013-12-19",9
"167","2013-12-20",8.5
"168","2013-12-23",8.75
"169","2013-12-24",8.25
"170","2013-12-26",8.5
"171","2013-12-27",8.5
"172","2013-12-30",8.5
"173","2013-12-31",8.25
"174","2014-01-02",8
"175","2014-01-03",7.5
"176","2014-01-06",8.75
"177","2014-01-07",8.5
"178","2014-01-08",8.5
"179","2014-01-09",8
"180","2014-01-10",7.75
"181","2014-01-13",7.5
"182","2014-01-14",7.5
"183","2014-01-15",7.25
"184","2014-01-16",7.5
"185","2014-01-17",8
"186","2014-01-21",7
"187","2014-01-22",7.5
"188","2014-01-23",7.5
"189","2014-01-24",8
"190","2014-01-27",8.25
"191","2014-01-28",8.25
"192","2014-01-29",7.5
"193","2014-01-30",8
"194","2014-01-31",8.5
"195","2014-02-03",8.5
"196","2014-02-04",8
"197","2014-02-05",7.5
"198","2014-02-06",7.5
"199","2014-02-07",7.5
"200","2014-02-10",7.25
"201","2014-02-11",7.5
"202","2014-02-12",7.5
"203","2014-02-13",7.5
"204","2014-02-14",7.75
"205","2014-02-18",7.5
"206","2014-02-19",7.25
"207","2014-02-20",7.25
"208","2014-02-21",7.25
"209","2014-02-24",7.25
"210","2014-02-25",7.25
"211","2014-02-26",7.25
"212","2014-02-27",7
"213","2014-02-28",6.75
"214","2014-03-03",7
"215","2014-03-04",7
"216","2014-03-05",7
"217","2014-03-06",7
"218","2014-03-07",7
"219","2014-03-10",6.75
"220","2014-03-11",6.75
"221","2014-03-12",7
"222","2014-03-13",7
"223","2014-03-14",6.5
"224","2014-03-17",6.75
"225","2014-03-18",7.5
"226","2014-03-19",8.75
"227","2014-03-20",12
"228","2014-03-21",11.25
"229","2014-03-24",12.75
"230","2014-03-25",11.75
"231","2014-03-26",12
"232","2014-03-27",12.5
"233","2014-03-28",12.25
"234","2014-03-31",12.75
"235","2014-04-01",15.25
"236","2014-04-02",15.5
"237","2014-04-03",16
"238","2014-04-04",15
"239","2014-04-07",15.25
"240","2014-04-08",16.25
"241","2014-04-09",15
"242","2014-04-10",14.75
"243","2014-04-11",14.25
"244","2014-04-14",14.75
"245","2014-04-15",12
"246","2014-04-16",12.25
"247","2014-04-17",13
"248","2014-04-21",13.25
"249","2014-04-22",12.75
"250","2014-04-23",12.5
"251","2014-04-24",12.25
"252","2014-04-25",12.5
"253","2014-04-28",11.25
"254","2014-04-29",11.75
"255","2014-04-30",10.75
"256","2014-05-01",11.25
"257","2014-05-02",11.25
"258","2014-05-05",11.5
"259","2014-05-06",11
"260","2014-05-07",10
"261","2014-05-08",10
"262","2014-05-09",10
"263","2014-05-12",10.5
"264","2014-05-13",10.5
"265","2014-05-14",10.75
"266","2014-05-15",9.75
"267","2014-05-16",9.5
"268","2014-05-19",9.5
"269","2014-05-20",8.75
"270","2014-05-21",9
"271","2014-05-22",9.25
"272","2014-05-23",9.25
"273","2014-05-27",8.5
"274","2014-05-28",8.25
"275","2014-05-29",7.75
"276","2014-05-30",8
"277","2014-06-02",8
"278","2014-06-03",8
"279","2014-06-04",8
"280","2014-06-05",7.5
"281","2014-06-06",7.75
"282","2014-06-09",8.25
"283","2014-06-10",7.75
"284","2014-06-11",7.5
"285","2014-06-12",7
"286","2014-06-13",8
"287","2014-06-16",7.5
"288","2014-06-17",8
"289","2014-06-18",8.5
"290","2014-06-19",8.5
"291","2014-06-20",8.5
"292","2014-06-23",8.5
"293","2014-06-24",8.5
"294","2014-06-25",8.25
"295","2014-06-26",8.25
"296","2014-06-27",8.25
"297","2014-06-30",7.75
"298","2014-07-01",8.25
"299","2014-07-02",14
"300","2014-07-03",13
"301","2014-07-07",15.5
"302","2014-07-08",15
"303","2014-07-09",17.5
"304","2014-07-10",17.25
"305","2014-07-11",18
"306","2014-07-14",18.5
"307","2014-07-15",18.5
"308","2014-07-16",20.5
"309","2014-07-17",20.25
"310","2014-07-18",21.25
"311","2014-07-21",22.75
"312","2014-07-22",26.75
"313","2014-07-23",25.5
"314","2014-07-24",26.25
"315","2014-07-25",25.75
"316","2014-07-28",23
"317","2014-07-29",21.75
"318","2014-07-30",20.25
"319","2014-07-31",20
"320","2014-08-01",19
"321","2014-08-04",19
"322","2014-08-05",19
"323","2014-08-06",19
"324","2014-08-07",19
"325","2014-08-08",21.25
"326","2014-08-11",19.25
"327","2014-08-12",16.5
"328","2014-08-13",17
"329","2014-08-14",17.25
"330","2014-08-15",16.25
"331","2014-08-18",16.75
"332","2014-08-19",18.5
"333","2014-08-20",18
"334","2014-08-21",17.25
"335","2014-08-22",17.25
"336","2014-08-25",16
"337","2014-08-26",16
"338","2014-08-27",16
"339","2014-08-28",17
"340","2014-08-29",17.5
"341","2014-09-02",19.25
"342","2014-09-03",19.25
"343","2014-09-04",19.75
"344","2014-09-05",19.5
"345","2014-09-08",18.5
"346","2014-09-09",17.75
"347","2014-09-10",18.75
"348","2014-09-11",19.5
"349","2014-09-12",18.75
"350","2014-09-15",17.25
