"","date","QFIN"
"1","2018-12-14",16.5
"2","2018-12-17",16.49
"3","2018-12-18",16.5
"4","2018-12-19",16.299999
"5","2018-12-20",16.43
"6","2018-12-21",16.34
"7","2018-12-24",15.15
"8","2018-12-26",15.26
"9","2018-12-27",15.02
"10","2018-12-28",15.74
"11","2018-12-31",15.507
"12","2019-01-02",14.78
"13","2019-01-03",14.57
"14","2019-01-04",14
"15","2019-01-07",13.786
"16","2019-01-08",13.18
"17","2019-01-09",12.12
"18","2019-01-10",11.27
"19","2019-01-11",11.08
"20","2019-01-14",10.05
"21","2019-01-15",12.3
"22","2019-01-16",13.5
"23","2019-01-17",12.6
"24","2019-01-18",13.34
"25","2019-01-22",12.2
"26","2019-01-23",12.63
"27","2019-01-24",13.5
"28","2019-01-25",12.64
"29","2019-01-28",12.36
"30","2019-01-29",12.56
"31","2019-01-30",12.61
"32","2019-01-31",12.7
"33","2019-02-01",12.56
"34","2019-02-04",13
"35","2019-02-05",13.35
"36","2019-02-06",13
"37","2019-02-07",12.41
"38","2019-02-08",12.978
"39","2019-02-11",12.535
"40","2019-02-12",12.68
"41","2019-02-13",12.75
"42","2019-02-14",12.6
"43","2019-02-15",12.75
"44","2019-02-19",13.28
"45","2019-02-20",14.519
"46","2019-02-21",14.51
"47","2019-02-22",16.120001
"48","2019-02-25",16.9
"49","2019-02-26",16.370001
"50","2019-02-27",16.639999
"51","2019-02-28",16.83
"52","2019-03-01",16.93
"53","2019-03-04",17.16
"54","2019-03-05",17.459999
"55","2019-03-06",16.99
"56","2019-03-07",15.76
"57","2019-03-08",14.51
"58","2019-03-11",15.09
"59","2019-03-12",15.3
"60","2019-03-13",14.49
"61","2019-03-14",12.8
"62","2019-03-15",14.6
"63","2019-03-18",16.51
"64","2019-03-19",17.25
"65","2019-03-20",16.43
"66","2019-03-21",16.99
"67","2019-03-22",16.75
"68","2019-03-25",16.1
"69","2019-03-26",15.98
"70","2019-03-27",15.5
"71","2019-03-28",15
"72","2019-03-29",15.35
"73","2019-04-01",15.95
"74","2019-04-02",15.6
"75","2019-04-03",15.32
"76","2019-04-04",15.5
"77","2019-04-05",15.9
"78","2019-04-08",16.969999
"79","2019-04-09",17.27
"80","2019-04-10",17.1
"81","2019-04-11",17.25
"82","2019-04-12",17.030001
"83","2019-04-15",17.200001
"84","2019-04-16",22.690001
"85","2019-04-17",20.700001
"86","2019-04-18",24.1
"87","2019-04-22",22.809999
"88","2019-04-23",21.08
"89","2019-04-24",20.83
"90","2019-04-25",20.74
"91","2019-04-26",19.6
"92","2019-04-29",20.02
"93","2019-04-30",19.870001
"94","2019-05-01",19.780001
"95","2019-05-02",19.959999
"96","2019-05-03",22.18
"97","2019-05-06",21.23
"98","2019-05-07",21.469999
"99","2019-05-08",21.389999
"100","2019-05-09",20.74
"101","2019-05-10",20.440001
"102","2019-05-13",20.6
"103","2019-05-14",19.799999
"104","2019-05-15",19.950001
"105","2019-05-16",18.82
"106","2019-05-17",16.280001
"107","2019-05-20",16.43
"108","2019-05-21",17.57
"109","2019-05-22",17.66
"110","2019-05-23",16.4
"111","2019-05-24",16.27
"112","2019-05-28",16.27
"113","2019-05-29",15.71
"114","2019-05-30",16.5
"115","2019-05-31",16.07
"116","2019-06-03",14.89
"117","2019-06-04",15.6
"118","2019-06-05",14.45
"119","2019-06-06",14.14
"120","2019-06-07",13.58
"121","2019-06-10",14.5
"122","2019-06-11",14.14
"123","2019-06-12",14.38
"124","2019-06-13",14.53
"125","2019-06-14",14.35
"126","2019-06-17",13.67
"127","2019-06-18",13.98
"128","2019-06-19",13.86
"129","2019-06-20",14.2
"130","2019-06-21",13.79
"131","2019-06-24",10.79
"132","2019-06-25",10.7
"133","2019-06-26",11.06
"134","2019-06-27",11.9
"135","2019-06-28",11.75
"136","2019-07-01",11.52
"137","2019-07-02",11.71
"138","2019-07-03",11.6
"139","2019-07-05",11.44
"140","2019-07-08",11.52
"141","2019-07-09",11.4
"142","2019-07-10",11.24
"143","2019-07-11",11.31
"144","2019-07-12",11.26
"145","2019-07-15",10.95
"146","2019-07-16",11.17
"147","2019-07-17",11.15
"148","2019-07-18",11.54
"149","2019-07-19",11.21
"150","2019-07-22",10.89
"151","2019-07-23",11.37
"152","2019-07-24",11.42
"153","2019-07-25",10.93
"154","2019-07-26",10.84
"155","2019-07-29",10.85
"156","2019-07-30",10.82
"157","2019-07-31",10.74
"158","2019-08-01",10.81
"159","2019-08-02",10.5
"160","2019-08-05",10.04
"161","2019-08-06",10.17
"162","2019-08-07",10.22
"163","2019-08-08",10.3
"164","2019-08-09",10.28
"165","2019-08-12",9.75
"166","2019-08-13",10
"167","2019-08-14",9.87
"168","2019-08-15",10
"169","2019-08-16",10.48
"170","2019-08-19",10.29
"171","2019-08-20",10.17
"172","2019-08-21",10.65
"173","2019-08-22",10.6
"174","2019-08-23",9.99
"175","2019-08-26",10.01
"176","2019-08-27",9.84
"177","2019-08-28",9.44
"178","2019-08-29",9.28
"179","2019-08-30",9.96
"180","2019-09-03",9.81
"181","2019-09-04",9.63
"182","2019-09-05",10.47
"183","2019-09-06",9.9
