"","date","FCAP"
"1","2007-01-03",18.5
"2","2007-01-04",18.5
"3","2007-01-05",18.5
"4","2007-01-08",18.15
"5","2007-01-09",18.15
"6","2007-01-10",18.290001
"7","2007-01-11",18.549999
"8","2007-01-12",18.25
"9","2007-01-16",18.25
"10","2007-01-17",18.18
"11","2007-01-18",18.120001
"12","2007-01-19",18.65
"13","2007-01-22",18.65
"14","2007-01-23",18.4
"15","2007-01-24",18
"16","2007-01-25",18.129999
"17","2007-01-26",18.129999
"18","2007-01-29",18.24
"19","2007-01-30",18.24
"20","2007-01-31",18.24
"21","2007-02-01",18.24
"22","2007-02-02",18.24
"23","2007-02-05",18.24
"24","2007-02-06",18.24
"25","2007-02-07",18.24
"26","2007-02-08",18.24
"27","2007-02-09",18.24
"28","2007-02-12",18.24
"29","2007-02-13",18.24
"30","2007-02-14",18.24
"31","2007-02-15",18.25
"32","2007-02-16",18.25
"33","2007-02-20",18.209999
"34","2007-02-21",18.120001
"35","2007-02-22",18.25
"36","2007-02-23",18.25
"37","2007-02-26",18.25
"38","2007-02-27",18.25
"39","2007-02-28",18.25
"40","2007-03-01",18.25
"41","2007-03-02",18.25
"42","2007-03-05",18.25
"43","2007-03-06",18.25
"44","2007-03-07",18.02
"45","2007-03-08",18.24
"46","2007-03-09",18.24
"47","2007-03-12",18.24
"48","2007-03-13",18.07
"49","2007-03-14",18.07
"50","2007-03-15",18.07
"51","2007-03-16",18.07
"52","2007-03-19",18.01
"53","2007-03-20",18.01
"54","2007-03-21",18.01
"55","2007-03-22",18.01
"56","2007-03-23",17.77
"57","2007-03-26",17.57
"58","2007-03-27",17.57
"59","2007-03-28",18
"60","2007-03-29",18
"61","2007-03-30",17.98
"62","2007-04-02",17.98
"63","2007-04-03",17.98
"64","2007-04-04",17.57
"65","2007-04-05",17.57
"66","2007-04-09",17.57
"67","2007-04-10",17.700001
"68","2007-04-11",17.700001
"69","2007-04-12",17.700001
"70","2007-04-13",18.17
"71","2007-04-16",18
"72","2007-04-17",17.99
"73","2007-04-18",17.99
"74","2007-04-19",17.52
"75","2007-04-20",18.049999
"76","2007-04-23",18.049999
"77","2007-04-24",18.049999
"78","2007-04-25",17.879999
"79","2007-04-26",18
"80","2007-04-27",18
"81","2007-04-30",18.200001
"82","2007-05-01",18.07
"83","2007-05-02",18.09
"84","2007-05-03",18.09
"85","2007-05-04",18.1
"86","2007-05-07",18.190001
"87","2007-05-08",18.200001
"88","2007-05-09",17.780001
"89","2007-05-10",18.129999
"90","2007-05-11",18.129999
"91","2007-05-14",17.98
"92","2007-05-15",17.98
"93","2007-05-16",17.98
"94","2007-05-17",17.98
"95","2007-05-18",17.98
"96","2007-05-21",17.98
"97","2007-05-22",17.98
"98","2007-05-23",17.98
"99","2007-05-24",17.59
"100","2007-05-25",17.969999
"101","2007-05-29",17.65
"102","2007-05-30",17.65
"103","2007-05-31",17.65
"104","2007-06-01",18
"105","2007-06-04",18
"106","2007-06-05",18
"107","2007-06-06",18
"108","2007-06-07",18
"109","2007-06-08",18
"110","2007-06-11",17.9
"111","2007-06-12",17.709999
"112","2007-06-13",17.709999
"113","2007-06-14",17.709999
"114","2007-06-15",17.709999
"115","2007-06-18",17.709999
"116","2007-06-19",17.75
"117","2007-06-20",17.75
"118","2007-06-21",17.75
"119","2007-06-22",17.75
"120","2007-06-25",17.75
"121","2007-06-26",17.75
"122","2007-06-27",17.75
"123","2007-06-28",17.99
"124","2007-06-29",18
"125","2007-07-02",18
"126","2007-07-03",17.83
"127","2007-07-05",18.17
"128","2007-07-06",18
"129","2007-07-09",18
"130","2007-07-10",18
