"","date","ETSY"
"1","2015-04-16",30
"2","2015-04-17",27.58
"3","2015-04-20",24.9
"4","2015-04-21",25.75
"5","2015-04-22",25.120001
"6","2015-04-23",25.620001
"7","2015-04-24",25.58
"8","2015-04-27",25.9
"9","2015-04-28",24.49
"10","2015-04-29",22.42
"11","2015-04-30",22.24
"12","2015-05-01",21.75
"13","2015-05-04",23.24
"14","2015-05-05",24.15
"15","2015-05-06",23.4
"16","2015-05-07",23.690001
"17","2015-05-08",22.709999
"18","2015-05-11",20.85
"19","2015-05-12",20.57
"20","2015-05-13",19.83
"21","2015-05-14",20.6
"22","2015-05-15",20.049999
"23","2015-05-18",20.559999
"24","2015-05-19",21
"25","2015-05-20",17.200001
"26","2015-05-21",17.51
"27","2015-05-22",17.17
"28","2015-05-26",17.09
"29","2015-05-27",17.059999
"30","2015-05-28",17.040001
"31","2015-05-29",16.76
"32","2015-06-01",16.049999
"33","2015-06-02",15.86
"34","2015-06-03",15.32
"35","2015-06-04",15.07
"36","2015-06-05",15.03
"37","2015-06-08",14.86
"38","2015-06-09",15.99
"39","2015-06-10",16.780001
"40","2015-06-11",16.860001
"41","2015-06-12",16.639999
"42","2015-06-15",16.32
"43","2015-06-16",16.290001
"44","2015-06-17",15.77
"45","2015-06-18",15.33
"46","2015-06-19",14.31
"47","2015-06-22",14.42
"48","2015-06-23",14.34
"49","2015-06-24",14.39
"50","2015-06-25",14.9
"51","2015-06-26",14.25
"52","2015-06-29",14.23
"53","2015-06-30",14.05
"54","2015-07-01",14.01
"55","2015-07-02",13.27
"56","2015-07-06",13.4
"57","2015-07-07",13.32
"58","2015-07-08",14.55
"59","2015-07-09",16.200001
"60","2015-07-10",16.530001
"61","2015-07-13",16.030001
"62","2015-07-14",16.51
"63","2015-07-15",16.82
"64","2015-07-16",16.83
"65","2015-07-17",21.98
"66","2015-07-20",19.559999
"67","2015-07-21",18.98
"68","2015-07-22",18.450001
"69","2015-07-23",18.440001
"70","2015-07-24",19.309999
"71","2015-07-27",18.299999
"72","2015-07-28",18.65
"73","2015-07-29",18.98
"74","2015-07-30",21.200001
"75","2015-07-31",20.84
"76","2015-08-03",20.5
"77","2015-08-04",19.23
"78","2015-08-05",13.78
"79","2015-08-06",13.59
"80","2015-08-07",13.44
"81","2015-08-10",14.29
