"","date","WINS"
"1","2014-11-04",10.25
"2","2014-11-05",10.25
"3","2014-11-06",10.25
"4","2014-11-07",10.25
"5","2014-11-10",10.25
"6","2014-11-11",10.25
"7","2014-11-12",10.25
"8","2014-11-13",10.25
"9","2014-11-14",10.25
"10","2014-11-17",10.25
"11","2014-11-18",10.25
"12","2014-11-19",9.95
"13","2014-11-20",9.95
"14","2014-11-21",10.14
"15","2014-11-24",10.14
"16","2014-11-25",9.93
"17","2014-11-26",9.93
"18","2014-11-28",9.93
"19","2014-12-01",9.93
"20","2014-12-02",9.93
"21","2014-12-03",9.89
"22","2014-12-04",9.94
"23","2014-12-05",9.94
"24","2014-12-08",9.94
"25","2014-12-09",9.94
"26","2014-12-10",9.94
"27","2014-12-11",9.94
"28","2014-12-12",9.94
"29","2014-12-15",9.94
"30","2014-12-16",9.94
"31","2014-12-17",9.94
"32","2014-12-18",9.94
"33","2014-12-19",9.94
"34","2014-12-22",9.94
"35","2014-12-23",9.94
"36","2014-12-24",9.8
"37","2014-12-26",9.94
"38","2014-12-29",9.94
"39","2014-12-30",9.94
"40","2014-12-31",9.94
"41","2015-01-02",9.94
"42","2015-01-05",9.94
"43","2015-01-06",9.94
"44","2015-01-07",9.94
"45","2015-01-08",9.94
"46","2015-01-09",9.94
"47","2015-01-12",9.94
"48","2015-01-13",9.94
"49","2015-01-14",9.94
"50","2015-01-15",9.94
"51","2015-01-16",9.94
"52","2015-01-20",9.94
"53","2015-01-21",9.94
"54","2015-01-22",9.94
"55","2015-01-23",9.94
"56","2015-01-26",9.8
"57","2015-01-27",9.8
"58","2015-01-28",9.8
"59","2015-01-29",9.8
"60","2015-01-30",9.8
"61","2015-02-02",9.94
"62","2015-02-03",9.94
"63","2015-02-04",9.94
"64","2015-02-05",9.905
"65","2015-02-06",9.905
"66","2015-02-09",9.905
"67","2015-02-10",9.905
"68","2015-02-11",9.905
"69","2015-02-12",9.92
"70","2015-02-13",9.92
"71","2015-02-17",9.92
"72","2015-02-18",9.92
"73","2015-02-19",9.92
"74","2015-02-20",9.92
"75","2015-02-23",9.92
"76","2015-02-24",9.92
"77","2015-02-25",9.92
"78","2015-02-26",9.92
"79","2015-02-27",9.92
"80","2015-03-02",9.92
"81","2015-03-03",9.92
"82","2015-03-04",9.92
"83","2015-03-05",9.92
"84","2015-03-06",9.92
"85","2015-03-09",9.92
"86","2015-03-10",9.92
"87","2015-03-11",9.92
"88","2015-03-12",9.92
"89","2015-03-13",9.92
"90","2015-03-16",9.92
"91","2015-03-17",9.92
"92","2015-03-18",9.92
"93","2015-03-19",9.92
"94","2015-03-20",9.92
"95","2015-03-23",9.92
"96","2015-03-24",9.92
"97","2015-03-25",9.92
"98","2015-03-26",9.92
"99","2015-03-27",9.92
"100","2015-03-30",9.92
"101","2015-03-31",9.92
"102","2015-04-01",9.92
"103","2015-04-02",9.92
"104","2015-04-06",9.92
"105","2015-04-07",9.92
"106","2015-04-08",9.92
"107","2015-04-09",9.92
"108","2015-04-10",9.92
"109","2015-04-13",9.92
"110","2015-04-14",9.92
"111","2015-04-15",9.92
"112","2015-04-16",9.92
"113","2015-04-17",9.92
"114","2015-04-20",9.92
"115","2015-04-21",9.92
"116","2015-04-22",9.92
"117","2015-04-23",9.92
"118","2015-04-24",9.92
"119","2015-04-27",9.92
"120","2015-04-28",9.92
"121","2015-04-29",9.92
"122","2015-04-30",9.92
"123","2015-05-01",9.92
"124","2015-05-04",9.92
"125","2015-05-05",9.92
"126","2015-05-06",9.92
"127","2015-05-07",9.92
"128","2015-05-08",9.92
"129","2015-05-11",9.92
"130","2015-05-12",9.92
"131","2015-05-13",9.92
"132","2015-05-14",9.92
"133","2015-05-15",9.92
"134","2015-05-18",9.92
"135","2015-05-19",9.92
"136","2015-05-20",9.92
"137","2015-05-21",9.92
"138","2015-05-22",9.92
"139","2015-05-26",9.92
"140","2015-05-27",9.92
"141","2015-05-28",9.92
"142","2015-05-29",9.92
"143","2015-06-01",9.92
"144","2015-06-02",9.92
"145","2015-06-03",9.92
"146","2015-06-04",9.92
"147","2015-06-05",9.87
"148","2015-06-08",9.87
"149","2015-06-09",9.87
"150","2015-06-10",9.87
"151","2015-06-11",9.87
"152","2015-06-12",9.87
"153","2015-06-15",9.2
"154","2015-06-16",9.2
"155","2015-06-17",9.2
"156","2015-06-18",9.2
"157","2015-06-19",9.2
"158","2015-06-22",9.91
"159","2015-06-23",9.91
"160","2015-06-24",9.91
"161","2015-06-25",9.91
"162","2015-06-26",9.794
"163","2015-06-29",9.95
"164","2015-06-30",9.95
"165","2015-07-01",9.95
"166","2015-07-02",9.95
"167","2015-07-06",9.95
"168","2015-07-07",9.95
"169","2015-07-08",9.95
"170","2015-07-09",9.64
"171","2015-07-10",9.64
"172","2015-07-13",9.84
"173","2015-07-14",9.7
"174","2015-07-15",9.72
"175","2015-07-16",9.83
"176","2015-07-17",9.83
"177","2015-07-20",9.95
"178","2015-07-21",9.95
"179","2015-07-22",9.932
"180","2015-07-23",9.932
"181","2015-07-24",9.932
"182","2015-07-27",9.932
"183","2015-07-28",9.95
"184","2015-07-29",9.95
"185","2015-07-30",9.95
"186","2015-07-31",9.95
"187","2015-08-03",9.95
"188","2015-08-04",9.95
"189","2015-08-05",9.95
"190","2015-08-06",9.95
"191","2015-08-07",9.85
"192","2015-08-10",9.85
"193","2015-08-11",9.85
"194","2015-08-12",9.85
"195","2015-08-13",9.85
"196","2015-08-14",9.95
"197","2015-08-17",9.95
"198","2015-08-18",9.95
"199","2015-08-19",9.95
"200","2015-08-20",9.95
"201","2015-08-21",9.95
"202","2015-08-24",9.95
"203","2015-08-25",9.95
"204","2015-08-26",9.95
"205","2015-08-27",9.85
"206","2015-08-28",9.95
"207","2015-08-31",9.95
"208","2015-09-01",9.95
"209","2015-09-02",9.95
"210","2015-09-03",9.95
"211","2015-09-04",9.95
"212","2015-09-08",9.95
"213","2015-09-09",9.95
"214","2015-09-10",9.95
"215","2015-09-11",9.95
"216","2015-09-14",9.95
"217","2015-09-15",9.95
"218","2015-09-16",9.95
"219","2015-09-17",9.95
"220","2015-09-18",9.95
"221","2015-09-21",9.95
"222","2015-09-22",9.95
"223","2015-09-23",9.95
"224","2015-09-24",9.95
"225","2015-09-25",9.95
"226","2015-09-28",9.95
"227","2015-09-29",9.95
"228","2015-09-30",9.95
"229","2015-10-01",9.95
"230","2015-10-02",9.98
"231","2015-10-05",9.98
"232","2015-10-06",9.98
"233","2015-10-07",9.71
"234","2015-10-08",9.71
"235","2015-10-09",10.02
"236","2015-10-12",10.02
"237","2015-10-13",9.95
"238","2015-10-14",9.99
"239","2015-10-15",10
"240","2015-10-16",10.07
"241","2015-10-19",10.07
"242","2015-10-20",10.07
