"","date","HTLF"
"1","2007-01-03",28.620001
"2","2007-01-04",28.799999
"3","2007-01-05",28.67
"4","2007-01-08",28.379999
"5","2007-01-09",28.09
"6","2007-01-10",27.98
"7","2007-01-11",27.870001
"8","2007-01-12",28.1
"9","2007-01-16",27.85
"10","2007-01-17",27.540001
"11","2007-01-18",27.5
"12","2007-01-19",27.73
"13","2007-01-22",27.26
"14","2007-01-23",27.5
"15","2007-01-24",28
"16","2007-01-25",27.549999
"17","2007-01-26",27.940001
"18","2007-01-29",28.09
"19","2007-01-30",28.73
"20","2007-01-31",28.59
"21","2007-02-01",28.75
"22","2007-02-02",28.74
"23","2007-02-05",28.26
"24","2007-02-06",28.290001
"25","2007-02-07",28.389999
"26","2007-02-08",28.309999
"27","2007-02-09",28.25
"28","2007-02-12",27.870001
"29","2007-02-13",28.15
"30","2007-02-14",27.4
"31","2007-02-15",26.860001
"32","2007-02-16",26.469999
"33","2007-02-20",27.110001
"34","2007-02-21",26.860001
"35","2007-02-22",27.24
"36","2007-02-23",26.52
"37","2007-02-26",26.370001
"38","2007-02-27",25.77
"39","2007-02-28",25.91
"40","2007-03-01",25.940001
"41","2007-03-02",25.969999
"42","2007-03-05",25.9
"43","2007-03-06",26.9
"44","2007-03-07",26.280001
"45","2007-03-08",26.530001
"46","2007-03-09",26.75
"47","2007-03-12",26.950001
"48","2007-03-13",25.75
"49","2007-03-14",25.799999
"50","2007-03-15",26.9
"51","2007-03-16",26.110001
"52","2007-03-19",26.52
"53","2007-03-20",26.92
"54","2007-03-21",27.49
"55","2007-03-22",26.940001
"56","2007-03-23",26.99
"57","2007-03-26",27.200001
"58","2007-03-27",26.67
"59","2007-03-28",26.68
"60","2007-03-29",26.58
"61","2007-03-30",26.75
"62","2007-04-02",26.709999
"63","2007-04-03",27.200001
"64","2007-04-04",26.98
"65","2007-04-05",26.67
"66","2007-04-09",25.93
"67","2007-04-10",25.92
"68","2007-04-11",26
"69","2007-04-12",26.389999
"70","2007-04-13",26.35
"71","2007-04-16",26.690001
"72","2007-04-17",26.559999
"73","2007-04-18",26.110001
"74","2007-04-19",25.76
"75","2007-04-20",26.49
"76","2007-04-23",26.309999
"77","2007-04-24",26.030001
"78","2007-04-25",26.120001
"79","2007-04-26",25.98
"80","2007-04-27",25.75
"81","2007-04-30",25.610001
"82","2007-05-01",25.450001
"83","2007-05-02",26.059999
"84","2007-05-03",26
"85","2007-05-04",25.83
"86","2007-05-07",25.620001
"87","2007-05-08",25.5
"88","2007-05-09",25.65
"89","2007-05-10",24.620001
"90","2007-05-11",24.969999
"91","2007-05-14",24.5
"92","2007-05-15",24.6
"93","2007-05-16",24.65
"94","2007-05-17",24.280001
"95","2007-05-18",24.01
"96","2007-05-21",24.379999
"97","2007-05-22",24.809999
"98","2007-05-23",24.629999
"99","2007-05-24",24.559999
"100","2007-05-25",24.200001
"101","2007-05-29",24.4
"102","2007-05-30",24.26
"103","2007-05-31",24.09
"104","2007-06-01",24.110001
"105","2007-06-04",24.040001
"106","2007-06-05",23.559999
"107","2007-06-06",23.370001
"108","2007-06-07",23.07
"109","2007-06-08",23.559999
"110","2007-06-11",23.389999
"111","2007-06-12",23.17
"112","2007-06-13",23.65
"113","2007-06-14",24.09
"114","2007-06-15",24.450001
"115","2007-06-18",24.610001
"116","2007-06-19",24.82
"117","2007-06-20",24.73
"118","2007-06-21",24.280001
"119","2007-06-22",24.52
"120","2007-06-25",24.35
"121","2007-06-26",24.620001
"122","2007-06-27",24.83
"123","2007-06-28",25.299999
"124","2007-06-29",24.299999
"125","2007-07-02",23.66
"126","2007-07-03",23.58
"127","2007-07-05",23.67
"128","2007-07-06",23.559999
"129","2007-07-09",23.290001
"130","2007-07-10",22.58
"131","2007-07-11",22.309999
"132","2007-07-12",22.719999
"133","2007-07-13",22.620001
"134","2007-07-16",22.15
"135","2007-07-17",22.65
"136","2007-07-18",22.18
"137","2007-07-19",22.08
"138","2007-07-20",21.440001
"139","2007-07-23",21.99
"140","2007-07-24",20.440001
"141","2007-07-25",19.540001
"142","2007-07-26",19.1
"143","2007-07-27",18.469999
"144","2007-07-30",17.75
"145","2007-07-31",17.040001
"146","2007-08-01",17.610001
"147","2007-08-02",18.75
"148","2007-08-03",18.219999
"149","2007-08-06",18.790001
"150","2007-08-07",18.610001
