"","date","EVRI"
"1","2007-01-03",15.91
"2","2007-01-04",16.18
"3","2007-01-05",16.049999
"4","2007-01-08",16.120001
"5","2007-01-09",16.09
"6","2007-01-10",15.72
"7","2007-01-11",15.73
"8","2007-01-12",16.110001
"9","2007-01-16",16.030001
"10","2007-01-17",15.84
"11","2007-01-18",15.61
"12","2007-01-19",15.61
"13","2007-01-22",15.36
"14","2007-01-23",15.4
"15","2007-01-24",15.56
"16","2007-01-25",15.47
"17","2007-01-26",15.68
"18","2007-01-29",15.87
"19","2007-01-30",16.049999
"20","2007-01-31",16.02
"21","2007-02-01",16.030001
"22","2007-02-02",16
"23","2007-02-05",16.01
"24","2007-02-06",16.280001
"25","2007-02-07",16.4
"26","2007-02-08",16.5
"27","2007-02-09",16.15
"28","2007-02-12",16.1
"29","2007-02-13",16.030001
"30","2007-02-14",15.85
"31","2007-02-15",15.96
"32","2007-02-16",15.97
"33","2007-02-20",16.139999
"34","2007-02-21",16.09
"35","2007-02-22",16
"36","2007-02-23",15.73
"37","2007-02-26",15.44
"38","2007-02-27",15.24
"39","2007-02-28",15.36
"40","2007-03-01",15.41
"41","2007-03-02",15.3
"42","2007-03-05",14.61
"43","2007-03-06",15.24
"44","2007-03-07",14.98
"45","2007-03-08",14.98
"46","2007-03-09",14.95
"47","2007-03-12",15.24
"48","2007-03-13",14.33
"49","2007-03-14",15
"50","2007-03-15",15.45
"51","2007-03-16",15.11
"52","2007-03-19",15.12
"53","2007-03-20",15.43
"54","2007-03-21",16.26
"55","2007-03-22",16.34
"56","2007-03-23",16.26
"57","2007-03-26",16.440001
"58","2007-03-27",16.299999
"59","2007-03-28",16.25
"60","2007-03-29",16.48
"61","2007-03-30",16.690001
"62","2007-04-02",16.67
"63","2007-04-03",16.690001
"64","2007-04-04",16.690001
"65","2007-04-05",16.43
"66","2007-04-09",16.120001
"67","2007-04-10",16.389999
"68","2007-04-11",16
"69","2007-04-12",16.49
"70","2007-04-13",16.48
"71","2007-04-16",16.49
"72","2007-04-17",16.280001
"73","2007-04-18",16.040001
"74","2007-04-19",15.79
"75","2007-04-20",15.81
"76","2007-04-23",15.97
"77","2007-04-24",16
"78","2007-04-25",15.97
"79","2007-04-26",16.07
"80","2007-04-27",15.96
"81","2007-04-30",15.67
"82","2007-05-01",15.35
"83","2007-05-02",15.93
"84","2007-05-03",16.02
"85","2007-05-04",16.030001
"86","2007-05-07",15.99
"87","2007-05-08",15.61
"88","2007-05-09",15.76
"89","2007-05-10",15.51
"90","2007-05-11",15.76
"91","2007-05-14",15.66
"92","2007-05-15",15.63
"93","2007-05-16",16.07
"94","2007-05-17",15.91
"95","2007-05-18",16
"96","2007-05-21",16.48
"97","2007-05-22",16.809999
"98","2007-05-23",16.51
"99","2007-05-24",16.1
"100","2007-05-25",16.23
"101","2007-05-29",16.129999
"102","2007-05-30",16.219999
"103","2007-05-31",16.25
"104","2007-06-01",16.360001
"105","2007-06-04",16.370001
"106","2007-06-05",16.4
"107","2007-06-06",16.43
"108","2007-06-07",16.26
"109","2007-06-08",16.49
"110","2007-06-11",16.33
"111","2007-06-12",16.299999
"112","2007-06-13",16.32
"113","2007-06-14",16.25
"114","2007-06-15",16.450001
"115","2007-06-18",16.389999
"116","2007-06-19",16.290001
"117","2007-06-20",16.219999
"118","2007-06-21",16.309999
"119","2007-06-22",16.120001
"120","2007-06-25",15.85
"121","2007-06-26",16.120001
"122","2007-06-27",16.32
"123","2007-06-28",16.32
"124","2007-06-29",16.02
"125","2007-07-02",16.440001
"126","2007-07-03",16.42
"127","2007-07-05",16.299999
"128","2007-07-06",16.49
"129","2007-07-09",16.32
"130","2007-07-10",15.94
"131","2007-07-11",16.049999
"132","2007-07-12",16.559999
"133","2007-07-13",16.450001
"134","2007-07-16",16.24
"135","2007-07-17",16.209999
"136","2007-07-18",15.74
"137","2007-07-19",16.01
"138","2007-07-20",15.75
"139","2007-07-23",15.9
"140","2007-07-24",14.86
"141","2007-07-25",14.8
"142","2007-07-26",14.46
"143","2007-07-27",14.22
"144","2007-07-30",14.09
"145","2007-07-31",13.66
"146","2007-08-01",13.64
"147","2007-08-02",14.19
"148","2007-08-03",13.87
"149","2007-08-06",14.31
"150","2007-08-07",14.55
"151","2007-08-08",15.2
"152","2007-08-09",12.21
"153","2007-08-10",11.75
"154","2007-08-13",11.31
"155","2007-08-14",11.21
"156","2007-08-15",11.07
"157","2007-08-16",11.1
"158","2007-08-17",11
"159","2007-08-20",11.07
"160","2007-08-21",10.96
"161","2007-08-22",11.1
"162","2007-08-23",10.99
"163","2007-08-24",11.25
"164","2007-08-27",10.98
"165","2007-08-28",10.88
"166","2007-08-29",10.98
"167","2007-08-30",11.04
"168","2007-08-31",11.1
"169","2007-09-04",11.07
"170","2007-09-05",11.34
"171","2007-09-06",11.17
"172","2007-09-07",11.04
"173","2007-09-10",10.74
"174","2007-09-11",11.04
"175","2007-09-12",10.99
"176","2007-09-13",11.02
"177","2007-09-14",11.14
"178","2007-09-17",11.03
"179","2007-09-18",11.24
"180","2007-09-19",11.78
"181","2007-09-20",11.67
"182","2007-09-21",11.53
"183","2007-09-24",11.25
"184","2007-09-25",10.78
"185","2007-09-26",10.55
"186","2007-09-27",10.8
"187","2007-09-28",10.59
"188","2007-10-01",10.8
"189","2007-10-02",10.97
"190","2007-10-03",11.04
"191","2007-10-04",11.07
"192","2007-10-05",11.25
"193","2007-10-08",11.14
"194","2007-10-09",11
"195","2007-10-10",11.05
"196","2007-10-11",10.8
"197","2007-10-12",10.9
"198","2007-10-15",10.69
"199","2007-10-16",10.74
"200","2007-10-17",10.76
"201","2007-10-18",10.61
"202","2007-10-19",10.17
"203","2007-10-22",10.33
"204","2007-10-23",10.22
"205","2007-10-24",10.09
"206","2007-10-25",9.98
"207","2007-10-26",10.11
"208","2007-10-29",10.11
"209","2007-10-30",10.04
"210","2007-10-31",9.99
"211","2007-11-01",10
"212","2007-11-02",10.04
"213","2007-11-05",10.2
"214","2007-11-06",10.03
"215","2007-11-07",9.47
"216","2007-11-08",9.25
"217","2007-11-09",9.23
"218","2007-11-12",9.1
"219","2007-11-13",9.29
"220","2007-11-14",9.2
"221","2007-11-15",3.71
"222","2007-11-16",4.97
"223","2007-11-19",4.97
"224","2007-11-20",4.4
"225","2007-11-21",4.1
"226","2007-11-23",4.39
"227","2007-11-26",4.16
"228","2007-11-27",4.09
"229","2007-11-28",4.15
"230","2007-11-29",3.93
"231","2007-11-30",3.48
"232","2007-12-03",3.55
"233","2007-12-04",3.07
"234","2007-12-05",3.06
"235","2007-12-06",4.88
"236","2007-12-07",5.42
"237","2007-12-10",5.43
"238","2007-12-11",5.14
"239","2007-12-12",5.06
"240","2007-12-13",5.1
"241","2007-12-14",5.11
"242","2007-12-17",4.84
"243","2007-12-18",5.35
"244","2007-12-19",5.27
"245","2007-12-20",5.21
"246","2007-12-21",7.69
"247","2007-12-24",6.84
"248","2007-12-26",6.49
"249","2007-12-27",6.13
"250","2007-12-28",6.31
"251","2007-12-31",6.06
"252","2008-01-02",5.93
"253","2008-01-03",5.82
"254","2008-01-04",5.6
"255","2008-01-07",5.84
"256","2008-01-08",5.38
"257","2008-01-09",5.8
"258","2008-01-10",6
"259","2008-01-11",5.8
"260","2008-01-14",6.14
"261","2008-01-15",5.8
"262","2008-01-16",6.17
