"","date","VNO"
"1","2007-01-03",89.044098
"2","2007-01-04",89.256264
"3","2007-01-05",87.463821
"4","2007-01-08",86.432259
"5","2007-01-09",87.719887
"6","2007-01-10",88.92704
"7","2007-01-11",89.797653
"8","2007-01-12",89.973244
"9","2007-01-16",92.131485
"10","2007-01-17",89.658653
"11","2007-01-18",87.719887
"12","2007-01-19",89.695229
"13","2007-01-22",89.131889
"14","2007-01-23",89.563538
"15","2007-01-24",91.19503
"16","2007-01-25",92.007111
"17","2007-01-26",90.917015
"18","2007-01-29",91.53157
"19","2007-01-30",90.390259
"20","2007-01-31",89.512329
"21","2007-02-01",91.992485
"22","2007-02-02",91.707153
"23","2007-02-05",91.524254
"24","2007-02-06",92.914307
"25","2007-02-07",99.315887
"26","2007-02-08",98.511116
"27","2007-02-09",97.552711
"28","2007-02-12",96.126068
"29","2007-02-13",98.269684
"30","2007-02-14",97.969727
"31","2007-02-15",97.523445
"32","2007-02-16",98.028252
"33","2007-02-20",98.598907
"34","2007-02-21",98.862289
"35","2007-02-22",98.108734
"36","2007-02-23",96.57235
"37","2007-02-26",96.682091
"38","2007-02-27",92.987473
"39","2007-02-28",93.060631
"40","2007-03-01",92.182701
"41","2007-03-02",88.963623
"42","2007-03-05",85.861603
"43","2007-03-06",89.900078
"44","2007-03-07",88.180801
"45","2007-03-08",90.331734
"46","2007-03-09",90.982864
"47","2007-03-12",91.026756
"48","2007-03-13",87.910103
"49","2007-03-14",89.256264
"50","2007-03-15",89.424538
"51","2007-03-16",88.458809
"52","2007-03-19",88.978256
"53","2007-03-20",89.519646
"54","2007-03-21",91.429146
"55","2007-03-22",89.351372
"56","2007-03-23",89.380638
"57","2007-03-26",88.297859
"58","2007-03-27",86.951698
"59","2007-03-28",86.329834
"60","2007-03-29",85.920128
"61","2007-03-30",87.310188
"62","2007-04-02",87.946686
"63","2007-04-03",88.466125
"64","2007-04-04",87.89547
"65","2007-04-05",87.89547
"66","2007-04-09",88.341751
"67","2007-04-10",88.978256
"68","2007-04-11",87.163864
"69","2007-04-12",87.090706
"70","2007-04-13",88.04911
