"","date","YMAB"
"1","2018-09-21",24
"2","2018-09-24",26.969999
"3","2018-09-25",25.280001
"4","2018-09-26",24.719999
"5","2018-09-27",25.030001
"6","2018-09-28",26.559999
"7","2018-10-01",26.049999
"8","2018-10-02",28.92
"9","2018-10-03",26.790001
"10","2018-10-04",23.5
"11","2018-10-05",26.26
"12","2018-10-08",23.82
"13","2018-10-09",22.549999
"14","2018-10-10",22.5
"15","2018-10-11",22.15
"16","2018-10-12",20.809999
"17","2018-10-15",21.6
"18","2018-10-16",21.15
"19","2018-10-17",19.48
"20","2018-10-18",22
"21","2018-10-19",21.5
"22","2018-10-22",21.93
"23","2018-10-23",22.15
"24","2018-10-24",22.389999
"25","2018-10-25",23.75
"26","2018-10-26",22.34
"27","2018-10-29",22.52
"28","2018-10-30",23.84
"29","2018-10-31",24.559999
"30","2018-11-01",24.9
"31","2018-11-02",25.379999
"32","2018-11-05",25.690001
"33","2018-11-06",25.5
"34","2018-11-07",25.639999
"35","2018-11-08",25.790001
"36","2018-11-09",25.530001
"37","2018-11-12",24.26
"38","2018-11-13",23.15
"39","2018-11-14",23.99
"40","2018-11-15",24.610001
"41","2018-11-16",24.870001
"42","2018-11-19",24.66
"43","2018-11-20",23.43
"44","2018-11-21",24.85
"45","2018-11-23",27.219999
"46","2018-11-26",26.139999
"47","2018-11-27",24.34
"48","2018-11-28",25.32
"49","2018-11-29",26.32
"50","2018-11-30",24.92
"51","2018-12-03",24.9
"52","2018-12-04",24.5
"53","2018-12-06",23.370001
"54","2018-12-07",22.629999
"55","2018-12-10",22.129999
"56","2018-12-11",21.969999
"57","2018-12-12",21.969999
"58","2018-12-13",21.58
"59","2018-12-14",21.42
"60","2018-12-17",20.469999
"61","2018-12-18",19.85
"62","2018-12-19",19.01
"63","2018-12-20",18.23
"64","2018-12-21",16.92
"65","2018-12-24",15.41
"66","2018-12-26",17.01
"67","2018-12-27",17.190001
"68","2018-12-28",18.77
"69","2018-12-31",20.34
"70","2019-01-02",18.209999
"71","2019-01-03",20.440001
"72","2019-01-04",19.889999
"73","2019-01-07",22.24
"74","2019-01-08",21.98
"75","2019-01-09",23.549999
"76","2019-01-10",24.26
"77","2019-01-11",23.639999
"78","2019-01-14",22.01
"79","2019-01-15",22.450001
"80","2019-01-16",23.110001
"81","2019-01-17",23.049999
"82","2019-01-18",22.790001
"83","2019-01-22",20.66
"84","2019-01-23",20.4
"85","2019-01-24",21.42
"86","2019-01-25",21.549999
"87","2019-01-28",20.67
"88","2019-01-29",20.030001
"89","2019-01-30",20.27
"90","2019-01-31",20.58
"91","2019-02-01",20.59
"92","2019-02-04",20.92
"93","2019-02-05",21.129999
"94","2019-02-06",20.360001
"95","2019-02-07",20.52
"96","2019-02-08",20.690001
"97","2019-02-11",21.120001
"98","2019-02-12",21.719999
"99","2019-02-13",21.709999
"100","2019-02-14",21.42
"101","2019-02-15",22.26
"102","2019-02-19",23.01
"103","2019-02-20",22.860001
