"","date","CTRA"
"1","2016-08-18",16.875
"2","2016-08-19",16.875
"3","2016-08-22",16.875
"4","2016-08-23",16.875
"5","2016-08-24",16.875
"6","2016-08-25",16.875
"7","2016-08-26",16.875
"8","2016-08-29",16.875
"9","2016-08-30",16.875
"10","2016-08-31",16.875
"11","2016-09-01",16.875
"12","2016-09-02",16.875
"13","2016-09-06",16.875
"14","2016-09-07",16.875
"15","2016-09-08",16.875
"16","2016-09-09",23
"17","2016-09-12",23
"18","2016-09-13",23
"19","2016-09-14",23
"20","2016-09-15",23
"21","2016-09-16",23
"22","2016-09-19",23
"23","2016-09-20",32.799999
"24","2016-09-21",33.25
"25","2016-09-22",38.400002
"26","2016-09-23",38.650002
"27","2016-09-26",39.599998
"28","2016-09-27",39.599998
"29","2016-09-28",39.799999
"30","2016-09-29",41.5
"31","2016-09-30",41.75
"32","2016-10-03",42
"33","2016-10-04",42.299999
"34","2016-10-05",51.650002
"35","2016-10-06",53.75
"36","2016-10-07",60
"37","2016-10-10",60
"38","2016-10-11",60.900002
"39","2016-10-12",61
"40","2016-10-13",60
"41","2016-10-14",59.799999
"42","2016-10-17",60
"43","2016-10-18",59.990002
"44","2016-10-19",59.950001
"45","2016-10-20",60.75
"46","2016-10-21",70.25
"47","2016-10-24",72
"48","2016-10-25",72.5
"49","2016-10-26",71
"50","2016-10-27",68
"51","2016-10-28",69
"52","2016-10-31",66.25
"53","2016-11-01",69
"54","2016-11-02",66
"55","2016-11-03",64.5
"56","2016-11-04",64.099998
"57","2016-11-07",67
"58","2016-11-08",66.5
"59","2016-11-09",75.900002
"60","2016-11-10",76.5
"61","2016-11-11",76
"62","2016-11-14",77
"63","2016-11-15",76
"64","2016-11-16",75.25
"65","2016-11-17",68
"66","2016-11-18",69.5
"67","2016-11-21",69
"68","2016-11-22",68
"69","2016-11-23",67
"70","2016-11-25",66
"71","2016-11-28",70.25
"72","2016-11-29",68.550003
"73","2016-11-30",69
"74","2016-12-01",69
"75","2016-12-02",68.75
"76","2016-12-05",70
"77","2016-12-06",70.300003
"78","2016-12-07",71.449997
"79","2016-12-08",71.699997
"80","2016-12-09",71.800003
"81","2016-12-12",72.25
"82","2016-12-13",72.449997
"83","2016-12-14",71.75
"84","2016-12-15",70.25
"85","2016-12-16",77
"86","2016-12-19",72.300003
"87","2016-12-20",72
"88","2016-12-21",72
"89","2016-12-22",72
"90","2016-12-23",72.800003
"91","2016-12-27",72.599998
"92","2016-12-28",72
"93","2016-12-29",71
"94","2016-12-30",71
"95","2017-01-03",71
