"","date","WDR"
"1","2007-01-03",27.26
"2","2007-01-04",26.98
"3","2007-01-05",26.6
"4","2007-01-08",26.85
"5","2007-01-09",27.139999
"6","2007-01-10",27.299999
"7","2007-01-11",27.309999
"8","2007-01-12",27.32
"9","2007-01-16",26.74
"10","2007-01-17",26.559999
"11","2007-01-18",26.040001
"12","2007-01-19",25.99
"13","2007-01-22",25.889999
"14","2007-01-23",26.129999
"15","2007-01-24",26.6
"16","2007-01-25",25.93
"17","2007-01-26",26.01
"18","2007-01-29",25.75
"19","2007-01-30",25.27
"20","2007-01-31",25.67
"21","2007-02-01",25.690001
"22","2007-02-02",25.68
"23","2007-02-05",25.700001
"24","2007-02-06",25.780001
"25","2007-02-07",25.809999
"26","2007-02-08",25.85
"27","2007-02-09",25.25
"28","2007-02-12",25.18
"29","2007-02-13",25.629999
"30","2007-02-14",26.16
"31","2007-02-15",26.190001
"32","2007-02-16",25.969999
"33","2007-02-20",26.23
"34","2007-02-21",26.01
"35","2007-02-22",26.02
"36","2007-02-23",25.73
"37","2007-02-26",25.35
"38","2007-02-27",24.41
"39","2007-02-28",24.360001
"40","2007-03-01",24.049999
"41","2007-03-02",23.27
"42","2007-03-05",22.48
"43","2007-03-06",23.23
"44","2007-03-07",22.870001
"45","2007-03-08",22.969999
"46","2007-03-09",23.309999
"47","2007-03-12",23.389999
"48","2007-03-13",22.280001
"49","2007-03-14",22.68
"50","2007-03-15",22.700001
"51","2007-03-16",22.43
"52","2007-03-19",22.719999
"53","2007-03-20",22.959999
"54","2007-03-21",23.77
"55","2007-03-22",23.6
"56","2007-03-23",23.65
"57","2007-03-26",23.67
"58","2007-03-27",23.4
"59","2007-03-28",23.15
"60","2007-03-29",23.360001
"61","2007-03-30",23.32
"62","2007-04-02",23.459999
"63","2007-04-03",23.57
"64","2007-04-04",23.540001
"65","2007-04-05",24.309999
"66","2007-04-09",24.469999
"67","2007-04-10",25.040001
"68","2007-04-11",24.700001
"69","2007-04-12",24.719999
"70","2007-04-13",24.85
"71","2007-04-16",25.49
"72","2007-04-17",25.52
"73","2007-04-18",25.52
"74","2007-04-19",25.219999
"75","2007-04-20",25.26
"76","2007-04-23",25.34
"77","2007-04-24",25.110001
"78","2007-04-25",24.42
"79","2007-04-26",24.200001
"80","2007-04-27",24.389999
"81","2007-04-30",24.219999
"82","2007-05-01",24.26
"83","2007-05-02",24.41
"84","2007-05-03",24.75
"85","2007-05-04",24.549999
"86","2007-05-07",24.719999
"87","2007-05-08",24.6
"88","2007-05-09",25.190001
"89","2007-05-10",24.6
"90","2007-05-11",24.99
"91","2007-05-14",24.549999
"92","2007-05-15",24.290001
"93","2007-05-16",24.530001
"94","2007-05-17",24.299999
"95","2007-05-18",24.66
"96","2007-05-21",25.33
"97","2007-05-22",25.200001
"98","2007-05-23",25.42
"99","2007-05-24",24.77
"100","2007-05-25",25.15
"101","2007-05-29",25.299999
"102","2007-05-30",25.440001
"103","2007-05-31",25.940001
"104","2007-06-01",26.16
"105","2007-06-04",25.799999
"106","2007-06-05",25.6
"107","2007-06-06",25.360001
"108","2007-06-07",24.9
"109","2007-06-08",25.24
"110","2007-06-11",25.42
"111","2007-06-12",25.18
"112","2007-06-13",25.67
