"","date","KNSL"
"1","2016-07-28",18.35
"2","2016-07-29",18.27
"3","2016-08-01",18.41
"4","2016-08-02",18.6
"5","2016-08-03",18.25
"6","2016-08-04",18.34
"7","2016-08-05",18.809999
"8","2016-08-08",19.389999
"9","2016-08-09",19.610001
"10","2016-08-10",19.59
"11","2016-08-11",19.65
"12","2016-08-12",19.41
"13","2016-08-15",19.82
"14","2016-08-16",19.450001
"15","2016-08-17",19.610001
"16","2016-08-18",19.719999
"17","2016-08-19",19.940001
"18","2016-08-22",20.709999
"19","2016-08-23",20.440001
"20","2016-08-24",20
"21","2016-08-25",20
"22","2016-08-26",20.459999
"23","2016-08-29",20.43
"24","2016-08-30",20.52
"25","2016-08-31",20.799999
"26","2016-09-01",20.530001
"27","2016-09-02",20.391001
"28","2016-09-06",20.809999
"29","2016-09-07",21.15
"30","2016-09-08",21.32
"31","2016-09-09",21
"32","2016-09-12",20.67
"33","2016-09-13",20.120001
"34","2016-09-14",20.219999
"35","2016-09-15",20.469999
"36","2016-09-16",19.809999
"37","2016-09-19",20.26
"38","2016-09-20",20.639999
"39","2016-09-21",20.75
"40","2016-09-22",20.799999
"41","2016-09-23",21.52
"42","2016-09-26",21.65
"43","2016-09-27",22.09
"44","2016-09-28",22.33
"45","2016-09-29",21.33
"46","2016-09-30",22
"47","2016-10-03",22.639999
"48","2016-10-04",22.24
"49","2016-10-05",21.58
"50","2016-10-06",21.209999
"51","2016-10-07",20.959999
"52","2016-10-10",21.16
"53","2016-10-11",21.440001
"54","2016-10-12",21.719999
"55","2016-10-13",21.91
"56","2016-10-14",21.84
"57","2016-10-17",22.219999
"58","2016-10-18",22.809999
"59","2016-10-19",22.74
"60","2016-10-20",22.76
"61","2016-10-21",22.48
"62","2016-10-24",22.5
"63","2016-10-25",22.65
"64","2016-10-26",22.75
"65","2016-10-27",22.719999
"66","2016-10-28",22.82
"67","2016-10-31",24.049999
"68","2016-11-01",23.24
"69","2016-11-02",23.309999
"70","2016-11-03",23
"71","2016-11-04",24.040001
"72","2016-11-07",23.43
"73","2016-11-08",23.969999
"74","2016-11-09",24.110001
"75","2016-11-10",25.32
"76","2016-11-11",26.85
"77","2016-11-14",27.48
"78","2016-11-15",27.33
"79","2016-11-16",26.049999
"80","2016-11-17",26.690001
"81","2016-11-18",27.24
"82","2016-11-21",27.99
"83","2016-11-22",28.42
"84","2016-11-23",28.690001
"85","2016-11-25",28.780001
"86","2016-11-28",28.26
"87","2016-11-29",27.950001
"88","2016-11-30",28.51
"89","2016-12-01",27.17
"90","2016-12-02",27.219999
"91","2016-12-05",28.18
"92","2016-12-06",29.530001
"93","2016-12-07",29.889999
"94","2016-12-08",30.08
"95","2016-12-09",30.43
"96","2016-12-12",30.59
"97","2016-12-13",30
"98","2016-12-14",29.809999
"99","2016-12-15",30.34
"100","2016-12-16",31.030001
"101","2016-12-19",31.540001
"102","2016-12-20",31.9
"103","2016-12-21",32.27
"104","2016-12-22",32.709999
"105","2016-12-23",33.27
"106","2016-12-27",33.529999
"107","2016-12-28",34.669998
"108","2016-12-29",34.470001
"109","2016-12-30",34.009998
"110","2017-01-03",34.09
"111","2017-01-04",33.970001
"112","2017-01-05",32.830002
"113","2017-01-06",31.74
"114","2017-01-09",31.379999
"115","2017-01-10",31.85
"116","2017-01-11",31.65
"117","2017-01-12",31.1
"118","2017-01-13",31.57
"119","2017-01-17",31.309999
"120","2017-01-18",31.440001
"121","2017-01-19",31.360001
"122","2017-01-20",31.719999
"123","2017-01-23",31.719999
"124","2017-01-24",31.1
"125","2017-01-25",31.07
"126","2017-01-26",30.6
"127","2017-01-27",30.42
"128","2017-01-30",29.950001
"129","2017-01-31",29.35
"130","2017-02-01",28.860001
"131","2017-02-02",28.370001
"132","2017-02-03",28.16
"133","2017-02-06",29.65
"134","2017-02-07",31.139999
"135","2017-02-08",29.93
"136","2017-02-09",29.950001
"137","2017-02-10",29.75
"138","2017-02-13",29.5
"139","2017-02-14",29.25
"140","2017-02-15",29.34
"141","2017-02-16",29.48
"142","2017-02-17",29.709999
"143","2017-02-21",29.75
"144","2017-02-22",30
"145","2017-02-23",29.91
"146","2017-02-24",29.879999
"147","2017-02-27",29.530001
"148","2017-02-28",29.35
"149","2017-03-01",30.209999
"150","2017-03-02",30.91
"151","2017-03-03",31.51
"152","2017-03-06",30.799999
"153","2017-03-07",30.780001
"154","2017-03-08",30.950001
"155","2017-03-09",31.02
"156","2017-03-10",31.379999
"157","2017-03-13",32.150002
"158","2017-03-14",31.790001
"159","2017-03-15",32.380001
"160","2017-03-16",32.380001
"161","2017-03-17",32.610001
"162","2017-03-20",32.470001
"163","2017-03-21",32.360001
"164","2017-03-22",31.74
"165","2017-03-23",32.509998
"166","2017-03-24",32.599998
"167","2017-03-27",32.700001
"168","2017-03-28",32.73
"169","2017-03-29",31.950001
"170","2017-03-30",32.189999
"171","2017-03-31",32.040001
"172","2017-04-03",31.9
"173","2017-04-04",32.09
"174","2017-04-05",31.379999
"175","2017-04-06",31.959999
"176","2017-04-07",32.18
"177","2017-04-10",32.110001
"178","2017-04-11",32.380001
"179","2017-04-12",32.41
"180","2017-04-13",32.389999
"181","2017-04-17",32.869999
"182","2017-04-18",32.830002
"183","2017-04-19",32.959999
"184","2017-04-20",33.689999
"185","2017-04-21",33.919998
"186","2017-04-24",34.91
"187","2017-04-25",35.02
"188","2017-04-26",35.82
"189","2017-04-27",36.189999
"190","2017-04-28",36.16
"191","2017-05-01",36.099998
"192","2017-05-02",36.130001
"193","2017-05-03",36.110001
"194","2017-05-04",36.57
"195","2017-05-05",35.099998
"196","2017-05-08",34.84
"197","2017-05-09",35.02
"198","2017-05-10",35.189999
"199","2017-05-11",34.73
"200","2017-05-12",33.799999
"201","2017-05-15",33.799999
"202","2017-05-16",33.970001
"203","2017-05-17",33.560001
"204","2017-05-18",34.310001
"205","2017-05-19",34.400002
"206","2017-05-22",35.130001
"207","2017-05-23",35.369999
"208","2017-05-24",36.759998
"209","2017-05-25",37.18
"210","2017-05-26",35.84
"211","2017-05-30",36.23
"212","2017-05-31",36.240002
"213","2017-06-01",36.990002
"214","2017-06-02",36.93
"215","2017-06-05",36.169998
"216","2017-06-06",35.220001
"217","2017-06-07",35.419998
