"","date","GIB"
"1","2007-01-03",6.73
"2","2007-01-04",6.78
"3","2007-01-05",6.71
"4","2007-01-08",6.76
"5","2007-01-09",6.79
"6","2007-01-10",6.85
"7","2007-01-11",6.79
"8","2007-01-12",6.83
"9","2007-01-16",6.91
"10","2007-01-17",7.04
"11","2007-01-18",7.04
"12","2007-01-19",7.01
"13","2007-01-22",7.1
"14","2007-01-23",7.14
"15","2007-01-24",7.15
"16","2007-01-25",7.19
"17","2007-01-26",7.21
"18","2007-01-29",7.04
"19","2007-01-30",7.59
"20","2007-01-31",7.8
"21","2007-02-01",8.01
"22","2007-02-02",7.93
"23","2007-02-05",8.03
"24","2007-02-06",7.99
"25","2007-02-07",8.03
"26","2007-02-08",8
"27","2007-02-09",7.95
"28","2007-02-12",8.02
"29","2007-02-13",8.14
"30","2007-02-14",8.2
"31","2007-02-15",8.37
"32","2007-02-16",8.44
"33","2007-02-20",8.44
"34","2007-02-21",8.63
"35","2007-02-22",8.68
"36","2007-02-23",8.56
"37","2007-02-26",8.59
"38","2007-02-27",8.41
"39","2007-02-28",8.46
"40","2007-03-01",8.27
"41","2007-03-02",8.23
"42","2007-03-05",8.4
"43","2007-03-06",8.46
"44","2007-03-07",8.47
"45","2007-03-08",8.42
"46","2007-03-09",8.48
"47","2007-03-12",8.53
"48","2007-03-13",8.42
"49","2007-03-14",8.35
"50","2007-03-15",8.38
"51","2007-03-16",8.29
"52","2007-03-19",8.36
"53","2007-03-20",8.57
"54","2007-03-21",8.83
"55","2007-03-22",8.65
"56","2007-03-23",8.62
"57","2007-03-26",8.62
"58","2007-03-27",8.71
"59","2007-03-28",8.63
"60","2007-03-29",8.65
"61","2007-03-30",8.66
"62","2007-04-02",8.78
"63","2007-04-03",8.94
"64","2007-04-04",8.98
"65","2007-04-05",8.99
"66","2007-04-09",9.04
"67","2007-04-10",8.93
"68","2007-04-11",9.07
"69","2007-04-12",9.17
"70","2007-04-13",9.06
"71","2007-04-16",9.29
"72","2007-04-17",9.17
"73","2007-04-18",9.25
"74","2007-04-19",9.25
"75","2007-04-20",9.27
"76","2007-04-23",9.23
"77","2007-04-24",9.24
"78","2007-04-25",9.46
"79","2007-04-26",9.31
"80","2007-04-27",9.29
"81","2007-04-30",8.99
"82","2007-05-01",9.07
"83","2007-05-02",9.91
"84","2007-05-03",9.91
"85","2007-05-04",9.88
"86","2007-05-07",9.88
"87","2007-05-08",9.89
"88","2007-05-09",9.86
