"","date","SAII"
"1","2020-10-07",9.65
"2","2020-10-08",9.65
"3","2020-10-09",9.7
"4","2020-10-12",9.65
"5","2020-10-13",9.7
"6","2020-10-14",9.7
"7","2020-10-15",9.75
"8","2020-10-16",9.7
"9","2020-10-19",9.75
"10","2020-10-20",9.7
"11","2020-10-21",9.7
"12","2020-10-22",9.7
"13","2020-10-23",9.71
"14","2020-10-26",9.67
"15","2020-10-27",9.75
"16","2020-10-28",9.72
"17","2020-10-29",9.75
"18","2020-10-30",9.7
"19","2020-11-02",9.725
"20","2020-11-03",9.75
"21","2020-11-04",9.75
"22","2020-11-05",9.69
"23","2020-11-06",9.69
"24","2020-11-09",9.75
"25","2020-11-10",9.73
"26","2020-11-11",9.71
"27","2020-11-12",9.71
"28","2020-11-13",9.75
"29","2020-11-16",9.78
"30","2020-11-17",9.76
"31","2020-11-18",9.78
"32","2020-11-19",9.75
"33","2020-11-20",9.74
"34","2020-11-23",9.78
"35","2020-11-24",9.8
"36","2020-11-25",9.8
"37","2020-11-27",9.82
