"","date","NVR"
"1","2007-01-03",606.5
"2","2007-01-04",603.5
"3","2007-01-05",616.5
"4","2007-01-08",601.25
"5","2007-01-09",600.75
"6","2007-01-10",599
"7","2007-01-11",592.75
"8","2007-01-12",605
"9","2007-01-16",602
"10","2007-01-17",625.5
"11","2007-01-18",619
"12","2007-01-19",635
"13","2007-01-22",630.5
"14","2007-01-23",649.25
"15","2007-01-24",665
"16","2007-01-25",640
"17","2007-01-26",645.5
"18","2007-01-29",645.5
"19","2007-01-30",653
"20","2007-01-31",692.52002
"21","2007-02-01",698.5
"22","2007-02-02",720
"23","2007-02-05",724
"24","2007-02-06",731.5
"25","2007-02-07",732.5
"26","2007-02-08",729
"27","2007-02-09",720.5
"28","2007-02-12",708.25
"29","2007-02-13",712.5
"30","2007-02-14",724.98999
"31","2007-02-15",730.309998
"32","2007-02-16",725.900024
"33","2007-02-20",732
"34","2007-02-21",730
"35","2007-02-22",722.900024
"36","2007-02-23",687.5
"37","2007-02-26",703.5
"38","2007-02-27",665.25
"39","2007-02-28",676.849976
"40","2007-03-01",689.25
"41","2007-03-02",670
"42","2007-03-05",648.5
"43","2007-03-06",646.75
"44","2007-03-07",654.099976
"45","2007-03-08",695
"46","2007-03-09",700
"47","2007-03-12",675.75
"48","2007-03-13",632.76001
"49","2007-03-14",659.5
"50","2007-03-15",688
"51","2007-03-16",685
"52","2007-03-19",704
"53","2007-03-20",707
"54","2007-03-21",728
"55","2007-03-22",720.75
"56","2007-03-23",722.5
"57","2007-03-26",712.900024
"58","2007-03-27",698.25
"59","2007-03-28",688
"60","2007-03-29",701
"61","2007-03-30",665
"62","2007-04-02",665.5
"63","2007-04-03",685.710022
"64","2007-04-04",692
"65","2007-04-05",706
"66","2007-04-09",698
"67","2007-04-10",696
"68","2007-04-11",681
"69","2007-04-12",695.5
"70","2007-04-13",692.5
"71","2007-04-16",716
"72","2007-04-17",711.5
"73","2007-04-18",728.549988
"74","2007-04-19",721.799988
"75","2007-04-20",797
"76","2007-04-23",775
"77","2007-04-24",785
"78","2007-04-25",797.25
"79","2007-04-26",842
"80","2007-04-27",817.5
"81","2007-04-30",824
"82","2007-05-01",830
"83","2007-05-02",835.5
"84","2007-05-03",834.5
"85","2007-05-04",796.5
"86","2007-05-07",780.75
"87","2007-05-08",793
"88","2007-05-09",803
"89","2007-05-10",777.5
"90","2007-05-11",777.5
"91","2007-05-14",773.280029
"92","2007-05-15",759.25
"93","2007-05-16",786.22998
"94","2007-05-17",781
"95","2007-05-18",779.51001
"96","2007-05-21",805.75
"97","2007-05-22",830
"98","2007-05-23",825
"99","2007-05-24",820.5
"100","2007-05-25",810
"101","2007-05-29",803
"102","2007-05-30",807.5
"103","2007-05-31",797
"104","2007-06-01",780
"105","2007-06-04",761
"106","2007-06-05",755
"107","2007-06-06",732.400024
"108","2007-06-07",710
"109","2007-06-08",720.98999
"110","2007-06-11",711
"111","2007-06-12",690.549988
"112","2007-06-13",688.5
"113","2007-06-14",696.440002
"114","2007-06-15",695
"115","2007-06-18",689
"116","2007-06-19",695
"117","2007-06-20",689.01001
"118","2007-06-21",681
"119","2007-06-22",681.200012
"120","2007-06-25",671
"121","2007-06-26",666.25
"122","2007-06-27",687
"123","2007-06-28",690
"124","2007-06-29",679.75
"125","2007-07-02",672
"126","2007-07-03",672
"127","2007-07-05",667
"128","2007-07-06",691.5
"129","2007-07-09",677.75
"130","2007-07-10",651.5
"131","2007-07-11",667.25
"132","2007-07-12",680.25
"133","2007-07-13",718
"134","2007-07-16",701
"135","2007-07-17",677.25
"136","2007-07-18",670
"137","2007-07-19",664
"138","2007-07-20",641.75
"139","2007-07-23",623.5
"140","2007-07-24",575.099976
"141","2007-07-25",582
"142","2007-07-26",579.25
"143","2007-07-27",578.179993
"144","2007-07-30",598
"145","2007-07-31",578.47998
"146","2007-08-01",599
"147","2007-08-02",618
"148","2007-08-03",599
"149","2007-08-06",608.809998
"150","2007-08-07",604
"151","2007-08-08",620
"152","2007-08-09",612
"153","2007-08-10",616
"154","2007-08-13",599.099976
"155","2007-08-14",582
"156","2007-08-15",542.75
"157","2007-08-16",555
"158","2007-08-17",569
"159","2007-08-20",569.450012
"160","2007-08-21",582.5
"161","2007-08-22",579
"162","2007-08-23",571
"163","2007-08-24",568
"164","2007-08-27",549.5
"165","2007-08-28",530.5
"166","2007-08-29",535
"167","2007-08-30",539.5
"168","2007-08-31",559.5
"169","2007-09-04",571
"170","2007-09-05",530
"171","2007-09-06",517
"172","2007-09-07",498
"173","2007-09-10",488.5
"174","2007-09-11",490
"175","2007-09-12",485.230011
"176","2007-09-13",480
"177","2007-09-14",489
"178","2007-09-17",496
"179","2007-09-18",534.710022
"180","2007-09-19",516.25
"181","2007-09-20",508.98999
"182","2007-09-21",504.5
"183","2007-09-24",476
"184","2007-09-25",450.25
"185","2007-09-26",454.200012
"186","2007-09-27",474.23999
"187","2007-09-28",470.25
"188","2007-10-01",483.299988
"189","2007-10-02",500.200012
"190","2007-10-03",524
"191","2007-10-04",498
"192","2007-10-05",497
"193","2007-10-08",474.5
"194","2007-10-09",485.5
"195","2007-10-10",477.380005
"196","2007-10-11",481.809998
"197","2007-10-12",467.5
"198","2007-10-15",444
"199","2007-10-16",431.420013
"200","2007-10-17",413.5
"201","2007-10-18",416.549988
"202","2007-10-19",429.75
"203","2007-10-22",476
"204","2007-10-23",468
"205","2007-10-24",480.899994
"206","2007-10-25",483
"207","2007-10-26",480.25
"208","2007-10-29",482.720001
"209","2007-10-30",480.75
"210","2007-10-31",475.75
"211","2007-11-01",449
"212","2007-11-02",436.700012
"213","2007-11-05",436
"214","2007-11-06",455
"215","2007-11-07",442.23999
"216","2007-11-08",478.5
"217","2007-11-09",479.850006
"218","2007-11-12",492.76001
"219","2007-11-13",512
"220","2007-11-14",504.299988
"221","2007-11-15",492.049988
"222","2007-11-16",474
"223","2007-11-19",451.429993
"224","2007-11-20",455.049988
"225","2007-11-21",441.350006
"226","2007-11-23",458.600006
"227","2007-11-26",434
"228","2007-11-27",444
"229","2007-11-28",453
"230","2007-11-29",454.25
"231","2007-11-30",492
"232","2007-12-03",487.5
"233","2007-12-04",475.5
"234","2007-12-05",493.100006
"235","2007-12-06",556.73999
"236","2007-12-07",558
"237","2007-12-10",560.5
"238","2007-12-11",529.119995
"239","2007-12-12",508
"240","2007-12-13",516
"241","2007-12-14",515.5
"242","2007-12-17",508
"243","2007-12-18",521
"244","2007-12-19",515.75
"245","2007-12-20",504
"246","2007-12-21",523
"247","2007-12-24",533
"248","2007-12-26",536
"249","2007-12-27",527
"250","2007-12-28",515
"251","2007-12-31",524
"252","2008-01-02",515.049988
"253","2008-01-03",515.700012
"254","2008-01-04",480.299988
"255","2008-01-07",475.959991
"256","2008-01-08",459.019989
"257","2008-01-09",466.529999
"258","2008-01-10",477.200012
"259","2008-01-11",478.390015
"260","2008-01-14",483.309998
"261","2008-01-15",471.179993
"262","2008-01-16",479.200012
"263","2008-01-17",488.540009
"264","2008-01-18",497
"265","2008-01-22",531.679993
"266","2008-01-23",587.97998
"267","2008-01-24",600
"268","2008-01-25",593
"269","2008-01-28",603
"270","2008-01-29",627.650024
"271","2008-01-30",603.049988
"272","2008-01-31",631.5
"273","2008-02-01",661
"274","2008-02-04",627
"275","2008-02-05",616.450012
"276","2008-02-06",588
"277","2008-02-07",595.01001
"278","2008-02-08",569.429993
"279","2008-02-11",575.679993
"280","2008-02-12",563
"281","2008-02-13",559.27002
"282","2008-02-14",548.47998
"283","2008-02-15",536.51001
"284","2008-02-19",561.809998
"285","2008-02-20",565.47998
"286","2008-02-21",567.539978
"287","2008-02-22",549.099976
"288","2008-02-25",559.26001
"289","2008-02-26",593.099976
"290","2008-02-27",588
"291","2008-02-28",575.47998
"292","2008-02-29",540.679993
"293","2008-03-03",540
"294","2008-03-04",563.5
"295","2008-03-05",558.25
"296","2008-03-06",527.280029
"297","2008-03-07",528.25
"298","2008-03-10",518.099976
"299","2008-03-11",537.200012
"300","2008-03-12",539.5
"301","2008-03-13",563.5
"302","2008-03-14",533.150024
"303","2008-03-17",526
"304","2008-03-18",566
"305","2008-03-19",585.5
"306","2008-03-20",593
"307","2008-03-24",583.869995
"308","2008-03-25",588.900024
"309","2008-03-26",577.049988
"310","2008-03-27",578.340027
"311","2008-03-28",599.130005
"312","2008-03-31",597.5
"313","2008-04-01",625
"314","2008-04-02",606.909973
"315","2008-04-03",636.950012
"316","2008-04-04",635.099976
"317","2008-04-07",627.75
"318","2008-04-08",619.799988
"319","2008-04-09",599.909973
"320","2008-04-10",626.590027
"321","2008-04-11",633.5
"322","2008-04-14",600.5
"323","2008-04-15",618.200012
"324","2008-04-16",649.919983
"325","2008-04-17",668.98999
"326","2008-04-18",655.650024
"327","2008-04-21",676.01001
"328","2008-04-22",658
"329","2008-04-23",637
"330","2008-04-24",663.909973
"331","2008-04-25",665.150024
"332","2008-04-28",671.630005
"333","2008-04-29",644.27002
"334","2008-04-30",613.5
"335","2008-05-01",644
"336","2008-05-02",637
"337","2008-05-05",637.099976
"338","2008-05-06",639.52002
"339","2008-05-07",644.049988
"340","2008-05-08",625.929993
"341","2008-05-09",610.659973
"342","2008-05-12",611
"343","2008-05-13",604.469971
"344","2008-05-14",600.900024
"345","2008-05-15",609.98999
"346","2008-05-16",601
"347","2008-05-19",589
"348","2008-05-20",570.960022
"349","2008-05-21",555.5
"350","2008-05-22",543.400024
"351","2008-05-23",532
"352","2008-05-27",532.599976
"353","2008-05-28",554.299988
"354","2008-05-29",560.530029
"355","2008-05-30",565.369995
"356","2008-06-02",558.429993
"357","2008-06-03",580
"358","2008-06-04",564.380005
"359","2008-06-05",566
"360","2008-06-06",552
"361","2008-06-09",554.460022
"362","2008-06-10",531.820007
"363","2008-06-11",514.5
"364","2008-06-12",511.029999
"365","2008-06-13",522.799988
"366","2008-06-16",539
"367","2008-06-17",551.559998
"368","2008-06-18",540.150024
"369","2008-06-19",550.25
"370","2008-06-20",543
"371","2008-06-23",529.75
"372","2008-06-24",519.909973
"373","2008-06-25",524.280029
"374","2008-06-26",511
"375","2008-06-27",518
"376","2008-06-30",500.079987
"377","2008-07-01",507.549988
"378","2008-07-02",484.549988
"379","2008-07-03",490.230011
"380","2008-07-07",491.470001
"381","2008-07-08",520.030029
"382","2008-07-09",514.98999
"383","2008-07-10",489.399994
"384","2008-07-11",480.100006
"385","2008-07-14",468
"386","2008-07-15",482.670013
"387","2008-07-16",497
"388","2008-07-17",513.969971
"389","2008-07-18",524.599976
"390","2008-07-21",503.179993
"391","2008-07-22",578.400024
"392","2008-07-23",575.25
"393","2008-07-24",535.849976
"394","2008-07-25",543.549988
"395","2008-07-28",532.710022
"396","2008-07-29",549.380005
"397","2008-07-30",542.440002
"398","2008-07-31",552.320007
"399","2008-08-01",539.169983
"400","2008-08-04",545.070007
"401","2008-08-05",568.5
"402","2008-08-06",559
"403","2008-08-07",565.5
"404","2008-08-08",594
"405","2008-08-11",601.799988
"406","2008-08-12",576.5
"407","2008-08-13",567.01001
"408","2008-08-14",585.719971
"409","2008-08-15",584.5
"410","2008-08-18",558.619995
"411","2008-08-19",544
"412","2008-08-20",548.059998
"413","2008-08-21",568.330017
"414","2008-08-22",580.5
"415","2008-08-25",560.26001
"416","2008-08-26",558.659973
"417","2008-08-27",576.309998
"418","2008-08-28",591
"419","2008-08-29",597.72998
"420","2008-09-02",595.609985
"421","2008-09-03",575.75
"422","2008-09-04",554
"423","2008-09-05",574
"424","2008-09-08",618.059998
"425","2008-09-09",565
"426","2008-09-10",564.5
"427","2008-09-11",601.02002
"428","2008-09-12",609.150024
"429","2008-09-15",584
"430","2008-09-16",603
"431","2008-09-17",574.47998
"432","2008-09-18",601.460022
"433","2008-09-19",635
"434","2008-09-22",608
"435","2008-09-23",581.400024
"436","2008-09-24",598
"437","2008-09-25",605
"438","2008-09-26",615
"439","2008-09-29",605
"440","2008-09-30",572
"441","2008-10-01",600
"442","2008-10-02",581
"443","2008-10-03",574.549988
"444","2008-10-06",560.01001
"445","2008-10-07",539.200012
"446","2008-10-08",548.150024
"447","2008-10-09",514.940002
"448","2008-10-10",535
"449","2008-10-13",555
"450","2008-10-14",534
"451","2008-10-15",511.5
"452","2008-10-16",535
"453","2008-10-17",510.600006
"454","2008-10-20",553.01001
"455","2008-10-21",550.299988
"456","2008-10-22",539.25
"457","2008-10-23",510.390015
"458","2008-10-24",492.040009
"459","2008-10-27",480
"460","2008-10-28",489.470001
"461","2008-10-29",492
"462","2008-10-30",503.399994
"463","2008-10-31",490.209991
"464","2008-11-03",498.48999
"465","2008-11-04",494
"466","2008-11-05",467.940002
"467","2008-11-06",438.079987
"468","2008-11-07",427.619995
"469","2008-11-10",385.829987
"470","2008-11-11",375.369995
"471","2008-11-12",344.049988
"472","2008-11-13",390.359985
"473","2008-11-14",395
"474","2008-11-17",372.730011
"475","2008-11-18",374.899994
"476","2008-11-19",338.450012
"477","2008-11-20",341.380005
"478","2008-11-21",347.179993
"479","2008-11-24",386.160004
"480","2008-11-25",409.5
"481","2008-11-26",431.299988
"482","2008-11-28",434.25
"483","2008-12-01",385.640015
"484","2008-12-02",402.75
"485","2008-12-03",428.119995
"486","2008-12-04",452.700012
