"","date","PTNR"
"1","2007-01-03",11.5
"2","2007-01-04",12.12
"3","2007-01-05",12
"4","2007-01-08",12.19
"5","2007-01-09",12.02
"6","2007-01-10",12.04
"7","2007-01-11",12.29
"8","2007-01-12",12.13
"9","2007-01-16",12
"10","2007-01-17",11.88
"11","2007-01-18",12.06
"12","2007-01-19",12.07
"13","2007-01-22",12.02
"14","2007-01-23",12.39
"15","2007-01-24",12.45
"16","2007-01-25",12.2
"17","2007-01-26",12.18
"18","2007-01-29",12.27
"19","2007-01-30",12.46
"20","2007-01-31",12.43
"21","2007-02-01",13.12
"22","2007-02-02",13.4
"23","2007-02-05",13.55
"24","2007-02-06",13.68
"25","2007-02-07",13.92
"26","2007-02-08",13.74
"27","2007-02-09",13.67
"28","2007-02-12",13.74
"29","2007-02-13",14.13
"30","2007-02-14",14.59
"31","2007-02-15",14.22
"32","2007-02-16",14.67
"33","2007-02-20",14.89
"34","2007-02-21",14.8
"35","2007-02-22",14.4
"36","2007-02-23",14.45
"37","2007-02-26",13.95
"38","2007-02-27",13.29
"39","2007-02-28",13.67
"40","2007-03-01",13.47
"41","2007-03-02",13.37
"42","2007-03-05",13.14
"43","2007-03-06",13.37
"44","2007-03-07",13.64
"45","2007-03-08",13.89
"46","2007-03-09",13.84
"47","2007-03-12",13.98
"48","2007-03-13",13.51
"49","2007-03-14",13.58
"50","2007-03-15",13.4
"51","2007-03-16",13.51
"52","2007-03-19",13.61
"53","2007-03-20",13.6
"54","2007-03-21",13.8
"55","2007-03-22",14.26
"56","2007-03-23",14.24
"57","2007-03-26",14.3
"58","2007-03-27",14.65
"59","2007-03-28",14.57
"60","2007-03-29",14.75
"61","2007-03-30",14.8
"62","2007-04-02",15.2
"63","2007-04-03",15.27
"64","2007-04-04",15.64
"65","2007-04-05",16.15
"66","2007-04-09",16.15
"67","2007-04-10",16.07
"68","2007-04-11",15.62
"69","2007-04-12",15.9
"70","2007-04-13",16
"71","2007-04-16",16.32
"72","2007-04-17",16.09
"73","2007-04-18",15.93
"74","2007-04-19",15.75
"75","2007-04-20",15.78
"76","2007-04-23",16.030001
"77","2007-04-24",15.99
"78","2007-04-25",16.370001
"79","2007-04-26",17.1
"80","2007-04-27",16.879999
"81","2007-04-30",16.299999
"82","2007-05-01",16.51
"83","2007-05-02",16.27
"84","2007-05-03",16.379999
"85","2007-05-04",16.73
"86","2007-05-07",16.450001
"87","2007-05-08",16.559999
"88","2007-05-09",16.75
"89","2007-05-10",16.709999
"90","2007-05-11",16.690001
"91","2007-05-14",17.110001
"92","2007-05-15",17.32
"93","2007-05-16",17.620001
"94","2007-05-17",17.370001
"95","2007-05-18",17.940001
"96","2007-05-21",18.66
"97","2007-05-22",18.809999
"98","2007-05-23",18.6
"99","2007-05-24",18.280001
"100","2007-05-25",17.5
"101","2007-05-29",17.610001
"102","2007-05-30",17.16
"103","2007-05-31",16.98
"104","2007-06-01",17.139999
"105","2007-06-04",17.17
"106","2007-06-05",17.41
"107","2007-06-06",16.98
"108","2007-06-07",16.17
"109","2007-06-08",15.8
"110","2007-06-11",15.62
"111","2007-06-12",15.09
"112","2007-06-13",14.75
"113","2007-06-14",15.31
"114","2007-06-15",15.62
"115","2007-06-18",15.91
"116","2007-06-19",16.219999
"117","2007-06-20",16.58
"118","2007-06-21",16.040001
"119","2007-06-22",15.95
"120","2007-06-25",15.92
"121","2007-06-26",15.95
"122","2007-06-27",15.82
"123","2007-06-28",15.98
"124","2007-06-29",16.139999
"125","2007-07-02",16.48
"126","2007-07-03",16.52
"127","2007-07-05",16.440001
"128","2007-07-06",16.559999
"129","2007-07-09",16.33
"130","2007-07-10",16.16
"131","2007-07-11",16.09
"132","2007-07-12",16.34
"133","2007-07-13",16.51
"134","2007-07-16",16.370001
"135","2007-07-17",16.9
"136","2007-07-18",16.940001
