"","date","PDSB"
"224","2016-08-18",185
"225","2016-08-19",180.399994
"226","2016-08-22",179.800003
"227","2016-08-23",179
"228","2016-08-24",181
"229","2016-08-25",178.199997
"230","2016-08-26",179.399994
"231","2016-08-29",178.399994
"232","2016-08-30",177.800003
"233","2016-08-31",177.800003
"234","2016-09-01",179.800003
"235","2016-09-02",179
"236","2016-09-06",179.800003
"237","2016-09-07",199
"238","2016-09-08",210.399994
"239","2016-09-09",208.600006
"240","2016-09-12",221.600006
"241","2016-09-13",218.600006
"242","2016-09-14",222
"243","2016-09-15",233.199997
"244","2016-09-16",237
"245","2016-09-19",226.399994
"246","2016-09-20",226
"247","2016-09-21",222.199997
"248","2016-09-22",226
"249","2016-09-23",221.199997
"250","2016-09-26",213.199997
"251","2016-09-27",208.399994
"252","2016-09-28",215.399994
"253","2016-09-29",206.399994
"254","2016-09-30",208.199997
"255","2016-10-03",208.399994
"256","2016-10-04",207.600006
"257","2016-10-05",224.800003
"258","2016-10-06",217.399994
"259","2016-10-07",218.199997
"260","2016-10-10",220.800003
"261","2016-10-11",215
"262","2016-10-12",211.199997
"263","2016-10-13",209.600006
"264","2016-10-14",209.600006
"265","2016-10-17",212.199997
"266","2016-10-18",211.199997
"267","2016-10-19",216.800003
"268","2016-10-20",219
"269","2016-10-21",217.199997
"270","2016-10-24",205.800003
"271","2016-10-25",204
"272","2016-10-26",200.600006
"273","2016-10-27",198.399994
"274","2016-10-28",210.399994
"275","2016-10-31",209.399994
"276","2016-11-01",201.800003
"277","2016-11-02",196.199997
"278","2016-11-03",189
"279","2016-11-04",208.199997
"280","2016-11-07",208.800003
"281","2016-11-08",202
"282","2016-11-09",200
"283","2016-11-10",200.199997
"284","2016-11-11",245
"285","2016-11-14",238.199997
"286","2016-11-15",239.199997
"287","2016-11-16",241.199997
"288","2016-11-17",241.600006
"289","2016-11-18",239.800003
"290","2016-11-21",239.199997
"291","2016-11-22",239.399994
"292","2016-11-23",247.399994
"293","2016-11-25",250.399994
"294","2016-11-28",249.399994
"295","2016-11-29",240.399994
"296","2016-11-30",242.199997
"297","2016-12-01",230.199997
"298","2016-12-02",228.800003
"299","2016-12-05",249.800003
"300","2016-12-06",229.800003
"301","2016-12-07",236.800003
"302","2016-12-08",234.600006
"303","2016-12-09",236.199997
"304","2016-12-12",232.600006
"305","2016-12-13",239
"306","2016-12-14",238.199997
"307","2016-12-15",240
"308","2016-12-16",244.600006
"309","2016-12-19",251.199997
"310","2016-12-20",252.600006
"311","2016-12-21",260.600006
"312","2016-12-22",247.800003
"313","2016-12-23",252.600006
"314","2016-12-27",253.600006
"315","2016-12-28",248.600006
"316","2016-12-29",248.600006
"317","2016-12-30",250
"318","2017-01-03",255.600006
"319","2017-01-04",259.799988
"320","2017-01-05",256.200012
"321","2017-01-06",251.600006
"322","2017-01-09",247.600006
"323","2017-01-10",252.800003
"324","2017-01-11",245
"325","2017-01-12",238.600006
"326","2017-01-13",235.399994
"327","2017-01-17",226.199997
"328","2017-01-18",221.600006
"329","2017-01-19",217.399994
"330","2017-01-20",220.199997
"331","2017-01-23",212.600006
"332","2017-01-24",212.199997
"333","2017-01-25",208
"334","2017-01-26",200.199997
"335","2017-01-27",201.199997
"336","2017-01-30",194.199997
"337","2017-01-31",192.600006
"338","2017-02-01",190.600006
"339","2017-02-02",194.199997
"340","2017-02-03",191.199997
"341","2017-02-06",190.199997
"342","2017-02-07",191
"343","2017-02-08",188.800003
"344","2017-02-09",194.600006
"345","2017-02-10",196
"346","2017-02-13",203.199997
"347","2017-02-14",201.199997
"348","2017-02-15",205.199997
"349","2017-02-16",202.600006
"350","2017-02-17",203.199997
"351","2017-02-21",206
"352","2017-02-22",205.399994
"353","2017-02-23",200
"354","2017-02-24",201.800003
"355","2017-02-27",199.800003
"356","2017-02-28",195.399994
"357","2017-03-01",196.199997
"358","2017-03-02",188
"359","2017-03-03",177.600006
"360","2017-03-06",179.399994
"361","2017-03-07",179
"362","2017-03-08",176.800003
"363","2017-03-09",175
"364","2017-03-10",179
"365","2017-03-13",177.199997
"366","2017-03-14",178.199997
"367","2017-03-15",175.600006
"368","2017-03-16",178.399994
"369","2017-03-17",174.600006
"370","2017-03-20",168
"371","2017-03-21",155.800003
"372","2017-03-22",152.399994
"373","2017-03-23",155.399994
"374","2017-03-24",156.199997
"375","2017-03-27",153.399994
"376","2017-03-28",160.600006
"377","2017-03-29",169.800003
"378","2017-03-30",181.199997
"379","2017-03-31",182.199997
"380","2017-04-03",177.600006
"381","2017-04-04",177.199997
"382","2017-04-05",178
"383","2017-04-06",178.199997
"384","2017-04-07",177.800003
"385","2017-04-10",176.399994
"386","2017-04-11",178.199997
"387","2017-04-12",176.800003
"388","2017-04-13",176.399994
"389","2017-04-17",176.399994
"390","2017-04-18",176.199997
"391","2017-04-19",177.600006
"392","2017-04-20",180.800003
"393","2017-04-21",180.399994
"394","2017-04-24",193
"395","2017-04-25",214.399994
"396","2017-04-26",210.800003
