"","date","IROQ"
"1","2011-07-08",11.67
"2","2011-07-11",11.65
"3","2011-07-12",11.7
"4","2011-07-13",11.59
"5","2011-07-14",11.56
"6","2011-07-15",11.65
"7","2011-07-18",11.65
"8","2011-07-19",11.74
"9","2011-07-20",11.66
"10","2011-07-21",11.62
"11","2011-07-22",11.6
"12","2011-07-25",11.56
"13","2011-07-26",11.53
"14","2011-07-27",11.49
"15","2011-07-28",11.45
"16","2011-07-29",11.41
"17","2011-08-01",11.44
"18","2011-08-02",11.38
"19","2011-08-03",11.36
"20","2011-08-04",11.09
"21","2011-08-05",11
"22","2011-08-08",10.85
"23","2011-08-09",10.85
"24","2011-08-10",10.96
"25","2011-08-11",10.93
"26","2011-08-12",10.9
"27","2011-08-15",11.1
"28","2011-08-16",10.79
"29","2011-08-17",11.02
"30","2011-08-18",10.9
"31","2011-08-19",10.75
"32","2011-08-22",10.8
"33","2011-08-23",10.9
"34","2011-08-24",10.9
"35","2011-08-25",10.9
"36","2011-08-26",10.86
"37","2011-08-29",10.96
"38","2011-08-30",10.99
"39","2011-08-31",11
"40","2011-09-01",10.86
"41","2011-09-02",10.81
"42","2011-09-06",11.03
"43","2011-09-07",11.01
"44","2011-09-08",11.01
"45","2011-09-09",11.03
"46","2011-09-12",11.03
"47","2011-09-13",11.02
"48","2011-09-14",11.02
"49","2011-09-15",10.99
"50","2011-09-16",10.86
"51","2011-09-19",11
"52","2011-09-20",11.02
"53","2011-09-21",10.91
"54","2011-09-22",11
"55","2011-09-23",10.9
"56","2011-09-26",11.03
"57","2011-09-27",11.1
"58","2011-09-28",11.4
"59","2011-09-29",11.13
"60","2011-09-30",11.05
"61","2011-10-03",11.05
"62","2011-10-04",11.1
"63","2011-10-05",11
"64","2011-10-06",11.02
"65","2011-10-07",11.04
"66","2011-10-10",11.07
"67","2011-10-11",11
"68","2011-10-12",11
"69","2011-10-13",11
"70","2011-10-14",11.25
"71","2011-10-17",11.34
"72","2011-10-18",11
"73","2011-10-19",11
"74","2011-10-20",11.09
"75","2011-10-21",11.1
"76","2011-10-24",11.4
"77","2011-10-25",11.3
"78","2011-10-26",11.05
"79","2011-10-27",11.31
"80","2011-10-28",11.31
"81","2011-10-31",11.08
"82","2011-11-01",11.08
"83","2011-11-02",11.13
"84","2011-11-03",11.1
"85","2011-11-04",11.1
"86","2011-11-07",11.11
"87","2011-11-08",11.1
"88","2011-11-09",11.24
"89","2011-11-10",11.17
"90","2011-11-11",11.26
"91","2011-11-14",11.29
"92","2011-11-15",11.06
"93","2011-11-16",11.2
"94","2011-11-17",11.2
"95","2011-11-18",11.3
"96","2011-11-21",11.3
"97","2011-11-22",11.1
"98","2011-11-23",11.06
"99","2011-11-25",11.06
"100","2011-11-28",11.17
"101","2011-11-29",11.17
"102","2011-11-30",11.17
"103","2011-12-01",11.04
"104","2011-12-02",11.2
"105","2011-12-05",11.13
"106","2011-12-06",11.18
"107","2011-12-07",11.18
"108","2011-12-08",11.25
"109","2011-12-09",11.1
"110","2011-12-12",11.18
"111","2011-12-13",11.1
"112","2011-12-14",11.25
"113","2011-12-15",11.25
"114","2011-12-16",11.26
"115","2011-12-19",11.12
"116","2011-12-20",11.25
"117","2011-12-21",11.1
