"","date","CTRE"
"1","2014-05-29",17.49
"2","2014-05-30",21
"3","2014-06-02",21.6
"4","2014-06-03",20.66
"5","2014-06-04",17.379999
"6","2014-06-05",18.1
"7","2014-06-06",17.67
"8","2014-06-09",17.32
"9","2014-06-10",17
"10","2014-06-11",16.860001
"11","2014-06-12",16.690001
"12","2014-06-13",17.25
"13","2014-06-16",17.59
"14","2014-06-17",18
"15","2014-06-18",18.200001
"16","2014-06-19",18.27
"17","2014-06-20",19.120001
"18","2014-06-23",18.860001
"19","2014-06-24",18.809999
"20","2014-06-25",19.16
"21","2014-06-26",19.02
"22","2014-06-27",19.26
"23","2014-06-30",19.799999
"24","2014-07-01",19.82
"25","2014-07-02",19.809999
"26","2014-07-03",19.9
"27","2014-07-07",19.530001
"28","2014-07-08",19.120001
"29","2014-07-09",19
"30","2014-07-10",18.530001
"31","2014-07-11",18.200001
"32","2014-07-14",18.219999
"33","2014-07-15",17.59
"34","2014-07-16",17.68
"35","2014-07-17",17.459999
"36","2014-07-18",18.01
"37","2014-07-21",17.74
"38","2014-07-22",17.860001
"39","2014-07-23",17.700001
"40","2014-07-24",17.59
"41","2014-07-25",17.68
"42","2014-07-28",17.809999
"43","2014-07-29",17.49
"44","2014-07-30",17.33
"45","2014-07-31",17.059999
"46","2014-08-01",16.65
"47","2014-08-04",16.309999
"48","2014-08-05",15.46
"49","2014-08-06",15.19
"50","2014-08-07",15.23
"51","2014-08-08",15.29
"52","2014-08-11",15.23
"53","2014-08-12",15.43
"54","2014-08-13",15.68
"55","2014-08-14",16.16
"56","2014-08-15",16.889999
"57","2014-08-18",17.35
"58","2014-08-19",17.610001
"59","2014-08-20",17.629999
"60","2014-08-21",17.5
"61","2014-08-22",17.58
"62","2014-08-25",17.5
"63","2014-08-26",17.52
"64","2014-08-27",17.51
"65","2014-08-28",17.610001
"66","2014-08-29",17.469999
"67","2014-09-02",17.469999
"68","2014-09-03",17.32
"69","2014-09-04",17.35
"70","2014-09-05",17.360001
"71","2014-09-08",17.629999
"72","2014-09-09",17.26
"73","2014-09-10",17.469999
"74","2014-09-11",17.030001
"75","2014-09-12",16.59
"76","2014-09-15",15.93
"77","2014-09-16",15.46
"78","2014-09-17",15.13
"79","2014-09-18",15.26
"80","2014-09-19",15.3
"81","2014-09-22",15.14
"82","2014-09-23",14.83
"83","2014-09-24",14.68
"84","2014-09-25",14.51
"85","2014-09-26",14.31
"86","2014-09-29",14.3
"87","2014-09-30",14.3
"88","2014-10-01",14.1
"89","2014-10-02",14.14
"90","2014-10-03",14.09
"91","2014-10-06",14
"92","2014-10-07",13.86
"93","2014-10-08",13.84
"94","2014-10-09",13.68
"95","2014-10-10",13.43
"96","2014-10-13",14.02
"97","2014-10-14",14.65
"98","2014-10-15",14.51
"99","2014-10-16",14.39
"100","2014-10-17",14.68
"101","2014-10-20",14.79
"102","2014-10-21",14.69
"103","2014-10-22",14.65
"104","2014-10-23",14.19
"105","2014-10-24",14.11
"106","2014-10-27",13.97
"107","2014-10-28",14.49
"108","2014-10-29",14.45
"109","2014-10-30",14.84
"110","2014-10-31",15.53
"111","2014-11-03",15.68
"112","2014-11-04",15.87
"113","2014-11-05",15.93
"114","2014-11-06",15.9
"115","2014-11-07",15.89
"116","2014-11-10",15.95
"117","2014-11-11",15.8
"118","2014-11-12",15.93
"119","2014-11-13",15.78
"120","2014-11-14",15.82
"121","2014-11-17",15.49
"122","2014-11-18",15.49
"123","2014-11-19",15.45
"124","2014-11-20",15.54
