"","date","NOW"
"1","2012-06-29",24.6
"2","2012-07-02",24.77
"3","2012-07-03",25.309999
"4","2012-07-05",25.959999
"5","2012-07-06",25.84
"6","2012-07-09",25.27
"7","2012-07-10",25.049999
"8","2012-07-11",23.74
"9","2012-07-12",24.08
"10","2012-07-13",24.18
"11","2012-07-16",24.379999
"12","2012-07-17",24.27
"13","2012-07-18",24.23
"14","2012-07-19",24
"15","2012-07-20",25.23
"16","2012-07-23",24.35
"17","2012-07-24",24.84
"18","2012-07-25",24.93
"19","2012-07-26",24.42
"20","2012-07-27",25.33
"21","2012-07-30",25.389999
"22","2012-07-31",27
"23","2012-08-01",27.709999
"24","2012-08-02",29.08
"25","2012-08-03",28.67
"26","2012-08-06",28.02
"27","2012-08-07",28
"28","2012-08-08",27.57
"29","2012-08-09",29.51
"30","2012-08-10",31.65
"31","2012-08-13",32.43
"32","2012-08-14",32.279999
"33","2012-08-15",29.68
"34","2012-08-16",29.75
"35","2012-08-17",29.6
"36","2012-08-20",29.889999
"37","2012-08-21",30.26
"38","2012-08-22",29.85
"39","2012-08-23",29.030001
"40","2012-08-24",29.700001
"41","2012-08-27",29.27
"42","2012-08-28",29.32
"43","2012-08-29",29.49
"44","2012-08-30",29.780001
"45","2012-08-31",31.1
"46","2012-09-04",33.669998
"47","2012-09-05",34.189999
"48","2012-09-06",36.060001
"49","2012-09-07",36.549999
"50","2012-09-10",34.389999
"51","2012-09-11",33.009998
"52","2012-09-12",35.049999
"53","2012-09-13",37.509998
"54","2012-09-14",39.060001
"55","2012-09-17",38.189999
"56","2012-09-18",36.799999
"57","2012-09-19",38.650002
"58","2012-09-20",38
"59","2012-09-21",39.630001
"60","2012-09-24",40.369999
"61","2012-09-25",39.990002
"62","2012-09-26",38.080002
"63","2012-09-27",40.040001
"64","2012-09-28",38.68
"65","2012-10-01",36.48
"66","2012-10-02",36.5
"67","2012-10-03",37.029999
"68","2012-10-04",37.150002
"69","2012-10-05",37
