"","date","JIH"
"1","2019-12-20",9.77
"2","2019-12-23",9.77
"3","2019-12-24",9.77
"4","2019-12-26",9.77
"5","2019-12-27",9.83
"6","2019-12-30",9.8
"7","2019-12-31",9.8
"8","2020-01-02",9.8
"9","2020-01-03",9.8
"10","2020-01-06",9.78
"11","2020-01-07",9.82
"12","2020-01-08",9.85
"13","2020-01-09",9.88
"14","2020-01-10",9.83
"15","2020-01-13",9.85
"16","2020-01-14",9.83
"17","2020-01-15",9.92
"18","2020-01-16",9.92
"19","2020-01-17",9.9
"20","2020-01-21",9.895
"21","2020-01-22",9.83
"22","2020-01-23",9.9
"23","2020-01-24",9.9
"24","2020-01-27",9.84
"25","2020-01-28",9.91
"26","2020-01-29",9.95
"27","2020-01-30",9.95
"28","2020-01-31",9.95
"29","2020-02-03",9.94
"30","2020-02-04",9.94
"31","2020-02-05",9.94
"32","2020-02-06",9.95
"33","2020-02-07",9.98
"34","2020-02-10",9.98
"35","2020-02-11",9.95
"36","2020-02-12",9.93
"37","2020-02-13",9.95
"38","2020-02-14",9.95
"39","2020-02-18",10
"40","2020-02-19",9.93
"41","2020-02-20",9.98
"42","2020-02-21",10.01
"43","2020-02-24",10
"44","2020-02-25",10
"45","2020-02-26",9.97
"46","2020-02-27",9.95
"47","2020-02-28",9.92
"48","2020-03-02",9.9
"49","2020-03-03",9.89
"50","2020-03-04",9.95
"51","2020-03-05",9.92
"52","2020-03-06",9.87
"53","2020-03-09",9.92
"54","2020-03-10",9.95
"55","2020-03-11",9.81
"56","2020-03-12",9.75
"57","2020-03-13",9.6
"58","2020-03-16",9.45
"59","2020-03-17",9.5
"60","2020-03-18",9.49
"61","2020-03-19",9.17
"62","2020-03-20",9.35
"63","2020-03-23",9.56
"64","2020-03-24",9.4
"65","2020-03-25",9.55
"66","2020-03-26",9.59
"67","2020-03-27",9.56
"68","2020-03-30",9.5
"69","2020-03-31",9.62
"70","2020-04-01",9.6
"71","2020-04-02",9.6
"72","2020-04-03",9.58
"73","2020-04-06",9.6
"74","2020-04-07",9.58
"75","2020-04-08",9.71
"76","2020-04-09",9.65
"77","2020-04-13",9.67
"78","2020-04-14",9.66
"79","2020-04-15",9.65
"80","2020-04-16",9.67
"81","2020-04-17",9.62
"82","2020-04-20",9.82
"83","2020-04-21",9.86
"84","2020-04-22",9.75
"85","2020-04-23",9.64
"86","2020-04-24",9.7
"87","2020-04-27",9.7
"88","2020-04-28",9.74
"89","2020-04-29",9.74
"90","2020-04-30",9.74
"91","2020-05-01",9.75
"92","2020-05-04",9.72
"93","2020-05-05",9.78
"94","2020-05-06",9.69
"95","2020-05-07",9.69
"96","2020-05-08",9.64
"97","2020-05-11",9.75
"98","2020-05-12",9.74
"99","2020-05-13",9.74
"100","2020-05-14",9.73
"101","2020-05-15",9.63
"102","2020-05-18",9.7
"103","2020-05-19",9.78
"104","2020-05-20",9.78
"105","2020-05-21",9.83
