"","date","PRTH"
"1","2016-12-06",9.8
"2","2016-12-07",9.8
"3","2016-12-08",9.8
"4","2016-12-09",9.8
"5","2016-12-12",9.8
"6","2016-12-13",9.8
"7","2016-12-14",9.8
"8","2016-12-15",9.8
"9","2016-12-16",9.8
"10","2016-12-19",10
"11","2016-12-20",10
"12","2016-12-21",10
"13","2016-12-22",10
"14","2016-12-23",10.04
"15","2016-12-27",10.04
"16","2016-12-28",10.04
"17","2016-12-29",10.04
"18","2016-12-30",10
"19","2017-01-03",10.04
"20","2017-01-04",10.04
"21","2017-01-05",10.04
"22","2017-01-06",10.04
"23","2017-01-09",10.04
"24","2017-01-10",10.04
"25","2017-01-11",10.04
"26","2017-01-12",10.25
"27","2017-01-13",10.25
"28","2017-01-17",10.25
"29","2017-01-18",10.25
"30","2017-01-19",10.25
"31","2017-01-20",10.25
"32","2017-01-23",10.25
"33","2017-01-24",10.25
"34","2017-01-25",10.25
"35","2017-01-26",9.95
"36","2017-01-27",9.95
"37","2017-01-30",9.95
"38","2017-01-31",9.95
"39","2017-02-01",9.95
"40","2017-02-02",9.95
"41","2017-02-03",9.95
"42","2017-02-06",9.95
"43","2017-02-07",9.95
"44","2017-02-08",9.95
"45","2017-02-09",9.95
"46","2017-02-10",9.95
"47","2017-02-13",9.95
"48","2017-02-14",9.95
"49","2017-02-15",9.95
"50","2017-02-16",9.95
"51","2017-02-17",9.95
"52","2017-02-21",9.95
"53","2017-02-22",9.95
"54","2017-02-23",9.95
"55","2017-02-24",9.95
"56","2017-02-27",9.95
"57","2017-02-28",9.95
"58","2017-03-01",10.06
"59","2017-03-02",10.06
"60","2017-03-03",10.05
"61","2017-03-06",10
"62","2017-03-07",10
"63","2017-03-08",10
"64","2017-03-09",10
"65","2017-03-10",10
"66","2017-03-13",10
"67","2017-03-14",10.07
"68","2017-03-15",10.005
"69","2017-03-16",10.005
"70","2017-03-17",10.07
"71","2017-03-20",10.07
"72","2017-03-21",10.07
"73","2017-03-22",10.07
"74","2017-03-23",10.07
"75","2017-03-24",10.07
"76","2017-03-27",10.07
"77","2017-03-28",10.07
"78","2017-03-29",10.07
"79","2017-03-30",10.07
"80","2017-03-31",10.07
"81","2017-04-03",10.07
"82","2017-04-04",10.07
"83","2017-04-05",10.07
"84","2017-04-06",10.203
"85","2017-04-07",10.203
"86","2017-04-10",10.09
"87","2017-04-11",10.12
"88","2017-04-12",10.12
"89","2017-04-13",10.12
"90","2017-04-17",10.12
"91","2017-04-18",10.12
"92","2017-04-19",10.12
"93","2017-04-20",10.12
"94","2017-04-21",10.12
"95","2017-04-24",10.12
"96","2017-04-25",10.01
"97","2017-04-26",10.01
"98","2017-04-27",10.01
"99","2017-04-28",10.01
"100","2017-05-01",10.01
"101","2017-05-02",10.01
"102","2017-05-03",10.01
"103","2017-05-04",10.01
"104","2017-05-05",10.01
"105","2017-05-08",10.01
"106","2017-05-09",10.01
"107","2017-05-10",10.01
"108","2017-05-11",10.01
"109","2017-05-12",10.01
"110","2017-05-15",10.01
"111","2017-05-16",10.01
"112","2017-05-17",10.01
"113","2017-05-18",10.01
"114","2017-05-19",10.01
"115","2017-05-22",10.01
"116","2017-05-23",10.01
"117","2017-05-24",10.01
"118","2017-05-25",10.01
"119","2017-05-26",10.01
"120","2017-05-30",10.02
"121","2017-05-31",10.02
"122","2017-06-01",10.02
"123","2017-06-02",10.02
"124","2017-06-05",10.03
"125","2017-06-06",10.03
"126","2017-06-07",10.03
"127","2017-06-08",10.03
"128","2017-06-09",10.11
"129","2017-06-12",10.11
"130","2017-06-13",10.11
"131","2017-06-14",10.11
"132","2017-06-15",10.11
"133","2017-06-16",10.09
"134","2017-06-19",10.02
"135","2017-06-20",10.02
"136","2017-06-21",10.02
"137","2017-06-22",10.09
"138","2017-06-23",10.09
"139","2017-06-26",10.02
"140","2017-06-27",10.02
"141","2017-06-28",10.02
"142","2017-06-29",10.07
"143","2017-06-30",10.07
"144","2017-07-03",10.01
"145","2017-07-05",10.01
"146","2017-07-06",10.01
"147","2017-07-07",10.01
"148","2017-07-10",10.01
"149","2017-07-11",10.01
"150","2017-07-12",10.01
"151","2017-07-13",10.01
"152","2017-07-14",10.01
"153","2017-07-17",10.09
"154","2017-07-18",10.09
