"","date","PSHG"
"1","2011-01-03",753228
"2","2011-01-04",753228
"3","2011-01-05",728532
"4","2011-01-06",728532
"5","2011-01-07",728532
"6","2011-01-10",728532
"7","2011-01-11",728532
"8","2011-01-12",728532
"9","2011-01-13",703836
"10","2011-01-14",691488
"11","2011-01-18",691488
"12","2011-01-19",641602.0625
"13","2011-01-20",630241.9375
"14","2011-01-21",622339.1875
"15","2011-01-24",631229.75
"16","2011-01-25",635181.125
"17","2011-01-26",621845.25
"18","2011-01-27",632217.625
"19","2011-01-28",624808.8125
"20","2011-01-31",617400
"21","2011-02-01",622339.1875
"22","2011-02-02",617893.9375
"23","2011-02-03",623820.9375
"24","2011-02-04",622339.1875
"25","2011-02-07",624808.8125
"26","2011-02-08",619869.625
"27","2011-02-09",620857.4375
"28","2011-02-10",614930.375
"29","2011-02-11",624808.8125
"30","2011-02-14",613942.5625
"31","2011-02-15",612460.8125
"32","2011-02-16",612460.8125
"33","2011-02-17",596161.4375
"34","2011-02-18",602582.375
"35","2011-02-22",605052
"36","2011-02-23",593691.8125
"37","2011-02-24",597643.1875
"38","2011-02-25",593691.8125
"39","2011-02-28",599618.875
"40","2011-03-01",592704
"41","2011-03-02",598631.0625
"42","2011-03-03",603570.25
"43","2011-03-04",599124.9375
"44","2011-03-07",600606.75
"45","2011-03-08",606533.75
"46","2011-03-09",624808.8125
"47","2011-03-10",617400
"48","2011-03-11",617893.9375
"49","2011-03-14",614930.375
"50","2011-03-15",605052
"51","2011-03-16",588258.75
"52","2011-03-17",587764.8125
"53","2011-03-18",584801.25
"54","2011-03-21",579862.0625
"55","2011-03-22",582825.625
"56","2011-03-23",586283.0625
"57","2011-03-24",580849.9375
"58","2011-03-25",589246.5625
"59","2011-03-28",592704
"60","2011-03-29",591716.1875
"61","2011-03-30",596655.375
"62","2011-03-31",599124.9375
"63","2011-04-01",619375.6875
"64","2011-04-04",624808.8125
"65","2011-04-05",629254.0625
"66","2011-04-06",626784.5
"67","2011-04-07",620857.4375
"68","2011-04-08",616906.0625
"69","2011-04-11",619869.625
"70","2011-04-12",617400
"71","2011-04-13",647035.1875
"72","2011-04-14",642096
"73","2011-04-15",649504.8125
"74","2011-04-18",647035.1875
"75","2011-04-19",637156.8125
"76","2011-04-20",643577.75
"77","2011-04-21",642096
"78","2011-04-25",640120.3125
"79","2011-04-26",642096
"80","2011-04-27",641602.0625
"81","2011-04-28",642096
"82","2011-04-29",642096
"83","2011-05-02",639626.375
"84","2011-05-03",637156.8125
"85","2011-05-04",633205.4375
"86","2011-05-05",631229.75
"87","2011-05-06",624808.8125
"88","2011-05-09",624314.875
"89","2011-05-10",591222.25
"90","2011-05-11",592704
"91","2011-05-12",568008
"92","2011-05-13",555166.0625
"93","2011-05-16",549732.9375
"94","2011-05-17",546275.5
"95","2011-05-18",547263.375
"96","2011-05-19",531951.8125
"97","2011-05-20",531951.8125
"98","2011-05-23",537878.875
"99","2011-05-24",534915.375
"100","2011-05-25",533433.625
"101","2011-05-26",537878.875
"102","2011-05-27",535409.25
"103","2011-05-31",507255.84375
"104","2011-06-01",471693.59375
"105","2011-06-02",471199.6875
"106","2011-06-03",457369.90625
"107","2011-06-06",443046.25
"108","2011-06-07",422301.59375
"109","2011-06-08",403532.625
"110","2011-06-09",392666.40625
"111","2011-06-10",353152.8125
