"","date","LMPX"
"1","2019-12-05",5.36
"2","2019-12-06",5.75
"3","2019-12-09",7.93
"4","2019-12-10",13.92
"5","2019-12-11",15.38
"6","2019-12-12",22.25
"7","2019-12-13",28.690001
"8","2019-12-16",25.389999
"9","2019-12-17",19.110001
"10","2019-12-18",21.469999
"11","2019-12-19",20.43
"12","2019-12-20",20.700001
"13","2019-12-23",18.950001
"14","2019-12-24",18.73
"15","2019-12-26",19.59
"16","2019-12-27",19.440001
"17","2019-12-30",17.91
"18","2019-12-31",17.839001
"19","2020-01-02",18.32
"20","2020-01-03",19.27
"21","2020-01-06",25.299999
"22","2020-01-07",27.389999
"23","2020-01-08",27.059999
"24","2020-01-09",27.25
"25","2020-01-10",27
"26","2020-01-13",28.49
"27","2020-01-14",29.940001
"28","2020-01-15",38.66
"29","2020-01-16",45.029999
"30","2020-01-17",40.810001
"31","2020-01-21",43.139999
"32","2020-01-22",43.189999
"33","2020-01-23",44
"34","2020-01-24",43.77
"35","2020-01-27",43.650002
"36","2020-01-28",44.549999
"37","2020-01-29",46.849998
"38","2020-01-30",46.529999
"39","2020-01-31",41.93
"40","2020-02-03",38.299999
"41","2020-02-04",37.009998
"42","2020-02-05",26.799999
"43","2020-02-06",24.4
"44","2020-02-07",23.709999
"45","2020-02-10",21.74
"46","2020-02-11",15.6
"47","2020-02-12",15.74
"48","2020-02-13",15.73
"49","2020-02-14",12.58
"50","2020-02-18",11.44
"51","2020-02-19",14.69
"52","2020-02-20",14.68
"53","2020-02-21",14.81
"54","2020-02-24",12.34
"55","2020-02-25",12.37
"56","2020-02-26",12.1
"57","2020-02-27",13.47
"58","2020-02-28",12.95
"59","2020-03-02",12.39
"60","2020-03-03",12.24
"61","2020-03-04",12.01
"62","2020-03-05",10.12
"63","2020-03-06",9.71
"64","2020-03-09",7.9
"65","2020-03-10",7.67
"66","2020-03-11",6.09
"67","2020-03-12",5
"68","2020-03-13",7.21
"69","2020-03-16",6.42
"70","2020-03-17",6.36
"71","2020-03-18",5
"72","2020-03-19",4.65
"73","2020-03-20",3.33
"74","2020-03-23",4.73
"75","2020-03-24",5.66
"76","2020-03-25",6.1
"77","2020-03-26",6.55
"78","2020-03-27",6.3
"79","2020-03-30",6.05
"80","2020-03-31",5.55
"81","2020-04-01",4.89
"82","2020-04-02",5.07
"83","2020-04-03",4.91
"84","2020-04-06",5.16
"85","2020-04-07",5.38
"86","2020-04-08",5.41
"87","2020-04-09",5.63
"88","2020-04-13",5.29
"89","2020-04-14",5.43
"90","2020-04-15",5.28
"91","2020-04-16",4.88
"92","2020-04-17",4.98
"93","2020-04-20",4.95
"94","2020-04-21",4.495
"95","2020-04-22",4.4
"96","2020-04-23",4.41
"97","2020-04-24",4.02
"98","2020-04-27",4.04
"99","2020-04-28",4.23
"100","2020-04-29",4.7
"101","2020-04-30",6.15
"102","2020-05-01",5.55
"103","2020-05-04",5.25
"104","2020-05-05",5.29
"105","2020-05-06",5.63
"106","2020-05-07",5.9
"107","2020-05-08",5.722
"108","2020-05-11",5.33
"109","2020-05-12",5.08
"110","2020-05-13",4.87
"111","2020-05-14",4.89
"112","2020-05-15",5.31
"113","2020-05-18",5.09
"114","2020-05-19",5.3
"115","2020-05-20",7.11
"116","2020-05-21",9.54
"117","2020-05-22",9.15
"118","2020-05-26",8.39
"119","2020-05-27",8.75
"120","2020-05-28",8.58
"121","2020-05-29",8.29
"122","2020-06-01",8.05
"123","2020-06-02",8.74
"124","2020-06-03",8.99
"125","2020-06-04",9.83
"126","2020-06-05",10.07
"127","2020-06-08",12.87
"128","2020-06-09",11.34
"129","2020-06-10",11.75
"130","2020-06-11",9.01
"131","2020-06-12",9.84
"132","2020-06-15",11.75
"133","2020-06-16",11.88
"134","2020-06-17",10.92
"135","2020-06-18",11.25
"136","2020-06-19",9.88
"137","2020-06-22",10.14
"138","2020-06-23",9.7
"139","2020-06-24",9.01
"140","2020-06-25",9.65
"141","2020-06-26",9.11
"142","2020-06-29",9.47
"143","2020-06-30",9.8
"144","2020-07-01",9.78
"145","2020-07-02",9.33
"146","2020-07-06",8.69
"147","2020-07-07",8.35
"148","2020-07-08",8.53
"149","2020-07-09",8.11
"150","2020-07-10",8.62
"151","2020-07-13",8.11
"152","2020-07-14",7.95
"153","2020-07-15",8.4
"154","2020-07-16",8.35
"155","2020-07-17",9.99
"156","2020-07-20",9.12
"157","2020-07-21",8.96
"158","2020-07-22",9.1
"159","2020-07-23",8.79
"160","2020-07-24",8.21
"161","2020-07-27",8
"162","2020-07-28",7.78
"163","2020-07-29",7.62
"164","2020-07-30",7.21
"165","2020-07-31",7.66
"166","2020-08-03",7.59
"167","2020-08-04",7.74
"168","2020-08-05",7.51
"169","2020-08-06",7.54
"170","2020-08-07",7.5
"171","2020-08-10",7.81
"172","2020-08-11",7.7
"173","2020-08-12",7.21
"174","2020-08-13",6.96
"175","2020-08-14",7.4
"176","2020-08-17",11.81
"177","2020-08-18",12.57
"178","2020-08-19",13.71
"179","2020-08-20",14.04
"180","2020-08-21",13.28
"181","2020-08-24",12.9
"182","2020-08-25",13.5
"183","2020-08-26",12.72
"184","2020-08-27",11.49
"185","2020-08-28",12.41
"186","2020-08-31",13.36
"187","2020-09-01",14.46
"188","2020-09-02",14.81
"189","2020-09-03",13.41
"190","2020-09-04",17.66
"191","2020-09-08",16.73
"192","2020-09-09",17.299999
"193","2020-09-10",18.59
"194","2020-09-11",19.98
"195","2020-09-14",19.469999
"196","2020-09-15",19.940001
"197","2020-09-16",18.059999
"198","2020-09-17",19.719999
"199","2020-09-18",22.299999
"200","2020-09-21",22.870001
"201","2020-09-22",22.99
"202","2020-09-23",20.43
"203","2020-09-24",20.52
"204","2020-09-25",21.940001
"205","2020-09-28",25.959999
"206","2020-09-29",27.16
"207","2020-09-30",27.139999
"208","2020-10-01",28.790001
"209","2020-10-02",29.75
"210","2020-10-05",29.540001
"211","2020-10-06",32.189999
"212","2020-10-07",32.369999
"213","2020-10-08",30.6
"214","2020-10-09",35.09
"215","2020-10-12",36.169998
"216","2020-10-13",39.009998
"217","2020-10-14",38.049999
"218","2020-10-15",35.849998
"219","2020-10-16",33.009998
"220","2020-10-19",29.799999
"221","2020-10-20",26.309999
"222","2020-10-21",23.549999
"223","2020-10-22",27.440001
"224","2020-10-23",26.59
"225","2020-10-26",24.809999
"226","2020-10-27",24.98
"227","2020-10-28",23.83
"228","2020-10-29",23.6
"229","2020-10-30",23.15
"230","2020-11-02",20.82
"231","2020-11-03",23.58
"232","2020-11-04",22.040001
"233","2020-11-05",25.57
"234","2020-11-06",26.6
"235","2020-11-09",26.98
"236","2020-11-10",24.190001
"237","2020-11-11",22.969999
"238","2020-11-12",22.33
"239","2020-11-13",22.559999
"240","2020-11-16",22.32
"241","2020-11-17",22.49
"242","2020-11-18",22.950001
"243","2020-11-19",25.700001
"244","2020-11-20",25.75
"245","2020-11-23",27.709999
"246","2020-11-24",26.1
"247","2020-11-25",28.83
"248","2020-11-27",28.639999
