"","date","RYB"
"1","2017-09-27",25.9
"2","2017-09-28",24.950001
"3","2017-09-29",28.5
"4","2017-10-02",31.139999
"5","2017-10-03",29.440001
"6","2017-10-04",29.200001
"7","2017-10-05",26.959999
"8","2017-10-06",27.940001
"9","2017-10-09",26.889999
"10","2017-10-10",28.68
"11","2017-10-11",28.4
"12","2017-10-12",29.860001
"13","2017-10-13",29.9
"14","2017-10-16",30.92
"15","2017-10-17",28.65
"16","2017-10-18",27.299999
"17","2017-10-19",27.370001
"18","2017-10-20",27.370001
"19","2017-10-23",26.01
"20","2017-10-24",26
"21","2017-10-25",23.969999
"22","2017-10-26",25
"23","2017-10-27",24.02
"24","2017-10-30",24.75
"25","2017-10-31",25.459999
"26","2017-11-01",25.75
"27","2017-11-02",25.59
"28","2017-11-03",25.68
"29","2017-11-06",26.4
"30","2017-11-07",26.459999
"31","2017-11-08",26.52
"32","2017-11-09",29.34
"33","2017-11-10",28.57
"34","2017-11-13",29.459999
"35","2017-11-14",30.01
"36","2017-11-15",28.129999
"37","2017-11-16",26.99
"38","2017-11-17",26.16
"39","2017-11-20",27.190001
"40","2017-11-21",27.809999
"41","2017-11-22",26.709999
"42","2017-11-24",16.450001
"43","2017-11-27",18
"44","2017-11-28",22.200001
"45","2017-11-29",20.33
"46","2017-11-30",17.700001
"47","2017-12-01",18.299999
"48","2017-12-04",17.77
"49","2017-12-05",17.91
"50","2017-12-06",17.24
"51","2017-12-07",17.15
"52","2017-12-08",17.84
"53","2017-12-11",18.48
"54","2017-12-12",17.18
"55","2017-12-13",17.110001
"56","2017-12-14",16.93
"57","2017-12-15",16.780001
"58","2017-12-18",16.360001
"59","2017-12-19",16.129999
"60","2017-12-20",15.95
"61","2017-12-21",15.69
"62","2017-12-22",16.25
"63","2017-12-26",16.780001
"64","2017-12-27",17.190001
"65","2017-12-28",16.83
"66","2017-12-29",16.879999
"67","2018-01-02",17
"68","2018-01-03",16.799999
"69","2018-01-04",16.959999
"70","2018-01-05",16.940001
"71","2018-01-08",16.77
"72","2018-01-09",16.59
"73","2018-01-10",16.700001
"74","2018-01-11",16.799999
"75","2018-01-12",16.85
"76","2018-01-16",17.75
