"","date","ICD"
"1","2014-08-08",221.199997
"2","2014-08-11",221.399994
"3","2014-08-12",220
"4","2014-08-13",220
"5","2014-08-14",219
"6","2014-08-15",220
"7","2014-08-18",217.399994
"8","2014-08-19",218.399994
"9","2014-08-20",223
"10","2014-08-21",223.600006
"11","2014-08-22",224.600006
"12","2014-08-25",224
"13","2014-08-26",224.199997
"14","2014-08-27",225.800003
"15","2014-08-28",226.199997
"16","2014-08-29",230
"17","2014-09-02",238.800003
"18","2014-09-03",237.800003
"19","2014-09-04",228.399994
"20","2014-09-05",227
"21","2014-09-08",225.199997
"22","2014-09-09",231.399994
"23","2014-09-10",230.399994
"24","2014-09-11",226
"25","2014-09-12",228
"26","2014-09-15",224.399994
"27","2014-09-16",224.199997
"28","2014-09-17",226
"29","2014-09-18",228.600006
"30","2014-09-19",227.800003
"31","2014-09-22",226
"32","2014-09-23",230.800003
"33","2014-09-24",226.199997
"34","2014-09-25",226.199997
"35","2014-09-26",238.600006
"36","2014-09-29",237.199997
"37","2014-09-30",235
"38","2014-10-01",226
"39","2014-10-02",233.800003
"40","2014-10-03",231
"41","2014-10-06",226.199997
"42","2014-10-07",226.800003
"43","2014-10-08",222
"44","2014-10-09",191.800003
"45","2014-10-10",173.199997
"46","2014-10-13",167
"47","2014-10-14",162.199997
"48","2014-10-15",158.600006
"49","2014-10-16",161.399994
"50","2014-10-17",160.399994
"51","2014-10-20",161.399994
"52","2014-10-21",167
"53","2014-10-22",155.600006
"54","2014-10-23",156.199997
"55","2014-10-24",149.199997
"56","2014-10-27",137.800003
"57","2014-10-28",137.399994
"58","2014-10-29",141.199997
"59","2014-10-30",140.399994
"60","2014-10-31",146.600006
"61","2014-11-03",148.199997
"62","2014-11-04",142.399994
"63","2014-11-05",144.600006
"64","2014-11-06",149.199997
"65","2014-11-07",151.800003
"66","2014-11-10",149.399994
"67","2014-11-11",148.800003
"68","2014-11-12",149.800003
"69","2014-11-13",151.199997
"70","2014-11-14",150
"71","2014-11-17",145.800003
"72","2014-11-18",151.600006
"73","2014-11-19",147
"74","2014-11-20",151.800003
"75","2014-11-21",156.199997
"76","2014-11-24",151
"77","2014-11-25",152.199997
"78","2014-11-26",150.199997
"79","2014-11-28",138
"80","2014-12-01",137
"81","2014-12-02",138
"82","2014-12-03",138
"83","2014-12-04",137.600006
"84","2014-12-05",137.600006
"85","2014-12-08",121
"86","2014-12-09",130
"87","2014-12-10",113.199997
"88","2014-12-11",111.199997
"89","2014-12-12",113.800003
"90","2014-12-15",112.599998
"91","2014-12-16",116
"92","2014-12-17",122
"93","2014-12-18",112.800003
"94","2014-12-19",113.400002
"95","2014-12-22",115.800003
"96","2014-12-23",112.199997
"97","2014-12-24",110.599998
"98","2014-12-26",112.599998
"99","2014-12-29",109.599998
"100","2014-12-30",101.199997
"101","2014-12-31",104.400002
"102","2015-01-02",104
"103","2015-01-05",97.800003
"104","2015-01-06",93
"105","2015-01-07",89
"106","2015-01-08",92.400002
"107","2015-01-09",91.800003
"108","2015-01-12",92
"109","2015-01-13",95.400002
"110","2015-01-14",97.800003
"111","2015-01-15",92.599998
"112","2015-01-16",95.800003
"113","2015-01-20",94
"114","2015-01-21",97.599998
"115","2015-01-22",100.800003
"116","2015-01-23",103
"117","2015-01-26",105.199997
"118","2015-01-27",109.599998
"119","2015-01-28",102.199997
"120","2015-01-29",99
"121","2015-01-30",96.599998
"122","2015-02-02",100.400002
"123","2015-02-03",108.199997
"124","2015-02-04",103.599998
"125","2015-02-05",107.800003
"126","2015-02-06",110
"127","2015-02-09",122
"128","2015-02-10",113.800003
"129","2015-02-11",113.599998
"130","2015-02-12",120
"131","2015-02-13",121
"132","2015-02-17",116.199997
"133","2015-02-18",121.199997
"134","2015-02-19",117.800003
"135","2015-02-20",115.800003
"136","2015-02-23",114
"137","2015-02-24",115.800003
"138","2015-02-25",114.400002
"139","2015-02-26",115.400002
"140","2015-02-27",114.199997
"141","2015-03-02",112.199997
"142","2015-03-03",117
"143","2015-03-04",117
"144","2015-03-05",115.400002
"145","2015-03-06",112.400002
"146","2015-03-09",115
"147","2015-03-10",112
"148","2015-03-11",111.800003
"149","2015-03-12",113.400002
"150","2015-03-13",110.400002
"151","2015-03-16",116
"152","2015-03-17",117.400002
"153","2015-03-18",119.800003
"154","2015-03-19",120
"155","2015-03-20",120.800003
"156","2015-03-23",125
"157","2015-03-24",129.800003
"158","2015-03-25",130.199997
"159","2015-03-26",131.600006
"160","2015-03-27",131.600006
"161","2015-03-30",133.199997
"162","2015-03-31",139.399994
"163","2015-04-01",140.399994
"164","2015-04-02",145.600006
"165","2015-04-06",148.199997
"166","2015-04-07",147
"167","2015-04-08",142.800003
"168","2015-04-09",140.199997
"169","2015-04-10",140.399994
"170","2015-04-13",142.800003
"171","2015-04-14",152.199997
"172","2015-04-15",149.800003
"173","2015-04-16",152.800003
"174","2015-04-17",158.399994
"175","2015-04-20",166
"176","2015-04-21",164
"177","2015-04-22",161.399994
"178","2015-04-23",156.800003
"179","2015-04-24",160.800003
"180","2015-04-27",158.199997
"181","2015-04-28",157.800003
"182","2015-04-29",158.399994
"183","2015-04-30",153.199997
"184","2015-05-01",158.399994
"185","2015-05-04",156.800003
"186","2015-05-05",156
"187","2015-05-06",153.600006
"188","2015-05-07",158
"189","2015-05-08",157.199997
"190","2015-05-11",156.800003
"191","2015-05-12",158.399994
"192","2015-05-13",162.399994
"193","2015-05-14",160
"194","2015-05-15",158
"195","2015-05-18",158.600006
"196","2015-05-19",156.399994
"197","2015-05-20",154.600006
"198","2015-05-21",156.600006
"199","2015-05-22",150.800003
"200","2015-05-26",145.399994
"201","2015-05-27",146.399994
"202","2015-05-28",147.600006
"203","2015-05-29",146.800003
"204","2015-06-01",144.800003
"205","2015-06-02",148
