"","date","AMPH"
"1","2014-06-25",8.75
"2","2014-06-26",10.01
"3","2014-06-27",10.5
"4","2014-06-30",10.01
"5","2014-07-01",9.75
"6","2014-07-02",9.14
"7","2014-07-03",9.07
"8","2014-07-07",8.75
"9","2014-07-08",9
"10","2014-07-09",9.05
"11","2014-07-10",8.69
"12","2014-07-11",9.29
"13","2014-07-14",9.83
"14","2014-07-15",9.49
"15","2014-07-16",9.65
"16","2014-07-17",9.58
"17","2014-07-18",9.55
"18","2014-07-21",9.35
"19","2014-07-22",9.5
"20","2014-07-23",9.14
"21","2014-07-24",9.22
"22","2014-07-25",8.98
"23","2014-07-28",8.97
"24","2014-07-29",9.12
"25","2014-07-30",9.04
"26","2014-07-31",8.88
"27","2014-08-01",8.84
"28","2014-08-04",8.83
"29","2014-08-05",8.75
"30","2014-08-06",9.44
"31","2014-08-07",9.45
"32","2014-08-08",10
"33","2014-08-11",10
"34","2014-08-12",10.2
"35","2014-08-13",10.15
"36","2014-08-14",10.13
"37","2014-08-15",10.15
"38","2014-08-18",10.02
"39","2014-08-19",10.01
"40","2014-08-20",10.08
"41","2014-08-21",10.07
"42","2014-08-22",10.12
"43","2014-08-25",11.46
"44","2014-08-26",11.5
"45","2014-08-27",11.36
"46","2014-08-28",11.58
"47","2014-08-29",12.09
"48","2014-09-02",12
"49","2014-09-03",11.99
"50","2014-09-04",11.86
"51","2014-09-05",11.92
"52","2014-09-08",11.91
"53","2014-09-09",11.97
"54","2014-09-10",12.23
"55","2014-09-11",12.14
"56","2014-09-12",11.91
"57","2014-09-15",12.19
"58","2014-09-16",12.18
"59","2014-09-17",11.99
"60","2014-09-18",11.96
"61","2014-09-19",11.28
"62","2014-09-22",10.95
"63","2014-09-23",11.49
"64","2014-09-24",12
"65","2014-09-25",12
"66","2014-09-26",11.83
"67","2014-09-29",11.96
"68","2014-09-30",11.65
"69","2014-10-01",11.12
"70","2014-10-02",11.15
"71","2014-10-03",11.41
"72","2014-10-06",11.35
"73","2014-10-07",10.91
"74","2014-10-08",11
"75","2014-10-09",11.02
"76","2014-10-10",10.94
"77","2014-10-13",11.03
"78","2014-10-14",10.99
"79","2014-10-15",10.49
"80","2014-10-16",10.97
"81","2014-10-17",10.39
"82","2014-10-20",10.31
"83","2014-10-21",10.22
"84","2014-10-22",10.17
"85","2014-10-23",10.09
"86","2014-10-24",10.07
"87","2014-10-27",10.14
"88","2014-10-28",10.21
"89","2014-10-29",9.96
"90","2014-10-30",9.94
"91","2014-10-31",10.14
"92","2014-11-03",10
"93","2014-11-04",10
"94","2014-11-05",9.95
"95","2014-11-06",10.17
"96","2014-11-07",10.09
"97","2014-11-10",10.03
"98","2014-11-11",9.93
"99","2014-11-12",10.05
"100","2014-11-13",10.63
"101","2014-11-14",10.25
"102","2014-11-17",10.32
"103","2014-11-18",10.37
"104","2014-11-19",10.21
"105","2014-11-20",10.48
"106","2014-11-21",10.56
"107","2014-11-24",10.6
"108","2014-11-25",10.62
"109","2014-11-26",10.61
"110","2014-11-28",10.43
"111","2014-12-01",10.88
"112","2014-12-02",11
"113","2014-12-03",11.43
"114","2014-12-04",11.84
"115","2014-12-05",12.13
"116","2014-12-08",12.39
"117","2014-12-09",12.03
