"","date","JEF"
"213","2007-11-05",44.555431
"214","2007-11-06",45.220982
"215","2007-11-07",43.27903
"216","2007-11-08",43.579899
"217","2007-11-09",41.446487
"218","2007-11-12",39.996864
"219","2007-11-13",41.227676
"220","2007-11-14",40.96328
"221","2007-11-15",40.635063
"222","2007-11-16",41.464722
"223","2007-11-19",39.923927
"224","2007-11-20",39.705116
"225","2007-11-21",39.395134
"226","2007-11-23",40.635063
"227","2007-11-26",38.99398
"228","2007-11-27",40.088036
"229","2007-11-28",42.184975
"230","2007-11-29",42.257912
"231","2007-11-30",42.814056
"232","2007-12-03",42.239677
"233","2007-12-04",42.467606
"234","2007-12-05",43.853413
"235","2007-12-06",45.138927
"236","2007-12-07",44.646603
"237","2007-12-10",45.877415
"238","2007-12-11",43.634602
"239","2007-12-12",44.78336
"240","2007-12-13",44.646603
"241","2007-12-14",43.889881
"242","2007-12-17",43.08757
"243","2007-12-18",43.15139
"244","2007-12-19",43.224327
"245","2007-12-20",43.379322
"246","2007-12-21",44.081341
"247","2007-12-24",44.33662
"248","2007-12-26",44.327503
"249","2007-12-27",43.598133
"250","2007-12-28",44.072224
"251","2007-12-31",42.941696
"252","2008-01-02",41.574127
"253","2008-01-03",42.349083
"254","2008-01-04",40.999748
"255","2008-01-07",40.926811
"256","2008-01-08",40.534775
"257","2008-01-09",41.109154
"258","2008-01-10",41.765587
"259","2008-01-11",41.045334
"260","2008-01-14",41.473839
"261","2008-01-15",40.270378
"262","2008-01-16",40.306847
"263","2008-01-17",38.437836
"264","2008-01-18",38.848106
"265","2008-01-22",38.073147
"266","2008-01-23",39.267494
"267","2008-01-24",38.665764
"268","2008-01-25",37.799633
"269","2008-01-28",38.930161
"270","2008-01-29",39.686882
"271","2008-01-30",39.832756
"272","2008-01-31",40.270378
"273","2008-02-01",41.947929
"274","2008-02-04",41.884109
"275","2008-02-05",41.145622
"276","2008-02-06",41.555893
"277","2008-02-07",41.683533
"278","2008-02-08",42.057335
"279","2008-02-11",42.850525
"280","2008-02-12",42.850525
"281","2008-02-13",42.595245
"282","2008-02-14",41.637947
"283","2008-02-15",41.957047
"284","2008-02-19",42.057335
"285","2008-02-20",43.15139
"286","2008-02-21",41.938812
"287","2008-02-22",42.412903
"288","2008-02-25",42.859642
"289","2008-02-26",42.403786
"290","2008-02-27",43.34285
"291","2008-02-28",42.540543
"292","2008-02-29",41.264145
"293","2008-03-03",41.528542
"294","2008-03-04",40.325081
"295","2008-03-05",42.102921
"296","2008-03-06",41.874992
"297","2008-03-07",41.893227
"298","2008-03-10",39.705116
"299","2008-03-11",42.093803
"300","2008-03-12",42.750237
"301","2008-03-13",42.376434
"302","2008-03-14",41.045334
"303","2008-03-17",39.477188
"304","2008-03-18",41.984398
"305","2008-03-19",40.005981
"306","2008-03-20",41.300613
"307","2008-03-24",41.455605
"308","2008-03-25",42.029984
"309","2008-03-26",41.090919
"310","2008-03-27",41.0271
"311","2008-03-28",40.133621
"312","2008-03-31",41.227676
"313","2008-04-01",44.446026
"314","2008-04-02",45.412441
"315","2008-04-03",45.904766
"316","2008-04-04",47.545849
"317","2008-04-07",48.4758
"318","2008-04-08",47.263218
"319","2008-04-09",47.071758
"320","2008-04-10",46.880299
"321","2008-04-11",46.205631
"322","2008-04-14",46.524731
"323","2008-04-15",46.743542
"324","2008-04-16",49.323692
"325","2008-04-17",48.019939
"326","2008-04-18",48.649025
"327","2008-04-21",48.731079
"328","2008-04-22",48.111111
"329","2008-04-23",47.992588
"330","2008-04-24",47.317921
"331","2008-04-25",47.463795
"332","2008-04-28",48.421093
"333","2008-04-29",47.454678
"334","2008-04-30",46.697956
"335","2008-05-01",47.071758
"336","2008-05-02",47.864948
"337","2008-05-05",47.272335
"338","2008-05-06",49.132233
"339","2008-05-07",48.047291
"340","2008-05-08",48.621674
"341","2008-05-09",48.111111
"342","2008-05-12",48.4758
"343","2008-05-13",48.977242
"344","2008-05-14",48.913422
"345","2008-05-15",50.590973
"346","2008-05-16",51.356812
"347","2008-05-19",50.627441
"348","2008-05-20",50.208054
"349","2008-05-21",48.685493
"350","2008-05-22",48.603439
"351","2008-05-23",48.111111
"352","2008-05-27",47.947002
"353","2008-05-28",48.639908
"354","2008-05-29",49.296341
"355","2008-05-30",49.506035
"356","2008-06-02",47.600552
"357","2008-06-03",46.688839
"358","2008-06-04",46.506496
"359","2008-06-05",47.226749
"360","2008-06-06",45.959469
"361","2008-06-09",46.214748
"362","2008-06-10",46.260334
"363","2008-06-11",44.418674
"364","2008-06-12",44.78336
"365","2008-06-13",45.804478
"366","2008-06-16",46.378857
"367","2008-06-17",46.71619
"368","2008-06-18",46.260334
"369","2008-06-19",45.758892
"370","2008-06-20",44.154278
"371","2008-06-23",44.172512
"372","2008-06-24",43.935467
"373","2008-06-25",44.628368
"374","2008-06-26",42.303497
"375","2008-06-27",42.586128
"376","2008-06-30",42.795822
"377","2008-07-01",42.139389
"378","2008-07-02",41.337082
"379","2008-07-03",40.480072
"380","2008-07-07",39.705116
"381","2008-07-08",41.127388
"382","2008-07-09",39.823639
"383","2008-07-10",39.741585
"384","2008-07-11",39.714233
"385","2008-07-14",38.930161
"386","2008-07-15",38.820755
"387","2008-07-16",39.103386
"388","2008-07-17",41.455605
"389","2008-07-18",40.388901
"390","2008-07-21",39.969513
"391","2008-07-22",40.470955
"392","2008-07-23",41.337082
"393","2008-07-24",39.860107
"394","2008-07-25",39.741585
"395","2008-07-28",38.510773
"396","2008-07-29",40.051567
"397","2008-07-30",41.528542
"398","2008-07-31",40.817406
"399","2008-08-01",40.279495
"400","2008-08-04",40.005981
"401","2008-08-05",39.814522
"402","2008-08-06",40.881226
"403","2008-08-07",39.431602
"404","2008-08-08",40.83564
"405","2008-08-11",41.975281
"406","2008-08-12",40.662415
"407","2008-08-13",39.723351
"408","2008-08-14",38.975746
