"","date","OYST"
"1","2019-11-01",17.9
"2","2019-11-04",18
"3","2019-11-05",17.02
"4","2019-11-06",16.280001
"5","2019-11-07",16.190001
"6","2019-11-08",15.5
"7","2019-11-11",15.16
"8","2019-11-12",14.65
"9","2019-11-13",14.19
"10","2019-11-14",13.55
"11","2019-11-15",13.8
"12","2019-11-18",14.88
"13","2019-11-19",15.2
"14","2019-11-20",14.48
"15","2019-11-21",14.5
"16","2019-11-22",14.89
"17","2019-11-25",16.58
"18","2019-11-26",17.51
"19","2019-11-27",17.360001
"20","2019-11-29",16.91
"21","2019-12-02",17.059999
"22","2019-12-03",17.49
"23","2019-12-04",17.870001
"24","2019-12-05",18.450001
"25","2019-12-06",16.99
"26","2019-12-09",17.33
"27","2019-12-10",16.799999
"28","2019-12-11",16.280001
"29","2019-12-12",16.9
"30","2019-12-13",18.15
"31","2019-12-16",17
"32","2019-12-17",16.41
"33","2019-12-18",17.4
"34","2019-12-19",17.57
"35","2019-12-20",19.24
"36","2019-12-23",20.93
"37","2019-12-24",22.540001
"38","2019-12-26",26.15
"39","2019-12-27",24.58
"40","2019-12-30",24.26
"41","2019-12-31",24.440001
"42","2020-01-02",23.65
"43","2020-01-03",25.860001
"44","2020-01-06",27.129999
"45","2020-01-07",27.48
"46","2020-01-08",26.84
"47","2020-01-09",26.68
"48","2020-01-10",26.780001
"49","2020-01-13",28.040001
"50","2020-01-14",26.48
"51","2020-01-15",25.41
"52","2020-01-16",24.74
"53","2020-01-17",26.27
"54","2020-01-21",28.379999
"55","2020-01-22",29.93
"56","2020-01-23",35.150002
"57","2020-01-24",34.43
"58","2020-01-27",34.66
"59","2020-01-28",30.82
"60","2020-01-29",32.66
"61","2020-01-30",31.940001
"62","2020-01-31",31.5
"63","2020-02-03",32.650002
"64","2020-02-04",32.150002
"65","2020-02-05",32.939999
"66","2020-02-06",31.9
"67","2020-02-07",32.16
"68","2020-02-10",35.110001
"69","2020-02-11",35.209999
"70","2020-02-12",35.290001
"71","2020-02-13",33.869999
"72","2020-02-14",33.209999
"73","2020-02-18",34.200001
"74","2020-02-19",35.080002
"75","2020-02-20",36.740002
"76","2020-02-21",38.900002
"77","2020-02-24",38.049999
"78","2020-02-25",37.919998
"79","2020-02-26",40.959999
"80","2020-02-27",34.299999
"81","2020-02-28",35.41
"82","2020-03-02",36.580002
"83","2020-03-03",35.82
"84","2020-03-04",35.84
"85","2020-03-05",32.200001
"86","2020-03-06",31.76
"87","2020-03-09",32.18
"88","2020-03-10",33.830002
"89","2020-03-11",31.309999
"90","2020-03-12",27.51
"91","2020-03-13",31.440001
"92","2020-03-16",27.51
"93","2020-03-17",31.65
"94","2020-03-18",30.25
"95","2020-03-19",32.07
"96","2020-03-20",35.630001
"97","2020-03-23",34.509998
"98","2020-03-24",36.360001
"99","2020-03-25",35.73
"100","2020-03-26",36.200001
"101","2020-03-27",35.66
"102","2020-03-30",35.889999
"103","2020-03-31",35
"104","2020-04-01",31.75
"105","2020-04-02",31
"106","2020-04-03",30.700001
"107","2020-04-06",30.48
"108","2020-04-07",30.969999
"109","2020-04-08",28.76
"110","2020-04-09",29.48
"111","2020-04-13",29.41
"112","2020-04-14",29.1
"113","2020-04-15",29.01
"114","2020-04-16",29.23
"115","2020-04-17",30.35
"116","2020-04-20",30.07
"117","2020-04-21",29.469999
"118","2020-04-22",30.290001
"119","2020-04-23",29.99
"120","2020-04-24",30.32
"121","2020-04-27",35.93
"122","2020-04-28",33.099998
"123","2020-04-29",32.259998
"124","2020-04-30",29.4
"125","2020-05-01",29.950001
"126","2020-05-04",30.18
"127","2020-05-05",30.65
"128","2020-05-06",30.290001
"129","2020-05-07",30.6
"130","2020-05-08",33.82
"131","2020-05-11",35.169998
"132","2020-05-12",32.18
"133","2020-05-13",30.01
"134","2020-05-14",32.029999
"135","2020-05-15",29.5
"136","2020-05-18",29.879999
"137","2020-05-19",28.870001
"138","2020-05-20",28.959999
"139","2020-05-21",28.67
"140","2020-05-22",29.059999
"141","2020-05-26",28.9
"142","2020-05-27",28.91
"143","2020-05-28",28.18
"144","2020-05-29",28.459999
"145","2020-06-01",29.120001
"146","2020-06-02",29.09
"147","2020-06-03",29.66
"148","2020-06-04",30.549999
"149","2020-06-05",29.08
"150","2020-06-08",28.030001
"151","2020-06-09",27.959999
"152","2020-06-10",29.65
"153","2020-06-11",27.860001
"154","2020-06-12",28.75
"155","2020-06-15",30.790001
"156","2020-06-16",31.549999
"157","2020-06-17",29.76
"158","2020-06-18",32.580002
"159","2020-06-19",32.02
"160","2020-06-22",31.52
"161","2020-06-23",31.110001
"162","2020-06-24",29.18
"163","2020-06-25",28.969999
"164","2020-06-26",28.450001
"165","2020-06-29",28.530001
"166","2020-06-30",28.879999
"167","2020-07-01",29.120001
"168","2020-07-02",28.4
"169","2020-07-06",27.75
"170","2020-07-07",26.41
"171","2020-07-08",26.1
"172","2020-07-09",26.700001
"173","2020-07-10",25.450001
"174","2020-07-13",24.440001
"175","2020-07-14",24.799999
