"","date","NSIT"
"1","2007-01-03",18.9
"2","2007-01-04",19.200001
"3","2007-01-05",18.950001
"4","2007-01-08",19.209999
"5","2007-01-09",19.360001
"6","2007-01-10",19.540001
"7","2007-01-11",19.809999
"8","2007-01-12",19.700001
"9","2007-01-16",19.620001
"10","2007-01-17",19.43
"11","2007-01-18",19.1
"12","2007-01-19",19.309999
"13","2007-01-22",18.719999
"14","2007-01-23",18.969999
"15","2007-01-24",19.059999
"16","2007-01-25",18.98
"17","2007-01-26",18.66
"18","2007-01-29",18.540001
"19","2007-01-30",18.66
"20","2007-01-31",20.33
"21","2007-02-01",20.25
"22","2007-02-02",19.950001
"23","2007-02-05",19.75
"24","2007-02-06",20.129999
"25","2007-02-07",20.280001
"26","2007-02-08",20.18
"27","2007-02-09",20.110001
"28","2007-02-12",20.09
"29","2007-02-13",20.129999
"30","2007-02-14",19.93
"31","2007-02-15",20.040001
"32","2007-02-16",19.860001
"33","2007-02-20",20.129999
"34","2007-02-21",20.23
"35","2007-02-22",20.24
"36","2007-02-23",20.32
"37","2007-02-26",20.23
"38","2007-02-27",19.43
"39","2007-02-28",19.32
"40","2007-03-01",19.030001
"41","2007-03-02",18.629999
"42","2007-03-05",18.309999
"43","2007-03-06",18.559999
"44","2007-03-07",18.370001
"45","2007-03-08",18.17
"46","2007-03-09",18.58
"47","2007-03-12",18.370001
"48","2007-03-13",17.75
"49","2007-03-14",17.83
"50","2007-03-15",17.790001
"51","2007-03-16",17.870001
"52","2007-03-19",17.959999
"53","2007-03-20",18.09
"54","2007-03-21",18.190001
"55","2007-03-22",18.17
"56","2007-03-23",18.209999
"57","2007-03-26",18.120001
"58","2007-03-27",17.889999
"59","2007-03-28",18
"60","2007-03-29",18.049999
"61","2007-03-30",17.98
"62","2007-04-02",17.98
"63","2007-04-03",18.65
"64","2007-04-04",18.610001
"65","2007-04-05",18.32
"66","2007-04-09",18.66
"67","2007-04-10",18.629999
"68","2007-04-11",18.559999
"69","2007-04-12",19.129999
"70","2007-04-13",19.27
