"","date","DAKT"
"1","2007-01-03",35.919998
"2","2007-01-04",35.369999
"3","2007-01-05",34.91
"4","2007-01-08",35.490002
"5","2007-01-09",35.02
"6","2007-01-10",35.07
"7","2007-01-11",36.450001
"8","2007-01-12",37.240002
"9","2007-01-16",36.509998
"10","2007-01-17",36.049999
"11","2007-01-18",34.639999
"12","2007-01-19",34.439999
"13","2007-01-22",33.619999
"14","2007-01-23",34.93
"15","2007-01-24",36.259998
"16","2007-01-25",35.240002
"17","2007-01-26",34.919998
"18","2007-01-29",35.139999
"19","2007-01-30",34.25
"20","2007-01-31",34.57
"21","2007-02-01",34.439999
"22","2007-02-02",34.470001
"23","2007-02-05",35.189999
"24","2007-02-06",36.689999
"25","2007-02-07",37.330002
"26","2007-02-08",37.389999
"27","2007-02-09",36.599998
"28","2007-02-12",38.779999
"29","2007-02-13",38.09
"30","2007-02-14",30.09
"31","2007-02-15",29.32
"32","2007-02-16",29.65
"33","2007-02-20",29.360001
"34","2007-02-21",29.469999
"35","2007-02-22",29.309999
"36","2007-02-23",28.360001
"37","2007-02-26",28.139999
"38","2007-02-27",27.200001
"39","2007-02-28",26.67
"40","2007-03-01",26.129999
"41","2007-03-02",26.17
"42","2007-03-05",24.42
"43","2007-03-06",24.959999
"44","2007-03-07",25.450001
"45","2007-03-08",24.870001
"46","2007-03-09",25.309999
"47","2007-03-12",25.24
"48","2007-03-13",24.52
"49","2007-03-14",24.469999
"50","2007-03-15",24.549999
"51","2007-03-16",24.469999
"52","2007-03-19",24.6
"53","2007-03-20",24.41
"54","2007-03-21",26.040001
"55","2007-03-22",26.530001
"56","2007-03-23",26.9
"57","2007-03-26",27.01
"58","2007-03-27",26.25
"59","2007-03-28",26.41
"60","2007-03-29",26.91
"61","2007-03-30",27.440001
"62","2007-04-02",27.68
"63","2007-04-03",27.74
"64","2007-04-04",28.01
"65","2007-04-05",27.91
"66","2007-04-09",22.129999
"67","2007-04-10",22.6
"68","2007-04-11",23.01
"69","2007-04-12",23.49
"70","2007-04-13",23.780001
"71","2007-04-16",24.35
"72","2007-04-17",24.290001
"73","2007-04-18",24.1
"74","2007-04-19",24.26
"75","2007-04-20",24.75
"76","2007-04-23",24.549999
"77","2007-04-24",24.219999
"78","2007-04-25",24
"79","2007-04-26",24.48
"80","2007-04-27",23.92
"81","2007-04-30",22.780001
"82","2007-05-01",22.41
"83","2007-05-02",22.549999
"84","2007-05-03",22.200001
"85","2007-05-04",22.690001
"86","2007-05-07",22.49
"87","2007-05-08",22.200001
"88","2007-05-09",22.41
"89","2007-05-10",22.059999
"90","2007-05-11",22.290001
"91","2007-05-14",22.040001
"92","2007-05-15",22.41
"93","2007-05-16",22.34
"94","2007-05-17",21.99
"95","2007-05-18",22.93
"96","2007-05-21",23.469999
"97","2007-05-22",24.18
"98","2007-05-23",24.42
"99","2007-05-24",23.9
"100","2007-05-25",24.48
"101","2007-05-29",25.129999
"102","2007-05-30",24.59
"103","2007-05-31",23.959999
"104","2007-06-01",23.860001
"105","2007-06-04",23.540001
"106","2007-06-05",23.32
"107","2007-06-06",23.190001
"108","2007-06-07",22.530001
"109","2007-06-08",22.129999
"110","2007-06-11",21.41
"111","2007-06-12",20.74
"112","2007-06-13",20.83
"113","2007-06-14",21.1
"114","2007-06-15",20.940001
"115","2007-06-18",20.9
"116","2007-06-19",21.24
"117","2007-06-20",21.110001
"118","2007-06-21",21.34
"119","2007-06-22",21.23
"120","2007-06-25",20.85
"121","2007-06-26",20.59
"122","2007-06-27",20.91
"123","2007-06-28",21.26
"124","2007-06-29",21.48
"125","2007-07-02",21.459999
"126","2007-07-03",21.709999
"127","2007-07-05",21.299999
"128","2007-07-06",22.16
"129","2007-07-09",22.459999
"130","2007-07-10",22.17
"131","2007-07-11",23.15
"132","2007-07-12",23.549999
"133","2007-07-13",23.4
"134","2007-07-16",24.209999
"135","2007-07-17",24.049999
"136","2007-07-18",23.51
"137","2007-07-19",23.83
"138","2007-07-20",23.68
"139","2007-07-23",23.530001
"140","2007-07-24",22.790001
"141","2007-07-25",22.77
"142","2007-07-26",22.26
"143","2007-07-27",21.639999
"144","2007-07-30",21.83
"145","2007-07-31",21.26
"146","2007-08-01",21.690001
"147","2007-08-02",21.969999
"148","2007-08-03",21.85
"149","2007-08-06",22.709999
"150","2007-08-07",25
"151","2007-08-08",26.469999
"152","2007-08-09",27.9
"153","2007-08-10",26.09
"154","2007-08-13",26.23
"155","2007-08-14",24.799999
"156","2007-08-15",24.889999
"157","2007-08-16",25.129999
"158","2007-08-17",24.92
"159","2007-08-20",25.92
"160","2007-08-21",26.309999
"161","2007-08-22",26.84
"162","2007-08-23",26.559999
"163","2007-08-24",26.74
"164","2007-08-27",26.51
"165","2007-08-28",26.48
"166","2007-08-29",27.379999
"167","2007-08-30",26.799999
"168","2007-08-31",27.5
"169","2007-09-04",27.530001
"170","2007-09-05",28.549999
"171","2007-09-06",28.469999
"172","2007-09-07",27.299999
"173","2007-09-10",27.27
"174","2007-09-11",27.690001
