"","date","FRBK"
"1","2007-01-03",11.863636
"2","2007-01-04",11.690909
"3","2007-01-05",11.727273
"4","2007-01-08",11.645454
"5","2007-01-09",11.763637
"6","2007-01-10",11.590909
"7","2007-01-11",11.463636
"8","2007-01-12",11.4
"9","2007-01-16",11.563637
"10","2007-01-17",11.554545
"11","2007-01-18",11.509091
"12","2007-01-19",11.581819
"13","2007-01-22",11.545455
"14","2007-01-23",11.590909
"15","2007-01-24",11.709091
"16","2007-01-25",11.572727
"17","2007-01-26",11.672728
"18","2007-01-29",11.609091
"19","2007-01-30",11.790909
"20","2007-01-31",11.690909
"21","2007-02-01",11.681818
"22","2007-02-02",11.763637
"23","2007-02-05",11.609091
"24","2007-02-06",11.527273
"25","2007-02-07",11.527273
"26","2007-02-08",11.490909
"27","2007-02-09",11.527273
"28","2007-02-12",11.490909
"29","2007-02-13",11.481818
"30","2007-02-14",11.527273
"31","2007-02-15",11.509091
"32","2007-02-16",11.518182
"33","2007-02-20",11.472727
"34","2007-02-21",11.490909
"35","2007-02-22",11.481818
"36","2007-02-23",11.518182
"37","2007-02-26",11.636364
"38","2007-02-27",11.590909
"39","2007-02-28",11.454545
"40","2007-03-01",11.163636
"41","2007-03-02",11.181818
"42","2007-03-05",11.127273
"43","2007-03-06",11.218182
"44","2007-03-07",11.863636
"45","2007-03-08",11.354546
"46","2007-03-09",11.572727
"47","2007-03-12",11.645454
"48","2007-03-13",11.454545
"49","2007-03-14",11.309091
"50","2007-03-15",11.218182
"51","2007-03-16",11.236363
"52","2007-03-19",11.563637
"53","2007-03-20",11.690909
"54","2007-03-21",11.781818
"55","2007-03-22",11.690909
"56","2007-03-23",11.672728
"57","2007-03-26",11.745455
"58","2007-03-27",11.663636
"59","2007-03-28",11.745455
"60","2007-03-29",11.581819
"61","2007-03-30",11.745455
"62","2007-04-02",11.772727
"63","2007-04-03",11.81
"64","2007-04-04",11.9
"65","2007-04-05",11.79
"66","2007-04-09",11.57
"67","2007-04-10",11.66
"68","2007-04-11",11.36
"69","2007-04-12",11.31
"70","2007-04-13",11.28
"71","2007-04-16",11.34
"72","2007-04-17",11.18
"73","2007-04-18",11
"74","2007-04-19",11.1
"75","2007-04-20",11.35
"76","2007-04-23",11.2
"77","2007-04-24",11
"78","2007-04-25",11.11
"79","2007-04-26",11
"80","2007-04-27",11.03
"81","2007-04-30",10.75
"82","2007-05-01",10.74
"83","2007-05-02",10.59
"84","2007-05-03",10.51
"85","2007-05-04",10.52
"86","2007-05-07",10.46
"87","2007-05-08",10.37
"88","2007-05-09",10.36
"89","2007-05-10",10.33
"90","2007-05-11",10.06
"91","2007-05-14",9.87
"92","2007-05-15",9.65
"93","2007-05-16",9.85
"94","2007-05-17",9.92
"95","2007-05-18",9.8
"96","2007-05-21",9.85
"97","2007-05-22",9.93
"98","2007-05-23",9.92
"99","2007-05-24",9.88
"100","2007-05-25",9.85
"101","2007-05-29",9.93
"102","2007-05-30",9.99
"103","2007-05-31",9.95
"104","2007-06-01",9.95
"105","2007-06-04",9.72
"106","2007-06-05",9.85
"107","2007-06-06",9.73
"108","2007-06-07",9.75
"109","2007-06-08",9.61
"110","2007-06-11",9.62
"111","2007-06-12",9.64
"112","2007-06-13",9.89
"113","2007-06-14",9.75
"114","2007-06-15",9.84
"115","2007-06-18",9.84
"116","2007-06-19",9.75
"117","2007-06-20",9.8
"118","2007-06-21",9.68
"119","2007-06-22",9.66
"120","2007-06-25",9.65
"121","2007-06-26",9.53
"122","2007-06-27",9.63
"123","2007-06-28",9.48
"124","2007-06-29",9.6
"125","2007-07-02",9.63
"126","2007-07-03",9.6
