"","date","SMMT"
"1","2015-03-05",10.19
"2","2015-03-06",10.29
"3","2015-03-09",10.54
"4","2015-03-10",11.48
"5","2015-03-11",10.99
"6","2015-03-12",10.67
"7","2015-03-13",10.7
"8","2015-03-16",10.76
"9","2015-03-17",11.2
"10","2015-03-18",11.49
"11","2015-03-19",11.9
"12","2015-03-20",11.82
"13","2015-03-23",12.19
"14","2015-03-24",12
"15","2015-03-25",11.38
"16","2015-03-26",11.6
"17","2015-03-27",11.3
"18","2015-03-30",12.25
"19","2015-03-31",12.39
"20","2015-04-01",12.57
"21","2015-04-02",13.05
"22","2015-04-06",13.68
"23","2015-04-07",13.41
"24","2015-04-08",13.6
"25","2015-04-09",13.2
"26","2015-04-10",13
"27","2015-04-13",12.89
"28","2015-04-14",13.03
"29","2015-04-15",12.95
"30","2015-04-16",12.15
"31","2015-04-17",12.6
"32","2015-04-20",12.05
"33","2015-04-21",11.59
"34","2015-04-22",11
"35","2015-04-23",10.5
"36","2015-04-24",10.3
"37","2015-04-27",10.24
"38","2015-04-28",10.29
"39","2015-04-29",10.41
"40","2015-04-30",10.44
"41","2015-05-01",10.93
"42","2015-05-04",11.45
"43","2015-05-05",11.43
"44","2015-05-06",11.05
"45","2015-05-07",10.91
"46","2015-05-08",10.569
"47","2015-05-11",10.65
"48","2015-05-12",10.3
"49","2015-05-13",10.16
"50","2015-05-14",10.5
"51","2015-05-15",10.13
"52","2015-05-18",10.25
"53","2015-05-19",10.51
"54","2015-05-20",11.35
"55","2015-05-21",11
"56","2015-05-22",11.18
"57","2015-05-26",10.82
"58","2015-05-27",10.9
"59","2015-05-28",10.41
"60","2015-05-29",10.38
"61","2015-06-01",10.698
"62","2015-06-02",10.51
"63","2015-06-03",10.26
"64","2015-06-04",10.77
"65","2015-06-05",10.77
"66","2015-06-08",10.9
"67","2015-06-09",10.8
"68","2015-06-10",10.982
"69","2015-06-11",11.2
"70","2015-06-12",11.5
"71","2015-06-15",11.4
"72","2015-06-16",11.5
"73","2015-06-17",11.5
"74","2015-06-18",12.1
"75","2015-06-19",11.91
"76","2015-06-22",12.4
"77","2015-06-23",11.75
"78","2015-06-24",11.3
"79","2015-06-25",11.1
"80","2015-06-26",11.17
"81","2015-06-29",10.65
"82","2015-06-30",10.562
"83","2015-07-01",10.59
"84","2015-07-02",10.99
"85","2015-07-06",11.19
"86","2015-07-07",10.71
"87","2015-07-08",11.07
"88","2015-07-09",11.21
"89","2015-07-10",11.27
"90","2015-07-13",11.4
"91","2015-07-14",11.86
"92","2015-07-15",12.15
"93","2015-07-16",12.54
"94","2015-07-17",12.14
"95","2015-07-20",12.09
"96","2015-07-21",12.59
"97","2015-07-22",12.48
"98","2015-07-23",12.41
"99","2015-07-24",12.7
"100","2015-07-27",12.766
"101","2015-07-28",13
"102","2015-07-29",12.85
"103","2015-07-30",12.83
"104","2015-07-31",12.95
"105","2015-08-03",13.2
"106","2015-08-04",13.29
"107","2015-08-05",13
"108","2015-08-06",12.72
"109","2015-08-07",12.747
"110","2015-08-10",12.5
"111","2015-08-11",12.7
"112","2015-08-12",12.6
"113","2015-08-13",12.74
"114","2015-08-14",12.52
"115","2015-08-17",12.51
"116","2015-08-18",12.59
"117","2015-08-19",12.51
"118","2015-08-20",12.5
"119","2015-08-21",12.25
"120","2015-08-24",11.85
"121","2015-08-25",11.81
"122","2015-08-26",12.06
"123","2015-08-27",12.17
"124","2015-08-28",11.95
"125","2015-08-31",11.9
"126","2015-09-01",12.04
"127","2015-09-02",11.8
"128","2015-09-03",11.76
"129","2015-09-04",11.55
"130","2015-09-08",11.4
"131","2015-09-09",11.91
"132","2015-09-10",11.71
"133","2015-09-11",11.98
"134","2015-09-14",11.48
"135","2015-09-15",11.8
"136","2015-09-16",11.6
"137","2015-09-17",11.94
"138","2015-09-18",11.28
"139","2015-09-21",11.45
"140","2015-09-22",11.33
"141","2015-09-23",11.5
"142","2015-09-24",11.51
"143","2015-09-25",11.4
"144","2015-09-28",10.45
"145","2015-09-29",10.4
"146","2015-09-30",10.41
"147","2015-10-01",10.61
"148","2015-10-02",10.287
"149","2015-10-05",10.37
"150","2015-10-06",10.23
"151","2015-10-07",10.29
"152","2015-10-08",10.23
"153","2015-10-09",10.35
"154","2015-10-12",10.49
"155","2015-10-13",10.31
"156","2015-10-14",10.3
"157","2015-10-15",10.45
"158","2015-10-16",10.533
"159","2015-10-19",10.13
"160","2015-10-20",10.24
"161","2015-10-21",10.13
"162","2015-10-22",10.244
"163","2015-10-23",10.244
"164","2015-10-26",10.17
"165","2015-10-27",10.13
"166","2015-10-28",10.13
"167","2015-10-29",10.1
"168","2015-10-30",10.1
"169","2015-11-02",9.87
"170","2015-11-03",9.79
"171","2015-11-04",9.5
"172","2015-11-05",9.22
"173","2015-11-06",9.27
"174","2015-11-09",9.125
"175","2015-11-10",9.125
"176","2015-11-11",9.11
"177","2015-11-12",9.11
"178","2015-11-13",9.1
"179","2015-11-16",9.1
"180","2015-11-17",10.17
"181","2015-11-18",9.55
"182","2015-11-19",9.55
"183","2015-11-20",9.55
"184","2015-11-23",10.88
"185","2015-11-24",11.1
"186","2015-11-25",10.65
"187","2015-11-27",10.64
"188","2015-11-30",10.46
"189","2015-12-01",10.19
"190","2015-12-02",10.45
"191","2015-12-03",10.56
"192","2015-12-04",10.8
"193","2015-12-07",10.6
"194","2015-12-08",10.8
"195","2015-12-09",10.8
"196","2015-12-10",10.93
"197","2015-12-11",10.76
"198","2015-12-14",10.78
"199","2015-12-15",10.76
"200","2015-12-16",10.75
"201","2015-12-17",10.96
"202","2015-12-18",10.95
"203","2015-12-21",11.2
"204","2015-12-22",10.8
"205","2015-12-23",10.8
"206","2015-12-24",10.65
"207","2015-12-28",11.8
"208","2015-12-29",11.01
"209","2015-12-30",11.35
"210","2015-12-31",11.5
"211","2016-01-04",11
"212","2016-01-05",11.11
"213","2016-01-06",11.1
"214","2016-01-07",10.08
"215","2016-01-08",10.14
"216","2016-01-11",10.01
"217","2016-01-12",10.06
"218","2016-01-13",9.22
"219","2016-01-14",9.46
"220","2016-01-15",9
"221","2016-01-19",9.2
"222","2016-01-20",8.69
"223","2016-01-21",8.98
"224","2016-01-22",8.7
"225","2016-01-25",9.57
"226","2016-01-26",9.71
"227","2016-01-27",8.25
"228","2016-01-28",9
"229","2016-01-29",9
"230","2016-02-01",9.234
"231","2016-02-02",8.2
"232","2016-02-03",8.04
"233","2016-02-04",8.04
"234","2016-02-05",7.82
"235","2016-02-08",7.77
"236","2016-02-09",7.44
"237","2016-02-10",8
"238","2016-02-11",7.35
"239","2016-02-12",7.35
"240","2016-02-16",7.52
"241","2016-02-17",7.52
