"","date","CACC"
"1","2007-01-03",33.029999
"2","2007-01-04",32.009998
"3","2007-01-05",30.58
"4","2007-01-08",32
"5","2007-01-09",31.860001
"6","2007-01-10",32
"7","2007-01-11",31.99
"8","2007-01-12",32
"9","2007-01-16",32
"10","2007-01-17",31.200001
"11","2007-01-18",29.700001
"12","2007-01-19",28.690001
"13","2007-01-22",27.120001
"14","2007-01-23",27.9
"15","2007-01-24",28.889999
"16","2007-01-25",27.35
"17","2007-01-26",26.58
"18","2007-01-29",28.16
"19","2007-01-30",28.77
"20","2007-01-31",29.07
"21","2007-02-01",29.6
"22","2007-02-02",30.26
"23","2007-02-05",28.65
"24","2007-02-06",29.25
"25","2007-02-07",28.459999
"26","2007-02-08",28.280001
"27","2007-02-09",27.27
"28","2007-02-12",27.559999
"29","2007-02-13",27.540001
"30","2007-02-14",26.709999
"31","2007-02-15",27.040001
"32","2007-02-16",27.27
"33","2007-02-20",27.02
"34","2007-02-21",26.209999
"35","2007-02-22",26.73
"36","2007-02-23",25.84
"37","2007-02-26",25.35
"38","2007-02-27",23.75
"39","2007-02-28",24.49
"40","2007-03-01",23.870001
"41","2007-03-02",23.389999
"42","2007-03-05",22.040001
"43","2007-03-06",23.629999
"44","2007-03-07",23.76
"45","2007-03-08",23.559999
"46","2007-03-09",23.440001
"47","2007-03-12",27.92
"48","2007-03-13",26.24
"49","2007-03-14",26.690001
"50","2007-03-15",27.4
"51","2007-03-16",26.67
"52","2007-03-19",26.889999
"53","2007-03-20",26.75
"54","2007-03-21",27.65
"55","2007-03-22",28.07
"56","2007-03-23",28.01
"57","2007-03-26",28.01
"58","2007-03-27",27.129999
"59","2007-03-28",27.16
"60","2007-03-29",27.059999
"61","2007-03-30",27.190001
"62","2007-04-02",27.459999
"63","2007-04-03",27.379999
"64","2007-04-04",27.040001
"65","2007-04-05",27.1
"66","2007-04-09",27.040001
"67","2007-04-10",27
"68","2007-04-11",27.209999
"69","2007-04-12",27.200001
"70","2007-04-13",27.18
"71","2007-04-16",28.26
"72","2007-04-17",27.809999
"73","2007-04-18",28.93
"74","2007-04-19",27.469999
"75","2007-04-20",27.77
"76","2007-04-23",27.360001
"77","2007-04-24",27
"78","2007-04-25",27.059999
"79","2007-04-26",27.65
"80","2007-04-27",27.33
"81","2007-04-30",26.84
"82","2007-05-01",27.030001
"83","2007-05-02",26.969999
"84","2007-05-03",27.059999
"85","2007-05-04",27.129999
"86","2007-05-07",27.07
"87","2007-05-08",27.030001
"88","2007-05-09",26.790001
"89","2007-05-10",26.77
"90","2007-05-11",26.959999
"91","2007-05-14",26.59
"92","2007-05-15",26.389999
"93","2007-05-16",26.440001
"94","2007-05-17",25.91
"95","2007-05-18",26.209999
"96","2007-05-21",26.34
"97","2007-05-22",27.530001
"98","2007-05-23",27.27
