"","date","OBNK"
"1","2018-05-08",34
"2","2018-05-09",37.5
"3","2018-05-10",36.740002
"4","2018-05-11",37.16
"5","2018-05-14",36.830002
"6","2018-05-15",36.75
"7","2018-05-16",36.77
"8","2018-05-17",37.169998
"9","2018-05-18",37.470001
"10","2018-05-21",37.439999
"11","2018-05-22",37.490002
"12","2018-05-23",37.560001
"13","2018-05-24",38.099998
"14","2018-05-25",38.939999
"15","2018-05-29",38.970001
"16","2018-05-30",38.560001
"17","2018-05-31",38.84
"18","2018-06-01",38.41
"19","2018-06-04",38.310001
"20","2018-06-05",38.619999
"21","2018-06-06",38.84
"22","2018-06-07",39.040001
"23","2018-06-08",38.650002
"24","2018-06-11",39.48
"25","2018-06-12",40.490002
"26","2018-06-13",40.32
"27","2018-06-14",40.880001
"28","2018-06-15",40.75
"29","2018-06-18",40.490002
"30","2018-06-19",40.950001
"31","2018-06-20",40.880001
"32","2018-06-21",39.950001
"33","2018-06-22",41.380001
"34","2018-06-25",39.98
"35","2018-06-26",39.98
"36","2018-06-27",39.529999
"37","2018-06-28",40.5
"38","2018-06-29",40.939999
"39","2018-07-02",41.220001
"40","2018-07-03",40.27
"41","2018-07-05",40.32
"42","2018-07-06",39.689999
"43","2018-07-09",39.990002
"44","2018-07-10",39.799999
"45","2018-07-11",39.169998
"46","2018-07-12",39.060001
"47","2018-07-13",39.48
"48","2018-07-16",39.5
"49","2018-07-17",39.139999
"50","2018-07-18",39.130001
"51","2018-07-19",39.630001
"52","2018-07-20",39.75
"53","2018-07-23",39.880001
"54","2018-07-24",39.299999
"55","2018-07-25",38.939999
"56","2018-07-26",40.619999
"57","2018-07-27",40.150002
"58","2018-07-30",40.369999
"59","2018-07-31",40.619999
"60","2018-08-01",40.560001
"61","2018-08-02",40.259998
"62","2018-08-03",39.700001
"63","2018-08-06",40.080002
"64","2018-08-07",40.009998
"65","2018-08-08",40.009998
"66","2018-08-09",39.82
"67","2018-08-10",40.209999
"68","2018-08-13",39.98
"69","2018-08-14",40.23
"70","2018-08-15",39.41
"71","2018-08-16",39.650002
"72","2018-08-17",40.810001
"73","2018-08-20",41
"74","2018-08-21",41.189999
"75","2018-08-22",41.110001
"76","2018-08-23",41.34
"77","2018-08-24",40.669998
"78","2018-08-27",40.759998
"79","2018-08-28",40.540001
"80","2018-08-29",40.650002
"81","2018-08-30",40.549999
"82","2018-08-31",40.52
"83","2018-09-04",40.459999
"84","2018-09-05",40.950001
"85","2018-09-06",41.130001
"86","2018-09-07",41.330002
"87","2018-09-10",41.279999
"88","2018-09-11",40.900002
"89","2018-09-12",40.099998
"90","2018-09-13",39.860001
"91","2018-09-14",39.200001
"92","2018-09-17",39.049999
"93","2018-09-18",38.939999
"94","2018-09-19",38.709999
"95","2018-09-20",39.240002
"96","2018-09-21",38.75
"97","2018-09-24",38.369999
"98","2018-09-25",37.16
"99","2018-09-26",37.099998
"100","2018-09-27",37.490002
"101","2018-09-28",37.650002
"102","2018-10-01",37.639999
"103","2018-10-02",37.790001
"104","2018-10-03",39.099998
"105","2018-10-04",39.200001
"106","2018-10-05",39.380001
"107","2018-10-08",39.450001
"108","2018-10-09",39.220001
"109","2018-10-10",38.990002
"110","2018-10-11",37.650002
"111","2018-10-12",36.299999
"112","2018-10-15",36.450001
"113","2018-10-16",37.349998
"114","2018-10-17",37
"115","2018-10-18",36.099998
"116","2018-10-19",35.369999
"117","2018-10-22",33.580002
"118","2018-10-23",34.310001
"119","2018-10-24",34.005001
"120","2018-10-25",34.759998
"121","2018-10-26",35.93
"122","2018-10-29",36.400002
"123","2018-10-30",37.189999
"124","2018-10-31",37.349998
"125","2018-11-01",37.23
"126","2018-11-02",37.220001
"127","2018-11-05",38.23
"128","2018-11-06",38.669998
"129","2018-11-07",38.169998
"130","2018-11-08",37.450001
"131","2018-11-09",37.450001
"132","2018-11-12",36.73
"133","2018-11-13",36.549999
"134","2018-11-14",36.330002
"135","2018-11-15",37.639999
"136","2018-11-16",37.5
"137","2018-11-19",37.220001
"138","2018-11-20",37.189999
"139","2018-11-21",37.09
"140","2018-11-23",37.57
"141","2018-11-26",37.400002
"142","2018-11-27",37.439999
