"","date","EIGR"
"220","2014-12-11",247.5
"221","2014-12-12",258.75
"222","2014-12-15",265.950012
"223","2014-12-16",266.399994
"224","2014-12-17",281.25
"225","2014-12-18",278.25
"226","2014-12-19",279.149994
"227","2014-12-22",272.100006
"228","2014-12-23",265.350006
"229","2014-12-24",278.100006
"230","2014-12-26",286.799988
"231","2014-12-29",308.399994
"232","2014-12-30",294.600006
"233","2014-12-31",292.950012
"234","2015-01-02",302.549988
"235","2015-01-05",289.649994
"236","2015-01-06",254.550003
"237","2015-01-07",258.899994
"238","2015-01-08",263.25
"239","2015-01-09",279
"240","2015-01-12",275.25
"241","2015-01-13",270.600006
"242","2015-01-14",277.200012
"243","2015-01-15",256.649994
"244","2015-01-16",270
"245","2015-01-20",265.799988
"246","2015-01-21",258.899994
"247","2015-01-22",245.25
"248","2015-01-23",255.449997
"249","2015-01-26",266.549988
"250","2015-01-27",270.899994
"251","2015-01-28",259.5
"252","2015-01-29",266.850006
"253","2015-01-30",255.449997
"254","2015-02-02",252.449997
"255","2015-02-03",240.149994
"256","2015-02-04",235.5
"257","2015-02-05",241.050003
"258","2015-02-06",239.550003
"259","2015-02-09",235.5
"260","2015-02-10",237.75
"261","2015-02-11",249
"262","2015-02-12",247.5
"263","2015-02-13",246.75
"264","2015-02-17",246.300003
"265","2015-02-18",247.050003
"266","2015-02-19",244.800003
"267","2015-02-20",244.5
"268","2015-02-23",253.5
"269","2015-02-24",254.850006
"270","2015-02-25",268.5
"271","2015-02-26",266.700012
"272","2015-02-27",272.25
"273","2015-03-02",283.799988
"274","2015-03-03",282
"275","2015-03-04",294.524994
"276","2015-03-05",321.899994
"277","2015-03-06",360
"278","2015-03-09",373.350006
"279","2015-03-10",379.200012
"280","2015-03-11",389.850006
"281","2015-03-12",384.450012
"282","2015-03-13",400.350006
"283","2015-03-16",396.899994
"284","2015-03-17",374.549988
"285","2015-03-18",348.899994
"286","2015-03-19",408.899994
"287","2015-03-20",394.200012
"288","2015-03-23",388.350006
"289","2015-03-24",367.950012
"290","2015-03-25",327
"291","2015-03-26",307.5
"292","2015-03-27",316.350006
"293","2015-03-30",325.049988
"294","2015-03-31",284.100006
"295","2015-04-01",254.550003
"296","2015-04-02",265.950012
"297","2015-04-06",266.850006
"298","2015-04-07",273.899994
"299","2015-04-08",262.799988
"300","2015-04-09",255.899994
"301","2015-04-10",258.149994
"302","2015-04-13",283.049988
"303","2015-04-14",273
"304","2015-04-15",270
"305","2015-04-16",257.25
"306","2015-04-17",247.875
"307","2015-04-20",235.050003
"308","2015-04-21",245.399994
"309","2015-04-22",203.850006
"310","2015-04-23",209.100006
"311","2015-04-24",205.199997
"312","2015-04-27",39.599998
"313","2015-04-28",40.950001
"314","2015-04-29",38.549999
"315","2015-04-30",40.650002
"316","2015-05-01",39.299999
"317","2015-05-04",39.150002
"318","2015-05-05",37.650002
"319","2015-05-06",37.650002
"320","2015-05-07",35.400002
"321","2015-05-08",37.200001
"322","2015-05-11",36.75
"323","2015-05-12",36
"324","2015-05-13",36
"325","2015-05-14",35.25
"326","2015-05-15",32.700001
"327","2015-05-18",33.299999
"328","2015-05-19",30.6
"329","2015-05-20",34.799999
"330","2015-05-21",32.325001
"331","2015-05-22",31.65
"332","2015-05-26",31.200001
"333","2015-05-27",32.400002
"334","2015-05-28",33.599998
"335","2015-05-29",34.650002
"336","2015-06-01",34.650002
"337","2015-06-02",33.75
"338","2015-06-03",33.150002
"339","2015-06-04",32.400002
"340","2015-06-05",33.75
"341","2015-06-08",32.549999
"342","2015-06-09",32.400002
"343","2015-06-10",31.5
"344","2015-06-11",33.299999
"345","2015-06-12",32.25
"346","2015-06-15",31.5
"347","2015-06-16",32.400002
"348","2015-06-17",32.549999
"349","2015-06-18",32.849998
"350","2015-06-19",33.299999
"351","2015-06-22",34.799999
"352","2015-06-23",33.75
"353","2015-06-24",33.900002
"354","2015-06-25",33
"355","2015-06-26",20.25
"356","2015-06-29",19.200001
"357","2015-06-30",18.9
"358","2015-07-01",18.9
"359","2015-07-02",18.75
"360","2015-07-06",19.35
"361","2015-07-07",19.049999
"362","2015-07-08",19.35
"363","2015-07-09",18.75
"364","2015-07-10",18.9
"365","2015-07-13",18.75
"366","2015-07-14",18.9
"367","2015-07-15",18.9
"368","2015-07-16",18.75
"369","2015-07-17",18.6
"370","2015-07-20",18.75
"371","2015-07-21",19.049999
"372","2015-07-22",19.049999
"373","2015-07-23",18.975
"374","2015-07-24",18.6
"375","2015-07-27",18.6
"376","2015-07-28",18.75
"377","2015-07-29",18.75
"378","2015-07-30",18.6
"379","2015-07-31",18
"380","2015-08-03",18
"381","2015-08-04",18.299999
"382","2015-08-05",18.299999
"383","2015-08-06",17.1
"384","2015-08-07",16.5
"385","2015-08-10",17.25
"386","2015-08-11",16.799999
"387","2015-08-12",16.049999
"388","2015-08-13",15.75
"389","2015-08-14",15.75
"390","2015-08-17",16.049999
"391","2015-08-18",16.200001
"392","2015-08-19",15.9
"393","2015-08-20",15.9
"394","2015-08-21",15.75
"395","2015-08-24",15.15
"396","2015-08-25",15.75
"397","2015-08-26",15.45
