"","date","LAIX"
"1","2018-09-27",12.65
"2","2018-09-28",12.55
"3","2018-10-01",12.14
"4","2018-10-02",11.75
"5","2018-10-03",12.07
"6","2018-10-04",11.87
"7","2018-10-05",11.52
"8","2018-10-08",11.15
"9","2018-10-09",10.81
"10","2018-10-10",9.19
"11","2018-10-11",9.4
"12","2018-10-12",9.8
"13","2018-10-15",10.01
"14","2018-10-16",10.5
"15","2018-10-17",11.65
"16","2018-10-18",11.24
"17","2018-10-19",11.9
"18","2018-10-22",11.85
"19","2018-10-23",11.45
"20","2018-10-24",11.58
"21","2018-10-25",11.68
"22","2018-10-26",11.36
"23","2018-10-29",11.53
"24","2018-10-30",10.92
"25","2018-10-31",11.23
"26","2018-11-01",11
"27","2018-11-02",10.58
"28","2018-11-05",9.9
"29","2018-11-06",9.95
"30","2018-11-07",10.13
"31","2018-11-08",9.67
"32","2018-11-09",8.77
"33","2018-11-12",8.77
"34","2018-11-13",8.95
"35","2018-11-14",9
"36","2018-11-15",8.9
"37","2018-11-16",8.95
"38","2018-11-19",8.57
"39","2018-11-20",7.75
"40","2018-11-21",7.65
"41","2018-11-23",7.86
"42","2018-11-26",8.25
"43","2018-11-27",8.86
"44","2018-11-28",9
"45","2018-11-29",9.03
"46","2018-11-30",8.99
"47","2018-12-03",9.1
"48","2018-12-04",8.83
"49","2018-12-06",9.06
"50","2018-12-07",8.75
"51","2018-12-10",8.86
"52","2018-12-11",8.93
"53","2018-12-12",8.78
"54","2018-12-13",8.88
"55","2018-12-14",8.76
"56","2018-12-17",8.75
"57","2018-12-18",8.61
"58","2018-12-19",8.67
"59","2018-12-20",8.26
"60","2018-12-21",7.8
"61","2018-12-24",7.25
"62","2018-12-26",7.91
"63","2018-12-27",7.99
"64","2018-12-28",7.85
"65","2018-12-31",7.58
"66","2019-01-02",8.1
"67","2019-01-03",7.9
"68","2019-01-04",8.5
"69","2019-01-07",8.45
"70","2019-01-08",8.72
"71","2019-01-09",8.6
"72","2019-01-10",8.65
"73","2019-01-11",8.61
"74","2019-01-14",8.51
"75","2019-01-15",8.7
"76","2019-01-16",8.78
"77","2019-01-17",8.67
"78","2019-01-18",8.7
"79","2019-01-22",8.97
"80","2019-01-23",8.46
"81","2019-01-24",8.68
"82","2019-01-25",8.51
"83","2019-01-28",8.99
"84","2019-01-29",9.49
"85","2019-01-30",10.9
"86","2019-01-31",12.5
"87","2019-02-01",12.11
"88","2019-02-04",12.68
"89","2019-02-05",12.57
"90","2019-02-06",12.48
"91","2019-02-07",11.63
"92","2019-02-08",13
"93","2019-02-11",12.57
"94","2019-02-12",12.15
"95","2019-02-13",11.74
"96","2019-02-14",11.5
"97","2019-02-15",11.47
"98","2019-02-19",11.78
