"","date","VISL"
"1","2012-04-18",46800
"2","2012-04-19",46800
"3","2012-04-20",46800
"4","2012-04-23",46800
"5","2012-04-24",61200
"6","2012-04-25",61200
"7","2012-04-26",61200
"8","2012-04-27",61200
"9","2012-04-30",58320
"10","2012-05-01",58320
"11","2012-05-02",58320
"12","2012-05-03",58320
"13","2012-05-04",58320
"14","2012-05-07",58320
"15","2012-05-08",58320
"16","2012-05-09",58320
"17","2012-05-10",57600
"18","2012-05-11",57600
"19","2012-05-14",57600
"20","2012-05-15",57600
"21","2012-05-16",57600
"22","2012-05-17",48240
"23","2012-05-18",46800
"24","2012-05-21",46800
"25","2012-05-22",46800
"26","2012-05-23",36000
"27","2012-05-24",36000
"28","2012-05-25",36000
"29","2012-05-29",36000
"30","2012-05-30",36000
"31","2012-05-31",36000
"32","2012-06-01",36000
"33","2012-06-04",36000
"34","2012-06-05",36000
"35","2012-06-06",36000
"36","2012-06-07",61200
"37","2012-06-08",39600
"38","2012-06-11",39600
"39","2012-06-12",39600
"40","2012-06-13",39600
"41","2012-06-14",39600
"42","2012-06-15",39600
"43","2012-06-18",36000
"44","2012-06-19",36000
"45","2012-06-20",36000
"46","2012-06-21",39600
"47","2012-06-22",39600
"48","2012-06-25",39600
"49","2012-06-26",39600
"50","2012-06-27",39600
"51","2012-06-28",39600
"52","2012-06-29",39600
"53","2012-07-02",39600
"54","2012-07-03",39600
"55","2012-07-05",39600
"56","2012-07-06",39600
"57","2012-07-09",34560
"58","2012-07-10",34560
"59","2012-07-11",34560
"60","2012-07-12",34560
"61","2012-07-13",34560
"62","2012-07-16",34560
"63","2012-07-17",34560
"64","2012-07-18",34560
"65","2012-07-19",34560
"66","2012-07-20",34560
"67","2012-07-23",34560
"68","2012-07-24",34560
"69","2012-07-25",34560
"70","2012-07-26",34560
"71","2012-07-27",34560
"72","2012-07-30",43200
"73","2012-07-31",43200
"74","2012-08-01",29520
"75","2012-08-02",36000
"76","2012-08-03",36000
"77","2012-08-06",36000
"78","2012-08-07",36000
"79","2012-08-08",36000
"80","2012-08-09",36000
"81","2012-08-10",38160
"82","2012-08-13",38160
"83","2012-08-14",38160
"84","2012-08-15",38160
"85","2012-08-16",38160
"86","2012-08-17",38160
"87","2012-08-20",38160
"88","2012-08-21",36000
