"","date","ARCH"
"1","2016-01-04",0.91
"2","2016-01-05",0.94
"3","2016-01-06",0.91
"4","2016-01-07",0.79
"5","2016-01-08",0.83
"6","2016-01-11",0.83
"7","2016-01-12",0.19
"8","2016-01-13",0.13
"9","2016-01-14",0.15
"10","2016-01-15",0.2
"11","2016-01-19",0.19
"12","2016-01-20",0.22
"13","2016-01-21",0.34
"14","2016-01-22",0.47
"15","2016-01-25",0.77
"16","2016-01-26",0.51
"17","2016-01-27",0.56
"18","2016-01-28",0.71
"19","2016-01-29",0.69
"20","2016-02-01",0.68
"21","2016-02-02",0.67
"22","2016-02-03",0.72
"23","2016-02-04",0.7
"24","2016-02-05",0.71
"25","2016-02-08",NA
"26","2016-02-09",0.46
"27","2016-02-10",0.46
"28","2016-02-11",0.51
"29","2016-02-12",0.47
"30","2016-02-16",0.48
"31","2016-02-17",0.48
"32","2016-02-18",0.5
"33","2016-02-19",0.5
"34","2016-02-22",NA
"35","2016-02-23",0.46
"36","2016-02-24",0.47
"37","2016-02-25",0.4
"38","2016-02-26",0.45
"39","2016-02-29",0.4
"40","2016-03-01",0.4
"41","2016-03-02",0.41
"42","2016-03-03",0.43
"43","2016-03-04",0.44
"44","2016-03-07",0.44
"45","2016-03-08",0.43
"46","2016-03-09",0.41
"47","2016-03-10",0.4
"48","2016-03-11",0.37
"49","2016-03-14",0.36
"50","2016-03-15",0.29
"51","2016-03-16",0.29
"52","2016-03-17",0.26
"53","2016-03-18",0.23
"54","2016-03-21",0.29
"55","2016-03-22",0.29
"56","2016-03-23",0.3
"57","2016-03-24",0.31
"58","2016-03-28",0.31
"59","2016-03-29",0.32
"60","2016-03-30",0.3
"61","2016-03-31",0.31
"62","2016-04-01",0.3
"63","2016-04-04",NA
"64","2016-04-05",0.32
"65","2016-04-06",0.32
"66","2016-04-07",0.31
"67","2016-04-08",0.31
"68","2016-04-11",0.32
"69","2016-04-12",0.32
"70","2016-04-13",0.35
"71","2016-04-14",0.42
"72","2016-04-15",0.41
"73","2016-04-18",0.39
"74","2016-04-19",0.39
"75","2016-04-20",0.38
"76","2016-04-21",0.38
"77","2016-04-22",0.38
"78","2016-04-25",0.34
"79","2016-04-26",0.35
"80","2016-04-27",0.34
"81","2016-04-28",0.32
"82","2016-04-29",0.33
"83","2016-05-02",NA
"84","2016-05-03",0.35
"85","2016-05-04",0.43
"86","2016-05-05",0.47
"87","2016-05-06",0.4
"88","2016-05-09",0.4
"89","2016-05-10",0.43
"90","2016-05-11",0.4
"91","2016-05-12",0.41
"92","2016-05-13",0.4
"93","2016-05-16",0.4
"94","2016-05-17",0.39
"95","2016-05-18",0.39
"96","2016-05-19",0.4
"97","2016-05-20",0.36
"98","2016-05-23",0.38
"99","2016-05-24",0.37
"100","2016-05-25",0.37
"101","2016-05-26",0.41
"102","2016-05-27",0.4
"103","2016-05-31",0.4
"104","2016-06-01",0.39
"105","2016-06-02",0.38
"106","2016-06-03",0.39
"107","2016-06-06",0.37
"108","2016-06-07",0.4
"109","2016-06-08",0.4
"110","2016-06-09",0.41
"111","2016-06-10",0.4
"112","2016-06-13",0.4
"113","2016-06-14",0.4
"114","2016-06-15",0.35
"115","2016-06-16",0.32
"116","2016-06-17",0.33
"117","2016-06-20",0.3
"118","2016-06-21",0.31
"119","2016-06-22",0.31
"120","2016-06-23",0.32
"121","2016-06-24",0.3
"122","2016-06-27",0.29
"123","2016-06-28",0.3
"124","2016-06-29",0.29
"125","2016-06-30",0.3
"126","2016-07-01",0.29
"127","2016-07-05",0.25
"128","2016-07-06",0.26
"129","2016-07-07",0.26
"130","2016-07-08",0.24
"131","2016-07-11",0.27
"132","2016-07-12",0.33
"133","2016-07-13",0.45
"134","2016-07-14",0.38
"135","2016-07-15",0.38
"136","2016-07-18",0.42
"137","2016-07-19",0.44
"138","2016-07-20",0.43
"139","2016-07-21",0.42
"140","2016-07-22",0.41
"141","2016-07-25",0.42
"142","2016-07-26",0.44
