"","date","FMTX"
"1","2020-06-19",39
"2","2020-06-22",39.950001
"3","2020-06-23",41.200001
"4","2020-06-24",43.720001
"5","2020-06-25",46
"6","2020-06-26",45
"7","2020-06-29",45.459999
"8","2020-06-30",46.490002
"9","2020-07-01",46.369999
"10","2020-07-02",48.349998
"11","2020-07-06",43.139999
"12","2020-07-07",43.799999
"13","2020-07-08",44.650002
"14","2020-07-09",44.34
"15","2020-07-10",43.540001
"16","2020-07-13",38.529999
"17","2020-07-14",40.029999
"18","2020-07-15",39.380001
"19","2020-07-16",37.990002
"20","2020-07-17",36.990002
"21","2020-07-20",37.380001
"22","2020-07-21",37.950001
"23","2020-07-22",35.110001
"24","2020-07-23",34.66
"25","2020-07-24",36.049999
"26","2020-07-27",35.990002
"27","2020-07-28",35
"28","2020-07-29",34.380001
"29","2020-07-30",34
"30","2020-07-31",34.959999
"31","2020-08-03",36.139999
"32","2020-08-04",35.240002
"33","2020-08-05",35.529999
"34","2020-08-06",35
"35","2020-08-07",34.93
"36","2020-08-10",35
"37","2020-08-11",34.349998
"38","2020-08-12",34
"39","2020-08-13",33.110001
"40","2020-08-14",32.950001
"41","2020-08-17",39.790001
"42","2020-08-18",39.32
"43","2020-08-19",38.060001
"44","2020-08-20",37.950001
"45","2020-08-21",38.549999
"46","2020-08-24",40
"47","2020-08-25",41.400002
"48","2020-08-26",40.279999
"49","2020-08-27",38.59
"50","2020-08-28",42.509998
"51","2020-08-31",43.93
"52","2020-09-01",45.709999
"53","2020-09-02",47.330002
"54","2020-09-03",41.32
"55","2020-09-04",39.5
"56","2020-09-08",40.709999
"57","2020-09-09",41.790001
"58","2020-09-10",43.189999
"59","2020-09-11",41.689999
"60","2020-09-14",44.130001
"61","2020-09-15",44.509998
"62","2020-09-16",44.799999
"63","2020-09-17",43.880001
"64","2020-09-18",45.290001
"65","2020-09-21",43.689999
"66","2020-09-22",43.799999
"67","2020-09-23",43.27
"68","2020-09-24",43.73
"69","2020-09-25",49.5
"70","2020-09-28",50.25
"71","2020-09-29",49.560001
"72","2020-09-30",49.84
"73","2020-10-01",49.549999
"74","2020-10-02",47.290001
"75","2020-10-05",48.93
"76","2020-10-06",48.93
"77","2020-10-07",50.169998
"78","2020-10-08",49.82
"79","2020-10-09",48.900002
"80","2020-10-12",47.59
"81","2020-10-13",46.939999
"82","2020-10-14",45.400002
"83","2020-10-15",48.73
"84","2020-10-16",49.959999
"85","2020-10-19",48.509998
"86","2020-10-20",48.93
"87","2020-10-21",49.34
"88","2020-10-22",49.189999
"89","2020-10-23",48.419998
"90","2020-10-26",47.130001
"91","2020-10-27",47.849998
"92","2020-10-28",44.549999
"93","2020-10-29",44.669998
"94","2020-10-30",43.119999
"95","2020-11-02",44.139999
"96","2020-11-03",44.900002
"97","2020-11-04",40.290001
"98","2020-11-05",41.110001
"99","2020-11-06",39
"100","2020-11-09",39.91
"101","2020-11-10",39.419998
"102","2020-11-11",40.09
"103","2020-11-12",40.790001
"104","2020-11-13",40.119999
"105","2020-11-16",41.130001
"106","2020-11-17",40.119999
"107","2020-11-18",38.32
"108","2020-11-19",38.720001
"109","2020-11-20",38.529999
"110","2020-11-23",40.299999
"111","2020-11-24",40.080002
"112","2020-11-25",40.669998
"113","2020-11-27",42.560001
