"","date","CPHC"
"1","2008-09-08",9
"2","2008-09-09",9.13
"3","2008-09-10",8.96
"4","2008-09-11",8.96
"5","2008-09-12",8.9
"6","2008-09-15",8.9
"7","2008-09-16",8.99
"8","2008-09-17",8.99
"9","2008-09-18",8.7
"10","2008-09-19",8.82
"11","2008-09-22",8.8
"12","2008-09-23",8.8
"13","2008-09-24",8.6
"14","2008-09-25",8.6
"15","2008-09-26",8.5
"16","2008-09-29",8.85
"17","2008-09-30",8.73
"18","2008-10-01",7.5
"19","2008-10-02",7.59
"20","2008-10-03",8.27
"21","2008-10-06",7.5
"22","2008-10-07",7.96
"23","2008-10-08",7.5
"24","2008-10-09",7.4
"25","2008-10-10",7
"26","2008-10-13",7.9
"27","2008-10-14",7.25
"28","2008-10-15",7.39
"29","2008-10-16",7
"30","2008-10-17",7
"31","2008-10-20",7
"32","2008-10-21",6.61
"33","2008-10-22",7
"34","2008-10-23",6.6
"35","2008-10-24",6.6
"36","2008-10-27",6.5
"37","2008-10-28",6.75
"38","2008-10-29",7
"39","2008-10-30",7
"40","2008-10-31",7
"41","2008-11-03",7.19
"42","2008-11-04",7
"43","2008-11-05",7.15
"44","2008-11-06",6.99
"45","2008-11-07",7
"46","2008-11-10",6.9
"47","2008-11-11",6.5
"48","2008-11-12",6.5
"49","2008-11-13",7
"50","2008-11-14",7.1
"51","2008-11-17",7.1
"52","2008-11-18",7.58
"53","2008-11-19",7
"54","2008-11-20",7
"55","2008-11-21",6.9
"56","2008-11-24",6.7
"57","2008-11-25",6.7
"58","2008-11-26",6.5
"59","2008-11-28",6.06
"60","2008-12-01",6.44
"61","2008-12-02",6.95
"62","2008-12-03",6.07
"63","2008-12-04",6.25
"64","2008-12-05",6.1
"65","2008-12-08",6.01
"66","2008-12-09",6.3
"67","2008-12-10",6.3
"68","2008-12-11",6.2
"69","2008-12-12",6.15
"70","2008-12-15",6.15
"71","2008-12-16",6.19
"72","2008-12-17",6.15
"73","2008-12-18",6.14
"74","2008-12-19",6.94
"75","2008-12-22",6.05
"76","2008-12-23",5.75
"77","2008-12-24",5.75
"78","2008-12-26",6.25
"79","2008-12-29",6.1
"80","2008-12-30",6.05
"81","2008-12-31",5.91
"82","2009-01-02",6.64
"83","2009-01-05",6.68
"84","2009-01-06",6.59
"85","2009-01-07",6.7
"86","2009-01-08",6.4
"87","2009-01-09",6.4
"88","2009-01-12",6.05
"89","2009-01-13",6.05
"90","2009-01-14",5.8
"91","2009-01-15",5.95
"92","2009-01-16",5.95
"93","2009-01-20",5.95
"94","2009-01-21",5.95
"95","2009-01-22",5.95
"96","2009-01-23",5.95
"97","2009-01-26",6.14
"98","2009-01-27",6.25
"99","2009-01-28",6.66
"100","2009-01-29",6.66
"101","2009-01-30",6.66
"102","2009-02-02",6.66
"103","2009-02-03",6
"104","2009-02-04",6.25
"105","2009-02-05",6.25
"106","2009-02-06",6.5
"107","2009-02-09",6.35
"108","2009-02-10",6.4
"109","2009-02-11",6.4
"110","2009-02-12",6.25
"111","2009-02-13",6.46
"112","2009-02-17",6
"113","2009-02-18",6
"114","2009-02-19",6
"115","2009-02-20",5.9
"116","2009-02-23",5.85
"117","2009-02-24",6.23
"118","2009-02-25",6.25
"119","2009-02-26",5.95
"120","2009-02-27",5.97
"121","2009-03-02",5.8
"122","2009-03-03",5.69
"123","2009-03-04",5.69
"124","2009-03-05",5.69
"125","2009-03-06",5.99
"126","2009-03-09",5.99
"127","2009-03-10",5.99
"128","2009-03-11",5.99
"129","2009-03-12",5.99
"130","2009-03-13",5.99
"131","2009-03-16",5.99
"132","2009-03-17",5.99
"133","2009-03-18",5.6
"134","2009-03-19",5.6
"135","2009-03-20",5.6
"136","2009-03-23",6
"137","2009-03-24",6
"138","2009-03-25",6
"139","2009-03-26",6
"140","2009-03-27",6
"141","2009-03-30",5.79
"142","2009-03-31",5.84
"143","2009-04-01",6
"144","2009-04-02",6
"145","2009-04-03",6
"146","2009-04-06",6
"147","2009-04-07",6
"148","2009-04-08",6
"149","2009-04-09",6
"150","2009-04-13",6.25
"151","2009-04-14",6.25
"152","2009-04-15",6.02
"153","2009-04-16",6.1
"154","2009-04-17",6
"155","2009-04-20",6
"156","2009-04-21",6
"157","2009-04-22",6
"158","2009-04-23",6
"159","2009-04-24",6.25
"160","2009-04-27",6
"161","2009-04-28",6.04
"162","2009-04-29",6.05
"163","2009-04-30",6
"164","2009-05-01",6
"165","2009-05-04",6.03
"166","2009-05-05",6.93
"167","2009-05-06",6.5
"168","2009-05-07",6.5
"169","2009-05-08",7.11
"170","2009-05-11",7.2
"171","2009-05-12",6.75
"172","2009-05-13",7.25
"173","2009-05-14",7.5
"174","2009-05-15",6.5
"175","2009-05-18",6.88
"176","2009-05-19",6.5
"177","2009-05-20",6.5
"178","2009-05-21",6.5
"179","2009-05-22",6.5
"180","2009-05-26",6.5
"181","2009-05-27",6.77
"182","2009-05-28",6.05
"183","2009-05-29",6.89
"184","2009-06-01",6.95
"185","2009-06-02",6.9
"186","2009-06-03",6.46
"187","2009-06-04",6.46
"188","2009-06-05",6.46
"189","2009-06-08",6.11
"190","2009-06-09",6.75
"191","2009-06-10",6.85
"192","2009-06-11",6.85
"193","2009-06-12",6.85
"194","2009-06-15",6.75
"195","2009-06-16",6.5
"196","2009-06-17",7.07
