"","date","ADPT"
"1","2019-06-27",40.299999
"2","2019-06-28",48.299999
"3","2019-07-01",40.099998
"4","2019-07-02",38.889999
"5","2019-07-03",39.16
"6","2019-07-05",40.509998
"7","2019-07-08",37.509998
"8","2019-07-09",37
"9","2019-07-10",37.700001
"10","2019-07-11",37.639999
"11","2019-07-12",39
"12","2019-07-15",38.139999
"13","2019-07-16",38.650002
"14","2019-07-17",38.09
"15","2019-07-18",38.009998
"16","2019-07-19",38.529999
"17","2019-07-22",39.27
"18","2019-07-23",40.380001
"19","2019-07-24",40.380001
"20","2019-07-25",40.209999
"21","2019-07-26",39.669998
"22","2019-07-29",37.759998
"23","2019-07-30",36.900002
"24","2019-07-31",38.549999
"25","2019-08-01",38.630001
"26","2019-08-02",37.330002
"27","2019-08-05",35.119999
"28","2019-08-06",36.380001
"29","2019-08-07",38.990002
"30","2019-08-08",39.700001
"31","2019-08-09",41.630001
"32","2019-08-12",42.009998
"33","2019-08-13",43.080002
"34","2019-08-14",43.490002
"35","2019-08-15",47.810001
"36","2019-08-16",46.099998
"37","2019-08-19",46.080002
"38","2019-08-20",45.040001
"39","2019-08-21",46.93
"40","2019-08-22",45.869999
"41","2019-08-23",43.110001
"42","2019-08-26",44.189999
"43","2019-08-27",44.490002
"44","2019-08-28",47.419998
"45","2019-08-29",50.110001
"46","2019-08-30",50.849998
"47","2019-09-03",51.330002
"48","2019-09-04",53.509998
"49","2019-09-05",44.599998
"50","2019-09-06",43.830002
"51","2019-09-09",39.48
"52","2019-09-10",41.27
"53","2019-09-11",41.759998
"54","2019-09-12",39.759998
"55","2019-09-13",43.200001
"56","2019-09-16",41.529999
"57","2019-09-17",40.349998
"58","2019-09-18",39.59
"59","2019-09-19",39.02
"60","2019-09-20",40.200001
"61","2019-09-23",40.529999
"62","2019-09-24",37.380001
"63","2019-09-25",34.959999
"64","2019-09-26",32.189999
"65","2019-09-27",30.309999
"66","2019-09-30",30.9
"67","2019-10-01",30.120001
"68","2019-10-02",29.950001
"69","2019-10-03",30.91
"70","2019-10-04",31.639999
"71","2019-10-07",32.799999
"72","2019-10-08",29.6
"73","2019-10-09",28.9
"74","2019-10-10",28.700001
"75","2019-10-11",27.540001
"76","2019-10-14",27.129999
"77","2019-10-15",29.889999
"78","2019-10-16",30.129999
"79","2019-10-17",31.02
"80","2019-10-18",29.27
"81","2019-10-21",26.379999
"82","2019-10-22",25.51
"83","2019-10-23",24.559999
"84","2019-10-24",26
"85","2019-10-25",25.620001
"86","2019-10-28",26.09
"87","2019-10-29",26.200001
"88","2019-10-30",26.08
"89","2019-10-31",26.065001
"90","2019-11-01",28.1
"91","2019-11-04",30.459999
"92","2019-11-05",28.004999
"93","2019-11-06",26.780001
"94","2019-11-07",26.629999
"95","2019-11-08",27.59
"96","2019-11-11",28.32
"97","2019-11-12",28.35
"98","2019-11-13",27.27
"99","2019-11-14",27.290001
"100","2019-11-15",28.51
"101","2019-11-18",30.139999
"102","2019-11-19",28.85
"103","2019-11-20",28.75
"104","2019-11-21",27.860001
"105","2019-11-22",28.639999
"106","2019-11-25",29.719999
"107","2019-11-26",28.15
"108","2019-11-27",27.83
"109","2019-11-29",27.190001
"110","2019-12-02",27.5
"111","2019-12-03",26.969999
"112","2019-12-04",27.17
"113","2019-12-05",29.35
"114","2019-12-06",29.059999
"115","2019-12-09",29.290001
"116","2019-12-10",28.690001
"117","2019-12-11",30.32
"118","2019-12-12",31.67
"119","2019-12-13",30.200001
"120","2019-12-16",30.209999
"121","2019-12-17",29.35
"122","2019-12-18",30.950001
"123","2019-12-19",30.24
"124","2019-12-20",32.419998
"125","2019-12-23",32.139999
"126","2019-12-24",30
"127","2019-12-26",29.620001
"128","2019-12-27",29.27
"129","2019-12-30",28.950001
"130","2019-12-31",29.92
"131","2020-01-02",29.370001
"132","2020-01-03",29.799999
"133","2020-01-06",29.6
"134","2020-01-07",29.639999
"135","2020-01-08",29.99
"136","2020-01-09",30.040001
"137","2020-01-10",29.85
"138","2020-01-13",29.91
"139","2020-01-14",29.190001
"140","2020-01-15",29.610001
"141","2020-01-16",27.370001
"142","2020-01-17",28.209999
"143","2020-01-21",26.799999
"144","2020-01-22",27.190001
"145","2020-01-23",26.85
"146","2020-01-24",30.549999
"147","2020-01-27",30.459999
"148","2020-01-28",31.09
"149","2020-01-29",30.940001
"150","2020-01-30",30.83
"151","2020-01-31",29.905001
"152","2020-02-03",30
"153","2020-02-04",29.389999
"154","2020-02-05",30.08
"155","2020-02-06",31.469999
"156","2020-02-07",32.32
"157","2020-02-10",31.33
"158","2020-02-11",31.450001
"159","2020-02-12",31.389999
"160","2020-02-13",31.709999
"161","2020-02-14",31.469999
"162","2020-02-18",31.75
"163","2020-02-19",33.52
"164","2020-02-20",33.799999
"165","2020-02-21",34.16
"166","2020-02-24",30.83
"167","2020-02-25",30
"168","2020-02-26",29.65
"169","2020-02-27",28.32
"170","2020-02-28",28.1
"171","2020-03-02",26.799999
"172","2020-03-03",25.719999
"173","2020-03-04",28.719999
"174","2020-03-05",27.52
"175","2020-03-06",27.040001
"176","2020-03-09",24.6
"177","2020-03-10",24.969999
