"","date","ICFI"
"1","2007-01-03",14.55
"2","2007-01-04",15.21
"3","2007-01-05",15
"4","2007-01-08",14.67
"5","2007-01-09",14.65
"6","2007-01-10",14.75
"7","2007-01-11",14.75
"8","2007-01-12",14.87
"9","2007-01-16",14.99
"10","2007-01-17",14.89
"11","2007-01-18",14.69
"12","2007-01-19",14.65
"13","2007-01-22",14.33
"14","2007-01-23",14.5
"15","2007-01-24",14.3
"16","2007-01-25",14.26
"17","2007-01-26",14.13
"18","2007-01-29",13.87
"19","2007-01-30",13.78
"20","2007-01-31",13.69
"21","2007-02-01",13.73
"22","2007-02-02",13.75
"23","2007-02-05",13.84
"24","2007-02-06",13.69
"25","2007-02-07",13.68
"26","2007-02-08",13.63
"27","2007-02-09",13.36
"28","2007-02-12",13.78
"29","2007-02-13",13.7
"30","2007-02-14",13.85
"31","2007-02-15",13.97
"32","2007-02-16",13.95
"33","2007-02-20",13.99
"34","2007-02-21",14.19
"35","2007-02-22",14.09
"36","2007-02-23",14.26
"37","2007-02-26",14.14
"38","2007-02-27",13.98
"39","2007-02-28",14.77
"40","2007-03-01",15.23
"41","2007-03-02",15.43
"42","2007-03-05",15.49
"43","2007-03-06",15.33
"44","2007-03-07",15.14
"45","2007-03-08",15
"46","2007-03-09",14.75
"47","2007-03-12",14.85
"48","2007-03-13",14.69
"49","2007-03-14",14.87
"50","2007-03-15",14.85
"51","2007-03-16",15.17
"52","2007-03-19",15.25
"53","2007-03-20",16.209999
"54","2007-03-21",18.690001
"55","2007-03-22",19
"56","2007-03-23",18.309999
"57","2007-03-26",18.9
"58","2007-03-27",18.639999
"59","2007-03-28",18.379999
"60","2007-03-29",18.91
"61","2007-03-30",18.9
"62","2007-04-02",19.389999
"63","2007-04-03",19.459999
"64","2007-04-04",19.129999
"65","2007-04-05",19.190001
"66","2007-04-09",18.98
"67","2007-04-10",18.91
"68","2007-04-11",19.4
"69","2007-04-12",20.290001
"70","2007-04-13",21.43
"71","2007-04-16",22.25
"72","2007-04-17",22.18
"73","2007-04-18",21.549999
"74","2007-04-19",21.309999
"75","2007-04-20",21.43
"76","2007-04-23",21.379999
"77","2007-04-24",20.98
"78","2007-04-25",20.77
"79","2007-04-26",20.790001
"80","2007-04-27",20.73
"81","2007-04-30",21.43
"82","2007-05-01",21.700001
"83","2007-05-02",22.120001
"84","2007-05-03",21.950001
"85","2007-05-04",21.99
"86","2007-05-07",21.85
"87","2007-05-08",22.139999
"88","2007-05-09",23.42
"89","2007-05-10",22.66
"90","2007-05-11",22.9
"91","2007-05-14",23.719999
"92","2007-05-15",20.219999
"93","2007-05-16",20.33
"94","2007-05-17",20.1
"95","2007-05-18",19.879999
"96","2007-05-21",19.33
"97","2007-05-22",19.610001
"98","2007-05-23",19.43
"99","2007-05-24",19.110001
"100","2007-05-25",18.68
"101","2007-05-29",18.18
"102","2007-05-30",18.290001
"103","2007-05-31",18.42
"104","2007-06-01",18.450001
"105","2007-06-04",18.790001
"106","2007-06-05",18.48
"107","2007-06-06",18.200001
"108","2007-06-07",18.360001
"109","2007-06-08",19.110001
"110","2007-06-11",18.879999
"111","2007-06-12",18.73
"112","2007-06-13",18.82
"113","2007-06-14",19.049999
"114","2007-06-15",19.530001
"115","2007-06-18",19.360001
"116","2007-06-19",19.709999
"117","2007-06-20",19.4
"118","2007-06-21",18.68
"119","2007-06-22",18.360001
"120","2007-06-25",18.99
"121","2007-06-26",19.25
"122","2007-06-27",19.58
"123","2007-06-28",19.219999
"124","2007-06-29",20.120001
"125","2007-07-02",20.41
"126","2007-07-03",20.709999
"127","2007-07-05",21.299999
"128","2007-07-06",21.280001
"129","2007-07-09",21.35
"130","2007-07-10",20.49
"131","2007-07-11",21.09
"132","2007-07-12",22.290001
"133","2007-07-13",22.1
"134","2007-07-16",21.41
"135","2007-07-17",21.790001
"136","2007-07-18",22.49
"137","2007-07-19",22.1
"138","2007-07-20",21.26
"139","2007-07-23",21.4
"140","2007-07-24",20.889999
"141","2007-07-25",21.219999
"142","2007-07-26",20.629999
"143","2007-07-27",20.34
"144","2007-07-30",20.780001
"145","2007-07-31",20.67
"146","2007-08-01",20.07
"147","2007-08-02",19.76
"148","2007-08-03",19.25
"149","2007-08-06",19.040001
"150","2007-08-07",18.549999
"151","2007-08-08",18.77
"152","2007-08-09",20.09
"153","2007-08-10",21.98
"154","2007-08-13",22.76
"155","2007-08-14",21.25
"156","2007-08-15",20.9
"157","2007-08-16",20.370001
"158","2007-08-17",20.82
"159","2007-08-20",20.860001
"160","2007-08-21",21.16
"161","2007-08-22",21.959999
"162","2007-08-23",21.43
"163","2007-08-24",21.65
"164","2007-08-27",21.540001
"165","2007-08-28",21.08
"166","2007-08-29",21.700001
"167","2007-08-30",22.889999
"168","2007-08-31",24.629999
