"","date","UPWK"
"1","2018-10-03",21.18
"2","2018-10-04",20.959999
"3","2018-10-05",20.99
"4","2018-10-08",20.040001
"5","2018-10-09",19.940001
"6","2018-10-10",20
"7","2018-10-11",19.040001
"8","2018-10-12",19.209999
"9","2018-10-15",19.43
"10","2018-10-16",20.200001
"11","2018-10-17",20.1
"12","2018-10-18",19.139999
"13","2018-10-19",19.440001
"14","2018-10-22",18.950001
"15","2018-10-23",18.799999
"16","2018-10-24",17.24
"17","2018-10-25",19.5
"18","2018-10-26",18.690001
"19","2018-10-29",17.99
"20","2018-10-30",18.84
"21","2018-10-31",19.200001
"22","2018-11-01",20.23
"23","2018-11-02",20.26
"24","2018-11-05",19.34
"25","2018-11-06",19.4
"26","2018-11-07",20.290001
"27","2018-11-08",18.07
"28","2018-11-09",17.68
"29","2018-11-12",17.700001
"30","2018-11-13",18.110001
"31","2018-11-14",18.549999
"32","2018-11-15",18.74
"33","2018-11-16",19.200001
"34","2018-11-19",16.459999
"35","2018-11-20",16.1
"36","2018-11-21",16.65
"37","2018-11-23",16.889999
"38","2018-11-26",17
"39","2018-11-27",16.709999
"40","2018-11-28",17.629999
"41","2018-11-29",18.049999
"42","2018-11-30",18.629999
"43","2018-12-03",18.889999
"44","2018-12-04",18.389999
"45","2018-12-06",18.040001
"46","2018-12-07",17.09
"47","2018-12-10",16.59
"48","2018-12-11",16.01
"49","2018-12-12",16.49
"50","2018-12-13",16.870001
"51","2018-12-14",17.389999
"52","2018-12-17",18.440001
"53","2018-12-18",19.440001
"54","2018-12-19",20.040001
"55","2018-12-20",20.67
"56","2018-12-21",19.559999
"57","2018-12-24",18.1
"58","2018-12-26",17.620001
"59","2018-12-27",17.9
"60","2018-12-28",17.860001
"61","2018-12-31",18.110001
"62","2019-01-02",18.530001
"63","2019-01-03",17.870001
"64","2019-01-04",18.59
"65","2019-01-07",18.700001
"66","2019-01-08",19.129999
"67","2019-01-09",19.34
"68","2019-01-10",19
"69","2019-01-11",18.99
"70","2019-01-14",18.799999
"71","2019-01-15",18.969999
"72","2019-01-16",19
"73","2019-01-17",19.059999
"74","2019-01-18",18.940001
"75","2019-01-22",18.299999
"76","2019-01-23",18.389999
"77","2019-01-24",18.9
"78","2019-01-25",18.98
"79","2019-01-28",18.940001
"80","2019-01-29",18.879999
"81","2019-01-30",18.799999
"82","2019-01-31",19.309999
"83","2019-02-01",18.58
"84","2019-02-04",18.99
"85","2019-02-05",20.709999
"86","2019-02-06",22.17
"87","2019-02-07",21.120001
"88","2019-02-08",20.57
"89","2019-02-11",21.969999
"90","2019-02-12",22.41
"91","2019-02-13",22.23
"92","2019-02-14",23.18
"93","2019-02-15",22.059999
"94","2019-02-19",22.9
"95","2019-02-20",22.440001
"96","2019-02-21",22.01
"97","2019-02-22",22.719999
"98","2019-02-25",22.5
"99","2019-02-26",22.75
"100","2019-02-27",23.91
"101","2019-02-28",23.690001
"102","2019-03-01",22.450001
"103","2019-03-04",22.92
"104","2019-03-05",22.940001
"105","2019-03-06",22.4
"106","2019-03-07",21.610001
"107","2019-03-08",21.48
"108","2019-03-11",21.549999
"109","2019-03-12",21.17
"110","2019-03-13",20.76
"111","2019-03-14",20.4
"112","2019-03-15",20.309999
"113","2019-03-18",20.299999
"114","2019-03-19",20.389999
"115","2019-03-20",20.57
"116","2019-03-21",20.34
"117","2019-03-22",19.9
"118","2019-03-25",19.860001
"119","2019-03-26",20.049999
"120","2019-03-27",19.66
"121","2019-03-28",19.6
"122","2019-03-29",19.139999
"123","2019-04-01",18.6
"124","2019-04-02",19.120001
"125","2019-04-03",19.950001
"126","2019-04-04",19.959999
"127","2019-04-05",20.01
"128","2019-04-08",19.73
"129","2019-04-09",19.5
"130","2019-04-10",19.52
