"","date","FRGI"
"1","2012-04-26",12.5
"2","2012-04-27",12
"3","2012-04-30",12
"4","2012-05-01",11.25
"5","2012-05-02",11.15
"6","2012-05-03",11.15
"7","2012-05-04",11.15
"8","2012-05-07",11.1
"9","2012-05-08",11.5
"10","2012-05-09",12.35
"11","2012-05-10",12.53
"12","2012-05-11",12.25
"13","2012-05-14",12.15
"14","2012-05-15",12.1
"15","2012-05-16",12.14
"16","2012-05-17",12.03
"17","2012-05-18",11.7
"18","2012-05-21",12.02
"19","2012-05-22",11.75
"20","2012-05-23",11.7
"21","2012-05-24",12.3
"22","2012-05-25",12.29
"23","2012-05-29",12.34
"24","2012-05-30",12.17
"25","2012-05-31",12.2
"26","2012-06-01",12.03
"27","2012-06-04",12
"28","2012-06-05",11.76
"29","2012-06-06",12.35
"30","2012-06-07",12.36
"31","2012-06-08",12.71
"32","2012-06-11",12.29
"33","2012-06-12",12.11
"34","2012-06-13",11.99
"35","2012-06-14",12.03
"36","2012-06-15",12.09
"37","2012-06-18",12.06
"38","2012-06-19",12.4
"39","2012-06-20",13
"40","2012-06-21",12.75
"41","2012-06-22",12.53
"42","2012-06-25",12.53
"43","2012-06-26",12.59
"44","2012-06-27",12.75
"45","2012-06-28",12.77
"46","2012-06-29",13.23
"47","2012-07-02",13.16
"48","2012-07-03",13.87
"49","2012-07-05",14.53
"50","2012-07-06",14.37
"51","2012-07-09",14.53
"52","2012-07-10",14.52
"53","2012-07-11",14.97
"54","2012-07-12",15.08
"55","2012-07-13",15.56
"56","2012-07-16",15.12
"57","2012-07-17",15.55
"58","2012-07-18",15.92
"59","2012-07-19",15.63
"60","2012-07-20",15
"61","2012-07-23",14.97
"62","2012-07-24",14.97
"63","2012-07-25",15.02
"64","2012-07-26",15.04
"65","2012-07-27",15.15
"66","2012-07-30",15.3
"67","2012-07-31",15.39
"68","2012-08-01",15.23
"69","2012-08-02",15.27
"70","2012-08-03",15.74
"71","2012-08-06",15.94
"72","2012-08-07",16.360001
"73","2012-08-08",15.31
"74","2012-08-09",15.92
"75","2012-08-10",16.139999
"76","2012-08-13",16.16
"77","2012-08-14",16.09
"78","2012-08-15",16
"79","2012-08-16",16.18
"80","2012-08-17",16.42
"81","2012-08-20",16.559999
"82","2012-08-21",16.75
"83","2012-08-22",16.549999
"84","2012-08-23",16.16
"85","2012-08-24",15.89
"86","2012-08-27",15.9
"87","2012-08-28",15.85
"88","2012-08-29",15.45
"89","2012-08-30",15.75
"90","2012-08-31",16.059999
"91","2012-09-04",15.83
"92","2012-09-05",15.89
"93","2012-09-06",16.18
"94","2012-09-07",16.25
"95","2012-09-10",16.200001
"96","2012-09-11",16.299999
"97","2012-09-12",16.24
"98","2012-09-13",16.379999
"99","2012-09-14",16.379999
"100","2012-09-17",16.65
"101","2012-09-18",16.74
"102","2012-09-19",16.879999
"103","2012-09-20",17
"104","2012-09-21",16.76
"105","2012-09-24",16.610001
"106","2012-09-25",16.200001
"107","2012-09-26",15.89
"108","2012-09-27",15.85
"109","2012-09-28",15.87
"110","2012-10-01",15.55
"111","2012-10-02",15.49
"112","2012-10-03",15.19
"113","2012-10-04",15.25
"114","2012-10-05",14.36
"115","2012-10-08",14.46
"116","2012-10-09",14.55
"117","2012-10-10",14.38
"118","2012-10-11",14.44
"119","2012-10-12",14.43
"120","2012-10-15",14.64
"121","2012-10-16",14.68
"122","2012-10-17",14.67
"123","2012-10-18",13.96
"124","2012-10-19",13.39
"125","2012-10-22",13.4
"126","2012-10-23",13.22
"127","2012-10-24",13.07
"128","2012-10-25",13.15
"129","2012-10-26",13.14
