"","date","KOPN"
"1","2007-01-03",3.59
"2","2007-01-04",3.67
"3","2007-01-05",3.52
"4","2007-01-08",3.64
"5","2007-01-09",3.66
"6","2007-01-10",3.59
"7","2007-01-11",3.65
"8","2007-01-12",3.74
"9","2007-01-16",3.71
"10","2007-01-17",3.63
"11","2007-01-18",3.56
"12","2007-01-19",3.65
"13","2007-01-22",3.65
"14","2007-01-23",3.8
"15","2007-01-24",4.02
"16","2007-01-25",3.96
"17","2007-01-26",3.95
"18","2007-01-29",3.98
"19","2007-01-30",3.88
"20","2007-01-31",3.86
"21","2007-02-01",3.95
"22","2007-02-02",3.93
"23","2007-02-05",3.95
"24","2007-02-06",4.02
"25","2007-02-07",4.03
"26","2007-02-08",3.95
"27","2007-02-09",3.97
"28","2007-02-12",3.92
"29","2007-02-13",3.93
"30","2007-02-14",3.8
"31","2007-02-15",3.84
"32","2007-02-16",3.82
"33","2007-02-20",3.92
"34","2007-02-21",3.94
"35","2007-02-22",3.87
"36","2007-02-23",3.85
"37","2007-02-26",3.85
"38","2007-02-27",3.61
"39","2007-02-28",3.61
"40","2007-03-01",3.56
"41","2007-03-02",3.46
"42","2007-03-05",3.46
"43","2007-03-06",3.26
"44","2007-03-07",3.37
"45","2007-03-08",3.34
"46","2007-03-09",3.31
"47","2007-03-12",3.41
"48","2007-03-13",3.35
"49","2007-03-14",3.4
"50","2007-03-15",3.5
"51","2007-03-16",3.54
"52","2007-03-19",3.33
"53","2007-03-20",3.43
"54","2007-03-21",3.58
"55","2007-03-22",3.43
"56","2007-03-23",3.52
"57","2007-03-26",3.54
"58","2007-03-27",3.45
"59","2007-03-28",3.43
"60","2007-03-29",3.35
"61","2007-03-30",3.38
"62","2007-04-02",3.4
"63","2007-04-03",3.38
"64","2007-04-04",3.34
"65","2007-04-05",3.39
"66","2007-04-09",3.37
"67","2007-04-10",3.39
"68","2007-04-11",3.39
"69","2007-04-12",3.38
"70","2007-04-13",3.45
"71","2007-04-16",3.53
"72","2007-04-17",3.56
"73","2007-04-18",3.45
"74","2007-04-19",3.43
"75","2007-04-20",3.42
"76","2007-04-23",3.44
"77","2007-04-24",3.49
"78","2007-04-25",3.57
"79","2007-04-26",3.54
"80","2007-04-27",3.5
"81","2007-04-30",3.39
"82","2007-05-01",3.41
"83","2007-05-02",3.48
"84","2007-05-03",3.42
"85","2007-05-04",3.38
"86","2007-05-07",3.37
"87","2007-05-08",3.26
"88","2007-05-09",3.28
"89","2007-05-10",3.24
"90","2007-05-11",3.21
"91","2007-05-14",3.18
"92","2007-05-15",3.07
"93","2007-05-16",3.26
"94","2007-05-17",3.26
"95","2007-05-18",3.23
"96","2007-05-21",3.16
"97","2007-05-22",3.21
"98","2007-05-23",3.26
"99","2007-05-24",3.36
"100","2007-05-25",3.47
"101","2007-05-29",3.53
"102","2007-05-30",3.5
"103","2007-05-31",3.58
"104","2007-06-01",3.66
"105","2007-06-04",3.57
"106","2007-06-05",3.54
"107","2007-06-06",3.59
"108","2007-06-07",3.56
"109","2007-06-08",3.6
"110","2007-06-11",3.53
"111","2007-06-12",3.49
"112","2007-06-13",3.54
"113","2007-06-14",3.52
"114","2007-06-15",3.71
"115","2007-06-18",3.92
"116","2007-06-19",4.05
"117","2007-06-20",4
"118","2007-06-21",4.21
"119","2007-06-22",4.12
"120","2007-06-25",4.16
"121","2007-06-26",4.12
"122","2007-06-27",4.13
"123","2007-06-28",4.1
"124","2007-06-29",3.9
"125","2007-07-02",3.78
"126","2007-07-03",3.93
"127","2007-07-05",4.02
"128","2007-07-06",4.03
"129","2007-07-09",4.13
"130","2007-07-10",4.12
"131","2007-07-11",4.2
"132","2007-07-12",4.45
"133","2007-07-13",4.45
"134","2007-07-16",4.21
"135","2007-07-17",4.23
"136","2007-07-18",4.22
"137","2007-07-19",4.33
"138","2007-07-20",4.31
"139","2007-07-23",4.14
"140","2007-07-24",4.05
"141","2007-07-25",3.94
"142","2007-07-26",3.74
"143","2007-07-27",3.81
"144","2007-07-30",3.93
"145","2007-07-31",3.81
"146","2007-08-01",3.72
"147","2007-08-02",3.58
"148","2007-08-03",3.53
"149","2007-08-06",3.45
"150","2007-08-07",3.64
"151","2007-08-08",3.82
"152","2007-08-09",3.86
"153","2007-08-10",3.82
"154","2007-08-13",3.57
"155","2007-08-14",3.54
"156","2007-08-15",3.44
"157","2007-08-16",3.41
"158","2007-08-17",3.44
"159","2007-08-20",3.47
"160","2007-08-21",3.61
"161","2007-08-22",3.58
"162","2007-08-23",3.58
"163","2007-08-24",3.62
"164","2007-08-27",3.58
"165","2007-08-28",3.55
"166","2007-08-29",3.55
"167","2007-08-30",3.51
"168","2007-08-31",3.67
"169","2007-09-04",3.55
"170","2007-09-05",3.6
"171","2007-09-06",3.5
"172","2007-09-07",3.54
"173","2007-09-10",3.46
"174","2007-09-11",3.49
"175","2007-09-12",3.42
"176","2007-09-13",3.42
"177","2007-09-14",3.48
"178","2007-09-17",3.41
"179","2007-09-18",3.46
"180","2007-09-19",3.52
"181","2007-09-20",3.51
"182","2007-09-21",3.39
"183","2007-09-24",3.44
"184","2007-09-25",3.38
"185","2007-09-26",3.49
"186","2007-09-27",3.63
"187","2007-09-28",3.81
"188","2007-10-01",3.87
"189","2007-10-02",3.86
"190","2007-10-03",3.82
"191","2007-10-04",3.69
"192","2007-10-05",3.85
"193","2007-10-08",3.75
"194","2007-10-09",3.75
"195","2007-10-10",3.78
"196","2007-10-11",3.64
"197","2007-10-12",3.74
"198","2007-10-15",3.59
"199","2007-10-16",3.62
"200","2007-10-17",3.62
"201","2007-10-18",3.74
"202","2007-10-19",3.71
"203","2007-10-22",3.65
"204","2007-10-23",3.74
"205","2007-10-24",3.87
"206","2007-10-25",3.87
"207","2007-10-26",3.87
"208","2007-10-29",3.83
"209","2007-10-30",3.85
"210","2007-10-31",3.98
"211","2007-11-01",3.92
"212","2007-11-02",3.89
"213","2007-11-05",3.79
"214","2007-11-06",3.83
"215","2007-11-07",3.8
"216","2007-11-08",3.6
"217","2007-11-09",3.63
"218","2007-11-12",3.51
"219","2007-11-13",3.68
"220","2007-11-14",3.69
"221","2007-11-15",3.9
"222","2007-11-16",3.79
"223","2007-11-19",3.71
"224","2007-11-20",3.56
"225","2007-11-21",3.38
"226","2007-11-23",3.58
"227","2007-11-26",3.47
"228","2007-11-27",3.39
"229","2007-11-28",3.35
"230","2007-11-29",3.39
"231","2007-11-30",3.6
"232","2007-12-03",3.55
"233","2007-12-04",3.63
"234","2007-12-05",3.62
"235","2007-12-06",3.74
"236","2007-12-07",3.64
"237","2007-12-10",3.5
"238","2007-12-11",3.5
"239","2007-12-12",3.46
"240","2007-12-13",3.46
"241","2007-12-14",3.3
"242","2007-12-17",3.13
"243","2007-12-18",3.12
"244","2007-12-19",3
"245","2007-12-20",3.12
"246","2007-12-21",3.19
"247","2007-12-24",3.04
