"","date","MOS"
"1","2007-01-03",21.65
"2","2007-01-04",20.91
"3","2007-01-05",20.379999
"4","2007-01-08",20.24
"5","2007-01-09",20.040001
"6","2007-01-10",19.76
"7","2007-01-11",20.780001
"8","2007-01-12",22.1
"9","2007-01-16",22.110001
"10","2007-01-17",21.540001
"11","2007-01-18",21.940001
"12","2007-01-19",21.700001
"13","2007-01-22",21.17
"14","2007-01-23",21.6
"15","2007-01-24",21.34
"16","2007-01-25",20.450001
"17","2007-01-26",19.950001
"18","2007-01-29",20.809999
"19","2007-01-30",20.4
"20","2007-01-31",19.92
"21","2007-02-01",20.700001
"22","2007-02-02",20.85
"23","2007-02-05",20.139999
"24","2007-02-06",20.709999
"25","2007-02-07",20.690001
"26","2007-02-08",20.559999
"27","2007-02-09",21.23
"28","2007-02-12",22.360001
"29","2007-02-13",23.639999
"30","2007-02-14",23.74
"31","2007-02-15",24.26
"32","2007-02-16",25.23
"33","2007-02-20",25.969999
"34","2007-02-21",26.9
"35","2007-02-22",26.24
"36","2007-02-23",26.469999
"37","2007-02-26",26.4
"38","2007-02-27",25.1
"39","2007-02-28",25.440001
"40","2007-03-01",25.18
"41","2007-03-02",24.66
"42","2007-03-05",24.280001
"43","2007-03-06",25.48
"44","2007-03-07",25.950001
"45","2007-03-08",26.68
"46","2007-03-09",26.690001
"47","2007-03-12",27.17
"48","2007-03-13",26.690001
"49","2007-03-14",26.969999
"50","2007-03-15",26.73
"51","2007-03-16",26.530001
"52","2007-03-19",27.01
"53","2007-03-20",26.91
"54","2007-03-21",28
"55","2007-03-22",27.49
"56","2007-03-23",27.65
"57","2007-03-26",27.5
"58","2007-03-27",26.879999
"59","2007-03-28",26.469999
"60","2007-03-29",26.370001
"61","2007-03-30",26.66
"62","2007-04-02",26.85
"63","2007-04-03",27.389999
"64","2007-04-04",27.950001
"65","2007-04-05",28.82
"66","2007-04-09",29.1
"67","2007-04-10",27.51
"68","2007-04-11",28.450001
"69","2007-04-12",29.790001
"70","2007-04-13",30.25
"71","2007-04-16",31.120001
"72","2007-04-17",30.9
"73","2007-04-18",30.73
"74","2007-04-19",29.639999
"75","2007-04-20",29.24
"76","2007-04-23",29.77
"77","2007-04-24",30.01
"78","2007-04-25",30.559999
"79","2007-04-26",31.77
"80","2007-04-27",30.75
"81","2007-04-30",29.5
"82","2007-05-01",29.18
"83","2007-05-02",29.58
"84","2007-05-03",30.82
"85","2007-05-04",29.27
"86","2007-05-07",30.059999
"87","2007-05-08",29.74
"88","2007-05-09",29.75
"89","2007-05-10",29.17
"90","2007-05-11",29.469999
"91","2007-05-14",30.110001
"92","2007-05-15",30.379999
"93","2007-05-16",30.629999
"94","2007-05-17",31.110001
"95","2007-05-18",31.610001
"96","2007-05-21",31.940001
"97","2007-05-22",32.27
"98","2007-05-23",32.919998
"99","2007-05-24",31.66
"100","2007-05-25",32.970001
"101","2007-05-29",32.509998
"102","2007-05-30",34.52
"103","2007-05-31",35.130001
"104","2007-06-01",35.580002
"105","2007-06-04",36.599998
"106","2007-06-05",36.720001
"107","2007-06-06",35.849998
"108","2007-06-07",34.619999
"109","2007-06-08",35.34
"110","2007-06-11",35.599998
"111","2007-06-12",35.57
"112","2007-06-13",37.830002
"113","2007-06-14",37.959999
"114","2007-06-15",38.860001
"115","2007-06-18",39.77
"116","2007-06-19",39.98
"117","2007-06-20",38.540001
"118","2007-06-21",39.040001
"119","2007-06-22",39.740002
"120","2007-06-25",39.400002
"121","2007-06-26",38.810001
"122","2007-06-27",38.009998
"123","2007-06-28",38.93
"124","2007-06-29",39.02
"125","2007-07-02",39.779999
"126","2007-07-03",39.119999
"127","2007-07-05",39.049999
"128","2007-07-06",39.099998
"129","2007-07-09",39.299999
"130","2007-07-10",38.279999
"131","2007-07-11",38.389999
"132","2007-07-12",39.740002
"133","2007-07-13",40.790001
"134","2007-07-16",40.240002
"135","2007-07-17",40.060001
"136","2007-07-18",39.450001
"137","2007-07-19",39.830002
"138","2007-07-20",38.790001
"139","2007-07-23",40
"140","2007-07-24",38.490002
"141","2007-07-25",37.169998
"142","2007-07-26",35.639999
"143","2007-07-27",34.610001
"144","2007-07-30",35.959999
"145","2007-07-31",37.560001
"146","2007-08-01",38.009998
"147","2007-08-02",40.029999
"148","2007-08-03",39.48
"149","2007-08-06",38.75
"150","2007-08-07",40.599998
"151","2007-08-08",40.389999
"152","2007-08-09",37.509998
"153","2007-08-10",39.439999
"154","2007-08-13",40.040001
"155","2007-08-14",40.130001
"156","2007-08-15",38.139999
"157","2007-08-16",35.220001
"158","2007-08-17",35.970001
"159","2007-08-20",38.73
"160","2007-08-21",39
"161","2007-08-22",40.310001
"162","2007-08-23",39.610001
"163","2007-08-24",41.029999
"164","2007-08-27",40.619999
"165","2007-08-28",38.790001
"166","2007-08-29",40
"167","2007-08-30",39.919998
"168","2007-08-31",42.02
"169","2007-09-04",42.93
"170","2007-09-05",43.27
"171","2007-09-06",44.310001
"172","2007-09-07",42.919998
"173","2007-09-10",42.84
"174","2007-09-11",44.060001
"175","2007-09-12",45.41
"176","2007-09-13",45.5
"177","2007-09-14",44.77
"178","2007-09-17",44.889999
"179","2007-09-18",46.360001
"180","2007-09-19",46.939999
"181","2007-09-20",47.419998
"182","2007-09-21",50.25
"183","2007-09-24",49.459999
"184","2007-09-25",50.07
"185","2007-09-26",51.650002
"186","2007-09-27",53.23
"187","2007-09-28",53.52
"188","2007-10-01",54.099998
"189","2007-10-02",52.450001
"190","2007-10-03",48.919998
"191","2007-10-04",50.880001
"192","2007-10-05",52.400002
"193","2007-10-08",51.380001
"194","2007-10-09",55.610001
"195","2007-10-10",58.310001
"196","2007-10-11",59.23
"197","2007-10-12",61.68
"198","2007-10-15",60.5
"199","2007-10-16",62.860001
"200","2007-10-17",61.939999
"201","2007-10-18",63.32
"202","2007-10-19",62.5
"203","2007-10-22",60.09
"204","2007-10-23",62.130001
"205","2007-10-24",63.060001
"206","2007-10-25",65.5
"207","2007-10-26",68.830002
"208","2007-10-29",69.660004
"209","2007-10-30",68
"210","2007-10-31",69.800003
"211","2007-11-01",68.949997
"212","2007-11-02",69.470001
"213","2007-11-05",67.57
"214","2007-11-06",70
"215","2007-11-07",70.889999
"216","2007-11-08",71.089996
"217","2007-11-09",71.040001
"218","2007-11-12",61.330002
"219","2007-11-13",66.419998
"220","2007-11-14",66.269997
"221","2007-11-15",61.98
"222","2007-11-16",63.639999
"223","2007-11-19",59.34
"224","2007-11-20",61.099998
"225","2007-11-21",58.93
"226","2007-11-23",61
"227","2007-11-26",61.98
"228","2007-11-27",63.299999
"229","2007-11-28",68.529999
"230","2007-11-29",68.449997
"231","2007-11-30",69.150002
"232","2007-12-03",72.199997
"233","2007-12-04",71.059998
"234","2007-12-05",75.459999
"235","2007-12-06",77.449997
"236","2007-12-07",79.629997
"237","2007-12-10",84.400002
"238","2007-12-11",82
