"","date","HBB"
"1","2017-09-26",31
"2","2017-09-27",29.344999
"3","2017-09-28",31.25
"4","2017-09-29",33.099998
"5","2017-10-02",30.23
"6","2017-10-03",33.900002
"7","2017-10-04",34.59
"8","2017-10-05",35.509998
"9","2017-10-06",37.599998
"10","2017-10-09",38.630001
"11","2017-10-10",37
"12","2017-10-11",38.119999
"13","2017-10-12",37.950001
"14","2017-10-13",38.220001
"15","2017-10-16",38.93
"16","2017-10-17",39.330002
"17","2017-10-18",39.5
"18","2017-10-19",39.549999
"19","2017-10-20",39.669998
"20","2017-10-23",39.669998
"21","2017-10-24",39.869999
"22","2017-10-25",39.290001
"23","2017-10-26",38.849998
"24","2017-10-27",39.889999
"25","2017-10-30",39.5
"26","2017-10-31",38.77
"27","2017-11-01",38.59
"28","2017-11-02",37.240002
"29","2017-11-03",36.25
"30","2017-11-06",32.77
"31","2017-11-07",32.09
"32","2017-11-08",31.84
"33","2017-11-09",30.5
"34","2017-11-10",30.799999
"35","2017-11-13",31.879999
"36","2017-11-14",32.380001
"37","2017-11-15",32.84
"38","2017-11-16",32.689999
"39","2017-11-17",31.84
"40","2017-11-20",31.889999
"41","2017-11-21",31.35
"42","2017-11-22",30.120001
"43","2017-11-24",27.889999
"44","2017-11-27",25.76
"45","2017-11-28",25.610001
"46","2017-11-29",27.75
"47","2017-11-30",28.58
"48","2017-12-01",28.309999
"49","2017-12-04",27.120001
"50","2017-12-05",27.15
"51","2017-12-06",27.07
"52","2017-12-07",27.030001
"53","2017-12-08",26.809999
"54","2017-12-11",26.059999
"55","2017-12-12",26.49
"56","2017-12-13",26.639999
"57","2017-12-14",24.969999
"58","2017-12-15",26.5
"59","2017-12-18",26.139999
"60","2017-12-19",25.9
"61","2017-12-20",25.27
"62","2017-12-21",25.799999
"63","2017-12-22",25.91
"64","2017-12-26",25.969999
"65","2017-12-27",25.67
"66","2017-12-28",26.02
"67","2017-12-29",25.690001
"68","2018-01-02",26.15
"69","2018-01-03",24.93
"70","2018-01-04",25.790001
"71","2018-01-05",25.440001
"72","2018-01-08",25.93
"73","2018-01-09",26.190001
"74","2018-01-10",26.360001
"75","2018-01-11",25.9
"76","2018-01-12",26.77
