"","date","ESQ"
"1","2017-06-27",15.25
"2","2017-06-28",15.15
"3","2017-06-29",14.86
"4","2017-06-30",15
"5","2017-07-03",15.05
"6","2017-07-05",15.14
"7","2017-07-06",14.95
"8","2017-07-07",14.995
"9","2017-07-10",14.85
"10","2017-07-11",14.94
"11","2017-07-12",14.9
"12","2017-07-13",14.95
"13","2017-07-14",14.65
"14","2017-07-17",14.66
"15","2017-07-18",14.7
"16","2017-07-19",14.65
"17","2017-07-20",14.65
"18","2017-07-21",14.65
"19","2017-07-24",14.65
"20","2017-07-25",14.74
"21","2017-07-26",14.85
"22","2017-07-27",14.61
"23","2017-07-28",14.9
"24","2017-07-31",14.775
"25","2017-08-01",14.89
"26","2017-08-02",14.8
"27","2017-08-03",14.82
"28","2017-08-04",15
"29","2017-08-07",15.01
"30","2017-08-08",15.15
"31","2017-08-09",15.18
"32","2017-08-10",15.17
"33","2017-08-11",16.059999
"34","2017-08-14",16
"35","2017-08-15",15.524
"36","2017-08-16",15.83
"37","2017-08-17",16.01
"38","2017-08-18",15.987
"39","2017-08-21",15.9
"40","2017-08-22",15.28
"41","2017-08-23",15.16
"42","2017-08-24",15.2
"43","2017-08-25",15.075
"44","2017-08-28",14.9
"45","2017-08-29",14.7
"46","2017-08-30",15.06
"47","2017-08-31",15
"48","2017-09-01",14.76
"49","2017-09-05",14.8
"50","2017-09-06",14.94
"51","2017-09-07",15.08
"52","2017-09-08",15.125
"53","2017-09-11",15.1
"54","2017-09-12",15.2
"55","2017-09-13",15
"56","2017-09-14",15.2
"57","2017-09-15",14.65
"58","2017-09-18",14.85
"59","2017-09-19",15
"60","2017-09-20",15.18
"61","2017-09-21",15.21
"62","2017-09-22",15.06
"63","2017-09-25",15.2
"64","2017-09-26",15.19
"65","2017-09-27",15.34
"66","2017-09-28",16
"67","2017-09-29",16.09
"68","2017-10-02",16.08
"69","2017-10-03",16.01
"70","2017-10-04",16.1
"71","2017-10-05",15.84
"72","2017-10-06",16.049999
"73","2017-10-09",15.95
"74","2017-10-10",16.049999
"75","2017-10-11",15.89
"76","2017-10-12",15.66
"77","2017-10-13",15.61
"78","2017-10-16",15.22
"79","2017-10-17",16.030001
"80","2017-10-18",16.01
"81","2017-10-19",15.99
"82","2017-10-20",16.15
"83","2017-10-23",16
"84","2017-10-24",15.79
"85","2017-10-25",16.049999
"86","2017-10-26",16.15
"87","2017-10-27",16.1
"88","2017-10-30",16.25
"89","2017-10-31",16.709999
"90","2017-11-01",16.299999
"91","2017-11-02",16.360001
"92","2017-11-03",16.51
"93","2017-11-06",16.629999
"94","2017-11-07",16.549999
"95","2017-11-08",16.98
"96","2017-11-09",16.75
"97","2017-11-10",16.75
"98","2017-11-13",16.51
"99","2017-11-14",16.83
"100","2017-11-15",16.67
"101","2017-11-16",16.969999
"102","2017-11-17",16.75
"103","2017-11-20",16.351
"104","2017-11-21",16.9
"105","2017-11-22",17.65
"106","2017-11-24",17.6
"107","2017-11-27",17.620001
"108","2017-11-28",17.73
"109","2017-11-29",18.209999
"110","2017-11-30",18.58
"111","2017-12-01",18.9
"112","2017-12-04",21
"113","2017-12-05",20.27
"114","2017-12-06",20.32
"115","2017-12-07",20.52
"116","2017-12-08",20.450001
"117","2017-12-11",20.5
"118","2017-12-12",20.1
"119","2017-12-13",19.98
"120","2017-12-14",19.5
"121","2017-12-15",19
"122","2017-12-18",19.1
"123","2017-12-19",19
"124","2017-12-20",19.549999
"125","2017-12-21",19.16
"126","2017-12-22",19.1
"127","2017-12-26",19.950001
"128","2017-12-27",19.75
"129","2017-12-28",19.6
"130","2017-12-29",19.74
"131","2018-01-02",18.91
"132","2018-01-03",19.25
"133","2018-01-04",19.700001
"134","2018-01-05",19.870001
"135","2018-01-08",19.75
"136","2018-01-09",19.75
"137","2018-01-10",19.75
"138","2018-01-11",19.66
"139","2018-01-12",19.700001
"140","2018-01-16",19.809999
"141","2018-01-17",19.809999
"142","2018-01-18",19.735001
"143","2018-01-19",20
"144","2018-01-22",20
"145","2018-01-23",19.25
"146","2018-01-24",19.299999
"147","2018-01-25",20.495001
"148","2018-01-26",21.51
"149","2018-01-29",22.316999
"150","2018-01-30",22.809999
"151","2018-01-31",22.76
"152","2018-02-01",24.75
"153","2018-02-02",24.51
"154","2018-02-05",22.27
"155","2018-02-06",23
"156","2018-02-07",22
"157","2018-02-08",22
"158","2018-02-09",21.700001
"159","2018-02-12",22
"160","2018-02-13",22.01
"161","2018-02-14",21.799999
"162","2018-02-15",21.74
"163","2018-02-16",22.68
"164","2018-02-20",22.5
"165","2018-02-21",22.594999
"166","2018-02-22",22.5
"167","2018-02-23",23
"168","2018-02-26",22.98
"169","2018-02-27",22.860001
"170","2018-02-28",23
"171","2018-03-01",22.540001
"172","2018-03-02",22.91
"173","2018-03-05",22.75
"174","2018-03-06",22.5
"175","2018-03-07",22.559999
"176","2018-03-08",22.440001
"177","2018-03-09",22.33
"178","2018-03-12",22.120001
"179","2018-03-13",22.530001
"180","2018-03-14",23.049999
"181","2018-03-15",23.5
"182","2018-03-16",23.93
"183","2018-03-19",24.219999
"184","2018-03-20",23.709999
"185","2018-03-21",23.42
"186","2018-03-22",24.469999
"187","2018-03-23",24.620001
"188","2018-03-26",24.700001
"189","2018-03-27",24.200001
"190","2018-03-28",24.450001
"191","2018-03-29",24.4
"192","2018-04-02",24.98
"193","2018-04-03",24.68
"194","2018-04-04",24.870001
"195","2018-04-05",24.620001
"196","2018-04-06",24.110001
"197","2018-04-09",24.58
"198","2018-04-10",24.5
"199","2018-04-11",24.450001
"200","2018-04-12",24.48
"201","2018-04-13",24.450001
"202","2018-04-16",24.25
"203","2018-04-17",24.41
"204","2018-04-18",24.690001
"205","2018-04-19",24.549999
"206","2018-04-20",24.4
"207","2018-04-23",24.450001
"208","2018-04-24",24.700001
"209","2018-04-25",24.16
"210","2018-04-26",24.030001
"211","2018-04-27",24.200001
"212","2018-04-30",24.09
"213","2018-05-01",24.25
"214","2018-05-02",24.5
"215","2018-05-03",24.120001
"216","2018-05-04",24.139999
"217","2018-05-07",24.23
"218","2018-05-08",24.25
"219","2018-05-09",24.110001
"220","2018-05-10",24.389999
"221","2018-05-11",24.5
"222","2018-05-14",24.110001
"223","2018-05-15",24.469999
"224","2018-05-16",24.700001
"225","2018-05-17",24.35
"226","2018-05-18",24.360001
"227","2018-05-21",24.85
"228","2018-05-22",24.780001
"229","2018-05-23",24.985001
"230","2018-05-24",24.85
"231","2018-05-25",24.82
"232","2018-05-29",25.280001
"233","2018-05-30",25.01
"234","2018-05-31",26.15
"235","2018-06-01",26.24
"236","2018-06-04",26.139999
"237","2018-06-05",25.5
"238","2018-06-06",25.219999
"239","2018-06-07",25.25
"240","2018-06-08",25.01
"241","2018-06-11",26.280001
"242","2018-06-12",25.879999
"243","2018-06-13",26.77
"244","2018-06-14",26.889999
"245","2018-06-15",26.549999
"246","2018-06-18",26.620001
"247","2018-06-19",26.9
"248","2018-06-20",26.75
"249","2018-06-21",26.209999
"250","2018-06-22",25.84
"251","2018-06-25",25.809999
"252","2018-06-26",25.969999
"253","2018-06-27",26.370001
"254","2018-06-28",26.91
"255","2018-06-29",26.389999
"256","2018-07-02",26.4
"257","2018-07-03",26.450001
"258","2018-07-05",26.4
"259","2018-07-06",26.700001
"260","2018-07-09",26.540001
"261","2018-07-10",26.690001
