"","date","KTOV"
"1","2015-11-20",31.9
"2","2015-11-23",29.9
"3","2015-11-24",24.299999
"4","2015-11-25",26.1
"5","2015-11-27",27.799999
"6","2015-11-30",25.1
"7","2015-12-01",24.799999
"8","2015-12-02",24.700001
"9","2015-12-03",27
"10","2015-12-04",26.700001
"11","2015-12-07",28.5
"12","2015-12-08",29.299999
"13","2015-12-09",28.9
"14","2015-12-10",31.299999
"15","2015-12-11",30.700001
"16","2015-12-14",35.700001
"17","2015-12-15",44.700001
"18","2015-12-16",40.400002
"19","2015-12-17",37.5
"20","2015-12-18",37.200001
"21","2015-12-21",34.400002
"22","2015-12-22",34.400002
"23","2015-12-23",33.799999
"24","2015-12-24",32.700001
"25","2015-12-28",33.299999
"26","2015-12-29",33.700001
"27","2015-12-30",31.9
"28","2015-12-31",31.5
"29","2016-01-04",30.889999
"30","2016-01-05",35.400002
"31","2016-01-06",33.400002
"32","2016-01-07",31
"33","2016-01-08",32.400002
"34","2016-01-11",31.799999
"35","2016-01-12",31.4
"36","2016-01-13",29.4
"37","2016-01-14",29.299999
"38","2016-01-15",26.4
"39","2016-01-19",25.6
"40","2016-01-20",24.6
"41","2016-01-21",25
"42","2016-01-22",25.200001
"43","2016-01-25",27.5
"44","2016-01-26",26.9
"45","2016-01-27",26
"46","2016-01-28",25.5
"47","2016-01-29",25.6
"48","2016-02-01",24.6
"49","2016-02-02",24.700001
"50","2016-02-03",25.1
"51","2016-02-04",25.799999
"52","2016-02-05",25.200001
"53","2016-02-08",26.1
"54","2016-02-09",25.700001
"55","2016-02-10",24.299999
"56","2016-02-11",23.299999
"57","2016-02-12",23.799999
"58","2016-02-16",26.4
"59","2016-02-17",26.6
"60","2016-02-18",25.5
"61","2016-02-19",25.9
"62","2016-02-22",26.1
"63","2016-02-23",25.9
"64","2016-02-24",26.4
"65","2016-02-25",26.9
"66","2016-02-26",28.200001
"67","2016-02-29",30
"68","2016-03-01",30.700001
"69","2016-03-02",31.4
"70","2016-03-03",31
"71","2016-03-04",32
"72","2016-03-07",32.200001
"73","2016-03-08",31.6
"74","2016-03-09",30.5
"75","2016-03-10",30
"76","2016-03-11",31.700001
"77","2016-03-14",31.9
"78","2016-03-15",32.200001
"79","2016-03-16",32.299999
"80","2016-03-17",37.099998
"81","2016-03-18",37
"82","2016-03-21",46
"83","2016-03-22",45.400002
"84","2016-03-23",42
"85","2016-03-24",43
"86","2016-03-28",45.900002
"87","2016-03-29",45.700001
"88","2016-03-30",44
"89","2016-03-31",43.5
"90","2016-04-01",46
"91","2016-04-04",46.200001
"92","2016-04-05",45.700001
"93","2016-04-06",47.400002
"94","2016-04-07",51.799999
"95","2016-04-08",52.900002
"96","2016-04-11",53.299999
"97","2016-04-12",50.799999
