"","date","FITB"
"1","2007-01-03",40.98
"2","2007-01-04",40.990002
"3","2007-01-05",40.18
"4","2007-01-08",39.919998
"5","2007-01-09",40
"6","2007-01-10",39.900002
"7","2007-01-11",39.93
"8","2007-01-12",40.029999
"9","2007-01-16",40.349998
"10","2007-01-17",39.639999
"11","2007-01-18",39.900002
"12","2007-01-19",39.59
"13","2007-01-22",39.200001
"14","2007-01-23",39.09
"15","2007-01-24",39.380001
"16","2007-01-25",38.91
"17","2007-01-26",39.110001
"18","2007-01-29",39.09
"19","2007-01-30",39.299999
"20","2007-01-31",39.900002
"21","2007-02-01",40.240002
"22","2007-02-02",40.330002
"23","2007-02-05",40.330002
"24","2007-02-06",40.529999
"25","2007-02-07",40.91
"26","2007-02-08",40.389999
"27","2007-02-09",40.459999
"28","2007-02-12",40.75
"29","2007-02-13",41.049999
"30","2007-02-14",41.110001
"31","2007-02-15",40.970001
"32","2007-02-16",40.98
"33","2007-02-20",41.200001
"34","2007-02-21",40.799999
"35","2007-02-22",40.68
"36","2007-02-23",40.580002
"37","2007-02-26",40.650002
"38","2007-02-27",39.720001
"39","2007-02-28",40.279999
"40","2007-03-01",40.110001
"41","2007-03-02",39.990002
"42","2007-03-05",39.389999
"43","2007-03-06",40.150002
"44","2007-03-07",39.59
"45","2007-03-08",40.080002
"46","2007-03-09",39.959999
"47","2007-03-12",40.220001
"48","2007-03-13",38.66
"49","2007-03-14",38.959999
"50","2007-03-15",39.389999
"51","2007-03-16",39.349998
"52","2007-03-19",39.48
"53","2007-03-20",39.610001
"54","2007-03-21",40.450001
"55","2007-03-22",40.130001
"56","2007-03-23",40.130001
"57","2007-03-26",40.07
"58","2007-03-27",39.759998
"59","2007-03-28",38.709999
"60","2007-03-29",38.990002
"61","2007-03-30",38.689999
"62","2007-04-02",38.099998
"63","2007-04-03",38.599998
"64","2007-04-04",38.650002
"65","2007-04-05",38.799999
"66","2007-04-09",38.27
"67","2007-04-10",38.599998
"68","2007-04-11",38.41
"69","2007-04-12",38.259998
"70","2007-04-13",38.43
"71","2007-04-16",39.330002
"72","2007-04-17",39.110001
"73","2007-04-18",39.630001
"74","2007-04-19",40.040001
"75","2007-04-20",40.16
"76","2007-04-23",40.099998
"77","2007-04-24",39.889999
"78","2007-04-25",40.41
"79","2007-04-26",40.669998
"80","2007-04-27",40.84
"81","2007-04-30",40.59
"82","2007-05-01",40.790001
"83","2007-05-02",40.91
"84","2007-05-03",41.279999
"85","2007-05-04",41.119999
"86","2007-05-07",41.549999
"87","2007-05-08",41.259998
"88","2007-05-09",41.459999
"89","2007-05-10",40.84
"90","2007-05-11",41.119999
"91","2007-05-14",40.880001
