"","date","TCI"
"1","2007-01-03",13.05
"2","2007-01-04",13.05
"3","2007-01-05",13.33
"4","2007-01-08",13
"5","2007-01-09",12.55
"6","2007-01-10",12.21
"7","2007-01-11",12.58
"8","2007-01-12",12.91
"9","2007-01-16",12.91
"10","2007-01-17",12.52
"11","2007-01-18",12.55
"12","2007-01-19",12.5
"13","2007-01-22",12.14
"14","2007-01-23",11.99
"15","2007-01-24",12.01
"16","2007-01-25",12
"17","2007-01-26",12.1
"18","2007-01-29",12.13
"19","2007-01-30",12.13
"20","2007-01-31",12.15
"21","2007-02-01",12.15
"22","2007-02-02",11.85
"23","2007-02-05",11.92
"24","2007-02-06",11.98
"25","2007-02-07",11.95
"26","2007-02-08",11.96
"27","2007-02-09",12
"28","2007-02-12",12.75
"29","2007-02-13",12.8
"30","2007-02-14",13.26
"31","2007-02-15",13.27
"32","2007-02-16",13.53
"33","2007-02-20",13.82
"34","2007-02-21",13.82
"35","2007-02-22",13.82
"36","2007-02-23",13.82
"37","2007-02-26",13.91
"38","2007-02-27",13.82
"39","2007-02-28",13.82
"40","2007-03-01",13.72
"41","2007-03-02",13.75
"42","2007-03-05",13.75
"43","2007-03-06",13.75
"44","2007-03-07",13.75
"45","2007-03-08",13.75
"46","2007-03-09",13.66
"47","2007-03-12",13.66
"48","2007-03-13",13.62
"49","2007-03-14",13.6
"50","2007-03-15",13.55
"51","2007-03-16",13.4
"52","2007-03-19",13.4
"53","2007-03-20",13.02
"54","2007-03-21",12.75
"55","2007-03-22",12.77
"56","2007-03-23",12.75
"57","2007-03-26",12.49
"58","2007-03-27",12.65
"59","2007-03-28",12.64
"60","2007-03-29",12.62
"61","2007-03-30",12.78
"62","2007-04-02",12.97
"63","2007-04-03",13.15
"64","2007-04-04",13.39
"65","2007-04-05",13.42
"66","2007-04-09",13.29
"67","2007-04-10",13.5
"68","2007-04-11",13.5
"69","2007-04-12",13.5
"70","2007-04-13",13.6
"71","2007-04-16",13.6
"72","2007-04-17",13.7
"73","2007-04-18",14.04
"74","2007-04-19",14.33
"75","2007-04-20",14.46
"76","2007-04-23",14.66
"77","2007-04-24",14.9
"78","2007-04-25",15.97
"79","2007-04-26",16.42
"80","2007-04-27",16.309999
"81","2007-04-30",16.129999
"82","2007-05-01",16.389999
"83","2007-05-02",16.34
"84","2007-05-03",16.23
"85","2007-05-04",16.43
"86","2007-05-07",16.75
"87","2007-05-08",16.950001
"88","2007-05-09",16.950001
"89","2007-05-10",17.120001
"90","2007-05-11",16.98
"91","2007-05-14",16.98
"92","2007-05-15",17.209999
"93","2007-05-16",17.549999
"94","2007-05-17",17.879999
"95","2007-05-18",18.450001
"96","2007-05-21",18.370001
"97","2007-05-22",18.1
"98","2007-05-23",17.99
"99","2007-05-24",16.17
"100","2007-05-25",15.49
"101","2007-05-29",15.5
"102","2007-05-30",15.54
"103","2007-05-31",15.7
"104","2007-06-01",15.72
"105","2007-06-04",15.8
"106","2007-06-05",16.02
"107","2007-06-06",15.67
"108","2007-06-07",16.040001
"109","2007-06-08",16.309999
"110","2007-06-11",15.9
"111","2007-06-12",15.89
"112","2007-06-13",15.99
"113","2007-06-14",16.049999
"114","2007-06-15",16
"115","2007-06-18",15.78
"116","2007-06-19",15.79
"117","2007-06-20",15.53
"118","2007-06-21",15.46
"119","2007-06-22",15.92
"120","2007-06-25",16
"121","2007-06-26",16
"122","2007-06-27",16.01
"123","2007-06-28",16.41
"124","2007-06-29",16.91
"125","2007-07-02",16.91
"126","2007-07-03",16.9
"127","2007-07-05",16.35
"128","2007-07-06",16.35
"129","2007-07-09",16.459999
"130","2007-07-10",16.559999
"131","2007-07-11",17.030001
"132","2007-07-12",17.35
"133","2007-07-13",17.469999
"134","2007-07-16",17.450001
"135","2007-07-17",17.66
"136","2007-07-18",17.66
"137","2007-07-19",17.83
"138","2007-07-20",17.709999
"139","2007-07-23",17.48
"140","2007-07-24",17.469999
"141","2007-07-25",17.4
"142","2007-07-26",17.450001
"143","2007-07-27",17.4
"144","2007-07-30",17.34
"145","2007-07-31",17.629999
"146","2007-08-01",17.5
"147","2007-08-02",17.75
"148","2007-08-03",17.75
"149","2007-08-06",17.309999
"150","2007-08-07",16.790001
"151","2007-08-08",16.25
"152","2007-08-09",16.32
"153","2007-08-10",16.219999
"154","2007-08-13",15.99
