"","date","KOS"
"1","2011-05-11",18.24
"2","2011-05-12",18
"3","2011-05-13",18.129999
"4","2011-05-16",18.16
"5","2011-05-17",17.92
"6","2011-05-18",18.23
"7","2011-05-19",18.959999
"8","2011-05-20",18.93
"9","2011-05-23",18.41
"10","2011-05-24",18.49
"11","2011-05-25",18.73
"12","2011-05-26",18.52
"13","2011-05-27",19.24
"14","2011-05-31",19.15
"15","2011-06-01",18.98
"16","2011-06-02",18.790001
"17","2011-06-03",19
"18","2011-06-06",18.41
"19","2011-06-07",18.02
"20","2011-06-08",18.17
"21","2011-06-09",18.58
"22","2011-06-10",18.299999
"23","2011-06-13",18.5
"24","2011-06-14",18.35
"25","2011-06-15",18.219999
"26","2011-06-16",18.299999
"27","2011-06-17",18.33
"28","2011-06-20",18.15
"29","2011-06-21",17.940001
"30","2011-06-22",17.85
"31","2011-06-23",17.84
"32","2011-06-24",17.34
"33","2011-06-27",17.040001
"34","2011-06-28",17.040001
"35","2011-06-29",16.629999
"36","2011-06-30",16.98
"37","2011-07-01",16.73
"38","2011-07-05",17.09
"39","2011-07-06",16.83
"40","2011-07-07",17.32
"41","2011-07-08",17.040001
"42","2011-07-11",16.77
"43","2011-07-12",16.620001
"44","2011-07-13",16.82
"45","2011-07-14",16.799999
"46","2011-07-15",16.719999
"47","2011-07-18",15.95
"48","2011-07-19",16.07
"49","2011-07-20",16.15
"50","2011-07-21",16.049999
"51","2011-07-22",15.69
"52","2011-07-25",15.28
"53","2011-07-26",15.18
"54","2011-07-27",14.95
"55","2011-07-28",15.39
"56","2011-07-29",15.19
"57","2011-08-01",15.23
"58","2011-08-02",14.9
"59","2011-08-03",14.85
"60","2011-08-04",13.54
"61","2011-08-05",13.08
"62","2011-08-08",12.28
"63","2011-08-09",12.06
"64","2011-08-10",11.51
"65","2011-08-11",11.99
"66","2011-08-12",11.59
"67","2011-08-15",12.38
"68","2011-08-16",12.52
"69","2011-08-17",12.66
"70","2011-08-18",12.59
"71","2011-08-19",12.13
"72","2011-08-22",12.01
"73","2011-08-23",12.67
"74","2011-08-24",13.4
"75","2011-08-25",13.06
"76","2011-08-26",13.14
"77","2011-08-29",13.95
"78","2011-08-30",13.94
"79","2011-08-31",13.88
"80","2011-09-01",13.33
"81","2011-09-02",13.24
"82","2011-09-06",12.67
"83","2011-09-07",13.32
"84","2011-09-08",13.07
"85","2011-09-09",12.62
"86","2011-09-12",12.17
"87","2011-09-13",12.4
"88","2011-09-14",12.74
"89","2011-09-15",13.09
"90","2011-09-16",13.32
"91","2011-09-19",13.3
"92","2011-09-20",13.28
"93","2011-09-21",12.79
"94","2011-09-22",11.71
"95","2011-09-23",12.03
"96","2011-09-26",11.85
"97","2011-09-27",12.65
"98","2011-09-28",12.07
"99","2011-09-29",12.02
"100","2011-09-30",11.71
"101","2011-10-03",10.6
"102","2011-10-04",10.53
"103","2011-10-05",10.6
"104","2011-10-06",10.86
"105","2011-10-07",10.8
