"","date","PDCO"
"1","2007-01-03",35.450001
"2","2007-01-04",35.880001
"3","2007-01-05",35.810001
"4","2007-01-08",35.77
"5","2007-01-09",35.810001
"6","2007-01-10",36.209999
"7","2007-01-11",36.639999
"8","2007-01-12",36.68
"9","2007-01-16",37
"10","2007-01-17",37.389999
"11","2007-01-18",37.470001
"12","2007-01-19",37.200001
"13","2007-01-22",36.93
"14","2007-01-23",36.799999
"15","2007-01-24",37.130001
"16","2007-01-25",36.419998
"17","2007-01-26",36.509998
"18","2007-01-29",36.57
"19","2007-01-30",37.16
"20","2007-01-31",37.610001
"21","2007-02-01",38.240002
"22","2007-02-02",38.66
"23","2007-02-05",38.5
"24","2007-02-06",38.330002
"25","2007-02-07",39.060001
"26","2007-02-08",39.66
"27","2007-02-09",38.990002
"28","2007-02-12",38.939999
"29","2007-02-13",38.93
"30","2007-02-14",39.32
"31","2007-02-15",39.470001
"32","2007-02-16",38.290001
"33","2007-02-20",38.709999
"34","2007-02-21",38.25
"35","2007-02-22",35.189999
"36","2007-02-23",34.07
"37","2007-02-26",33.52
"38","2007-02-27",32.77
"39","2007-02-28",33.380001
"40","2007-03-01",33.290001
"41","2007-03-02",33.099998
"42","2007-03-05",32.830002
"43","2007-03-06",33.330002
"44","2007-03-07",33.060001
"45","2007-03-08",33.23
"46","2007-03-09",33.279999
"47","2007-03-12",33.25
"48","2007-03-13",32.549999
"49","2007-03-14",33.02
"50","2007-03-15",33.029999
"51","2007-03-16",33.18
"52","2007-03-19",33.41
"53","2007-03-20",33.419998
"54","2007-03-21",33.740002
"55","2007-03-22",33.299999
"56","2007-03-23",33
"57","2007-03-26",33.02
"58","2007-03-27",33
"59","2007-03-28",33.220001
"60","2007-03-29",35.299999
"61","2007-03-30",35.490002
"62","2007-04-02",35.580002
"63","2007-04-03",35.939999
"64","2007-04-04",35.990002
"65","2007-04-05",36.360001
"66","2007-04-09",36.16
"67","2007-04-10",36.709999
"68","2007-04-11",36.07
"69","2007-04-12",36.209999
"70","2007-04-13",36.419998
"71","2007-04-16",36.549999
"72","2007-04-17",36.529999
"73","2007-04-18",36.23
"74","2007-04-19",35.959999
"75","2007-04-20",36.790001
"76","2007-04-23",36.75
"77","2007-04-24",36.560001
"78","2007-04-25",36.68
"79","2007-04-26",36.470001
"80","2007-04-27",36.279999
"81","2007-04-30",36.060001
"82","2007-05-01",36.240002
"83","2007-05-02",36.700001
"84","2007-05-03",36.84
"85","2007-05-04",36.740002
"86","2007-05-07",36.470001
"87","2007-05-08",36.349998
"88","2007-05-09",36.849998
"89","2007-05-10",35.509998
"90","2007-05-11",35.029999
"91","2007-05-14",34.799999
"92","2007-05-15",34.689999
"93","2007-05-16",34.75
"94","2007-05-17",34.130001
"95","2007-05-18",34.299999
"96","2007-05-21",34.259998
"97","2007-05-22",34.630001
"98","2007-05-23",34.779999
"99","2007-05-24",35.580002
"100","2007-05-25",37.25
"101","2007-05-29",37.360001
"102","2007-05-30",37.34
"103","2007-05-31",37.52
"104","2007-06-01",37.470001
"105","2007-06-04",38.02
"106","2007-06-05",37.98
