"","date","HUSN"
"1","2017-08-08",12.3
"2","2017-08-09",11.98
"3","2017-08-10",11.13
"4","2017-08-11",12.09
"5","2017-08-14",12.259
"6","2017-08-15",13.184
"7","2017-08-16",12.864
"8","2017-08-17",12.89
"9","2017-08-18",12.9
"10","2017-08-21",12.81
"11","2017-08-22",12.5
"12","2017-08-23",12.54
"13","2017-08-24",12.52
"14","2017-08-25",12.5
"15","2017-08-28",12.37
"16","2017-08-29",12.34
"17","2017-08-30",12.39
"18","2017-08-31",12.4
"19","2017-09-01",12.35
"20","2017-09-05",12.32
"21","2017-09-06",12.69
"22","2017-09-07",12.7
"23","2017-09-08",12.73
"24","2017-09-11",12.77
"25","2017-09-12",12.81
"26","2017-09-13",13.62
"27","2017-09-14",13.7
"28","2017-09-15",14.26
"29","2017-09-18",14.72
"30","2017-09-19",15.02
"31","2017-09-20",15
"32","2017-09-21",15.04
"33","2017-09-22",14.96
"34","2017-09-25",15.98
"35","2017-09-26",18.120001
"36","2017-09-27",20.040001
"37","2017-09-28",20.040001
"38","2017-09-29",19.959999
"39","2017-10-02",21.049999
"40","2017-10-03",20.85
"41","2017-10-04",23.200001
"42","2017-10-05",23.110001
"43","2017-10-06",22.9
"44","2017-10-09",23.67
"45","2017-10-10",23.51
"46","2017-10-11",23.48
"47","2017-10-12",22.799999
"48","2017-10-13",22.549999
"49","2017-10-16",22.9
"50","2017-10-17",22.459999
"51","2017-10-18",28.9
"52","2017-10-19",29.205
"53","2017-10-20",29.51
"54","2017-10-23",31.469999
"55","2017-10-24",32.110001
"56","2017-10-25",33.009998
"57","2017-10-26",37.349998
"58","2017-10-27",40.139999
"59","2017-10-30",41.299999
"60","2017-10-31",41.400002
"61","2017-11-01",30.200001
"62","2017-11-02",37.889999
"63","2017-11-03",38.950001
"64","2017-11-06",40.380001
"65","2017-11-07",47.700001
"66","2017-11-08",48.439999
"67","2017-11-09",48.23
"68","2017-11-10",49.299999
"69","2017-11-13",48.41
"70","2017-11-14",49.790001
"71","2017-11-15",55.200001
"72","2017-11-16",57.540001
"73","2017-11-17",59.099998
"74","2017-11-20",60.619999
"75","2017-11-21",59.580002
"76","2017-11-22",58.66
"77","2017-11-24",59.299999
"78","2017-11-27",58.48
"79","2017-11-28",61
"80","2017-11-29",58.130001
"81","2017-11-30",58.139999
"82","2017-12-01",58.790001
