"","date","BBIO"
"1","2019-06-27",27.549999
"2","2019-06-28",26.969999
"3","2019-07-01",27.370001
"4","2019-07-02",27.040001
"5","2019-07-03",28.610001
"6","2019-07-05",28.99
"7","2019-07-08",28.200001
"8","2019-07-09",27.360001
"9","2019-07-10",27.6
"10","2019-07-11",29.77
"11","2019-07-12",28.620001
"12","2019-07-15",27.84
"13","2019-07-16",25.940001
"14","2019-07-17",26.120001
"15","2019-07-18",26
"16","2019-07-19",27.51
"17","2019-07-22",30.34
"18","2019-07-23",28.83
"19","2019-07-24",28.120001
"20","2019-07-25",26.790001
"21","2019-07-26",28.370001
"22","2019-07-29",28.690001
"23","2019-07-30",27.780001
"24","2019-07-31",29.35
"25","2019-08-01",29.690001
"26","2019-08-02",28.290001
"27","2019-08-05",26.9
"28","2019-08-06",27.879999
"29","2019-08-07",29.469999
"30","2019-08-08",29.82
"31","2019-08-09",26.879999
"32","2019-08-12",26.190001
"33","2019-08-13",26.76
"34","2019-08-14",25.889999
"35","2019-08-15",26.76
"36","2019-08-16",27.459999
"37","2019-08-19",28.049999
"38","2019-08-20",28.66
"39","2019-08-21",29.82
"40","2019-08-22",29.799999
"41","2019-08-23",29.309999
"42","2019-08-26",30.49
"43","2019-08-27",31.26
"44","2019-08-28",29.610001
"45","2019-08-29",30.709999
"46","2019-08-30",30.48
"47","2019-09-03",32.380001
"48","2019-09-04",31.48
"49","2019-09-05",31.32
"50","2019-09-06",30.93
"51","2019-09-09",28.35
"52","2019-09-10",26.549999
"53","2019-09-11",26.950001
"54","2019-09-12",26.1
"55","2019-09-13",25.91
"56","2019-09-16",25.379999
"57","2019-09-17",24.860001
"58","2019-09-18",24.75
"59","2019-09-19",24.530001
"60","2019-09-20",26.27
"61","2019-09-23",27.605
"62","2019-09-24",25.459999
"63","2019-09-25",23.389999
"64","2019-09-26",21.24
"65","2019-09-27",20.129999
"66","2019-09-30",21.469999
"67","2019-10-01",20.9
"68","2019-10-02",19.57
"69","2019-10-03",20.17
"70","2019-10-04",19.43
"71","2019-10-07",19.629999
"72","2019-10-08",19.110001
"73","2019-10-09",18.35
"74","2019-10-10",18.75
"75","2019-10-11",18.530001
"76","2019-10-14",18.120001
"77","2019-10-15",18.620001
"78","2019-10-16",17.959999
"79","2019-10-17",18.51
"80","2019-10-18",18.209999
"81","2019-10-21",18.629999
"82","2019-10-22",18.4
"83","2019-10-23",18.48
"84","2019-10-24",18.51
"85","2019-10-25",18.719999
"86","2019-10-28",19.440001
"87","2019-10-29",20
"88","2019-10-30",20.26
"89","2019-10-31",22.610001
"90","2019-11-01",24.15
"91","2019-11-04",23.08
"92","2019-11-05",23.209999
"93","2019-11-06",22.16
"94","2019-11-07",24.42
"95","2019-11-08",27.059999
"96","2019-11-11",26.75
"97","2019-11-12",27.959999
"98","2019-11-13",26.280001
"99","2019-11-14",27.57
"100","2019-11-15",28.26
"101","2019-11-18",29.07
"102","2019-11-19",30.290001
"103","2019-11-20",33.290001
"104","2019-11-21",33.540001
"105","2019-11-22",34
"106","2019-11-25",31.040001
"107","2019-11-26",28.290001
"108","2019-11-27",29.84
"109","2019-11-29",29
"110","2019-12-02",31.139999
"111","2019-12-03",30.559999
"112","2019-12-04",33.919998
"113","2019-12-05",32.200001
"114","2019-12-06",33.02
"115","2019-12-09",36.259998
"116","2019-12-10",36.93
"117","2019-12-11",36.73
"118","2019-12-12",37.450001
"119","2019-12-13",36.5
"120","2019-12-16",35.16
"121","2019-12-17",34.939999
"122","2019-12-18",38.459999
"123","2019-12-19",36.75
"124","2019-12-20",41.540001
"125","2019-12-23",46.630001
"126","2019-12-24",45.5
"127","2019-12-26",43
"128","2019-12-27",36.84
"129","2019-12-30",35.439999
"130","2019-12-31",35.049999
"131","2020-01-02",33.220001
"132","2020-01-03",32.220001
"133","2020-01-06",34.849998
"134","2020-01-07",34.610001
"135","2020-01-08",34.18
"136","2020-01-09",33.560001
"137","2020-01-10",31.02
"138","2020-01-13",33.610001
"139","2020-01-14",34.580002
"140","2020-01-15",34.509998
"141","2020-01-16",35
