"","date","WBK"
"1","2007-01-03",19.124001
"2","2007-01-04",18.9
"3","2007-01-05",18.450001
"4","2007-01-08",18.408001
"5","2007-01-09",18.83
"6","2007-01-10",18.559999
"7","2007-01-11",18.9
"8","2007-01-12",19.01
"9","2007-01-16",18.898001
"10","2007-01-17",18.870001
"11","2007-01-18",19
"12","2007-01-19",19.25
"13","2007-01-22",19.417999
"14","2007-01-23",19.799999
"15","2007-01-24",19.658001
"16","2007-01-25",19.454
"17","2007-01-26",19.312
"18","2007-01-29",19.25
"19","2007-01-30",19.496
"20","2007-01-31",19.6
"21","2007-02-01",19.778
"22","2007-02-02",19.784
"23","2007-02-05",19.620001
"24","2007-02-06",19.972
"25","2007-02-07",19.968
"26","2007-02-08",19.959999
"27","2007-02-09",19.796
"28","2007-02-12",19.573999
"29","2007-02-13",20.056
"30","2007-02-14",20.101999
"31","2007-02-15",20.23
"32","2007-02-16",19.98
"33","2007-02-20",20.266001
"34","2007-02-21",20.252001
"35","2007-02-22",20.66
"36","2007-02-23",20.615999
"37","2007-02-26",20.690001
"38","2007-02-27",19.93
"39","2007-02-28",20.072001
"40","2007-03-01",19.643999
"41","2007-03-02",19.540001
"42","2007-03-05",19.011999
"43","2007-03-06",19.927999
"44","2007-03-07",20.01
"45","2007-03-08",20.152
"46","2007-03-09",20.129999
"47","2007-03-12",20.464001
"48","2007-03-13",20
"49","2007-03-14",19.870001
"50","2007-03-15",20.282
"51","2007-03-16",20.313999
"52","2007-03-19",20.440001
"53","2007-03-20",20.784
"54","2007-03-21",21.120001
"55","2007-03-22",21.233999
"56","2007-03-23",21.18
"57","2007-03-26",21.280001
"58","2007-03-27",21.09
"59","2007-03-28",20.780001
"60","2007-03-29",21.208
"61","2007-03-30",21.35
"62","2007-04-02",21.327999
"63","2007-04-03",21.416
"64","2007-04-04",21.530001
"65","2007-04-05",21.530001
"66","2007-04-09",21.360001
"67","2007-04-10",21.927999
"68","2007-04-11",21.73
"69","2007-04-12",22.016001
"70","2007-04-13",21.969999
"71","2007-04-16",22.275999
"72","2007-04-17",22.757999
"73","2007-04-18",22.978001
"74","2007-04-19",22.724001
"75","2007-04-20",23.038
"76","2007-04-23",22.700001
"77","2007-04-24",22.507999
"78","2007-04-25",22.856001
"79","2007-04-26",22.620001
"80","2007-04-27",22.372
"81","2007-04-30",22.26
"82","2007-05-01",22.525999
"83","2007-05-02",22.757999
"84","2007-05-03",22.511999
"85","2007-05-04",22.483999
"86","2007-05-07",22.620001
"87","2007-05-08",22.57
"88","2007-05-09",22.587999
"89","2007-05-10",22.368
"90","2007-05-11",22.804001
"91","2007-05-14",23.016001
"92","2007-05-15",22.92
"93","2007-05-16",22.889999
"94","2007-05-17",22.757999
"95","2007-05-18",22.459999
"96","2007-05-21",22.198
"97","2007-05-22",22.018
