"","date","OFS"
"1","2012-11-08",14.35
"2","2012-11-09",13.68
"3","2012-11-12",13.55
"4","2012-11-13",13.3
"5","2012-11-14",13.15
"6","2012-11-15",12.88
"7","2012-11-16",13.65
"8","2012-11-19",13.55
"9","2012-11-20",13.65
"10","2012-11-21",13.51
"11","2012-11-23",13.86
"12","2012-11-26",13.75
"13","2012-11-27",13.99
"14","2012-11-28",13.96
"15","2012-11-29",14.37
"16","2012-11-30",14.11
"17","2012-12-03",13.9
"18","2012-12-04",14.15
"19","2012-12-05",14
"20","2012-12-06",13.9
"21","2012-12-07",13.63
"22","2012-12-10",13.66
"23","2012-12-11",13.58
"24","2012-12-12",13.87
"25","2012-12-13",13.41
"26","2012-12-14",13.62
"27","2012-12-17",13.6
"28","2012-12-18",13.63
"29","2012-12-19",13.6
"30","2012-12-20",13.85
"31","2012-12-21",13.67
"32","2012-12-24",13.76
"33","2012-12-26",13.55
"34","2012-12-27",13.14
"35","2012-12-28",13.43
"36","2012-12-31",13.69
"37","2013-01-02",14.03
"38","2013-01-03",14.36
"39","2013-01-04",14.32
"40","2013-01-07",14.04
"41","2013-01-08",14.18
"42","2013-01-09",14.15
"43","2013-01-10",14.28
"44","2013-01-11",14.21
"45","2013-01-14",14.33
"46","2013-01-15",14.24
"47","2013-01-16",13.87
"48","2013-01-17",14.08
"49","2013-01-18",13.9
"50","2013-01-22",14.17
"51","2013-01-23",14.2
"52","2013-01-24",14.2
"53","2013-01-25",14.19
"54","2013-01-28",14.21
"55","2013-01-29",14.36
"56","2013-01-30",14.35
"57","2013-01-31",14.37
"58","2013-02-01",14.5
"59","2013-02-04",14.15
"60","2013-02-05",14.48
"61","2013-02-06",14.46
"62","2013-02-07",14.35
"63","2013-02-08",14.29
"64","2013-02-11",14.26
"65","2013-02-12",14.4
"66","2013-02-13",14.27
"67","2013-02-14",14.34
"68","2013-02-15",14.34
"69","2013-02-19",14.39
"70","2013-02-20",14.27
"71","2013-02-21",14.2
"72","2013-02-22",14.15
"73","2013-02-25",14.15
"74","2013-02-26",14.18
"75","2013-02-27",14.27
"76","2013-02-28",14.46
"77","2013-03-01",14.54
"78","2013-03-04",14.43
"79","2013-03-05",14.51
"80","2013-03-06",14.12
"81","2013-03-07",14.42
"82","2013-03-08",14.36
"83","2013-03-11",14.5
"84","2013-03-12",14.53
"85","2013-03-13",14.4
"86","2013-03-14",14.49
"87","2013-03-15",14.43
"88","2013-03-18",14.45
"89","2013-03-19",14.33
"90","2013-03-20",14.49
"91","2013-03-21",14.41
"92","2013-03-22",14.22
"93","2013-03-25",14.34
"94","2013-03-26",14.41
"95","2013-03-27",14.2
"96","2013-03-28",14
"97","2013-04-01",13.88
"98","2013-04-02",14.06
"99","2013-04-03",13.88
"100","2013-04-04",14.05
"101","2013-04-05",14.16
"102","2013-04-08",14.25
"103","2013-04-09",14.17
"104","2013-04-10",14.4
"105","2013-04-11",14.54
"106","2013-04-12",14.31
"107","2013-04-15",13.71
"108","2013-04-16",13.71
"109","2013-04-17",13.39
"110","2013-04-18",13.42
"111","2013-04-19",13.57
"112","2013-04-22",13.59
"113","2013-04-23",13.63
"114","2013-04-24",13.98
"115","2013-04-25",13.93
"116","2013-04-26",13.8
"117","2013-04-29",13.88
"118","2013-04-30",13.95
"119","2013-05-01",13.75
"120","2013-05-02",13.84
"121","2013-05-03",13.65
"122","2013-05-06",13.75
"123","2013-05-07",13.95
"124","2013-05-08",13.66
"125","2013-05-09",13.12
"126","2013-05-10",12.71
"127","2013-05-13",12.49
"128","2013-05-14",12.27
"129","2013-05-15",12.52
"130","2013-05-16",12.33
"131","2013-05-17",12.37
"132","2013-05-20",12.13
"133","2013-05-21",12.3
"134","2013-05-22",12.24
"135","2013-05-23",12.1
"136","2013-05-24",11.97
"137","2013-05-28",12.2
"138","2013-05-29",11.82
"139","2013-05-30",11.83
"140","2013-05-31",11.47
"141","2013-06-03",11.42
"142","2013-06-04",11.22
"143","2013-06-05",11.29
"144","2013-06-06",11.24
"145","2013-06-07",11.56
"146","2013-06-10",11.79
"147","2013-06-11",11.51
"148","2013-06-12",11.22
"149","2013-06-13",11.62
"150","2013-06-14",11.59
"151","2013-06-17",11.68
"152","2013-06-18",11.98
"153","2013-06-19",11.8
"154","2013-06-20",11.55
"155","2013-06-21",11.34
"156","2013-06-24",11.18
"157","2013-06-25",11.46
"158","2013-06-26",11.58
"159","2013-06-27",11.75
"160","2013-06-28",11.9
"161","2013-07-01",11.71
"162","2013-07-02",11.66
"163","2013-07-03",11.76
"164","2013-07-05",11.73
"165","2013-07-08",11.95
"166","2013-07-09",12
"167","2013-07-10",11.98
"168","2013-07-11",12.21
"169","2013-07-12",12.42
"170","2013-07-15",12.07
"171","2013-07-16",11.91
"172","2013-07-17",11.86
"173","2013-07-18",11.85
"174","2013-07-19",11.92
"175","2013-07-22",11.91
"176","2013-07-23",11.95
"177","2013-07-24",11.9
"178","2013-07-25",12.01
"179","2013-07-26",11.98
"180","2013-07-29",11.93
"181","2013-07-30",11.87
"182","2013-07-31",12.16
"183","2013-08-01",12.13
