"","date","SWK"
"1","2007-01-03",50.779999
"2","2007-01-04",51.099998
"3","2007-01-05",50.900002
"4","2007-01-08",50.709999
"5","2007-01-09",51.630001
"6","2007-01-10",52.23
"7","2007-01-11",52.970001
"8","2007-01-12",53.220001
"9","2007-01-16",53.259998
"10","2007-01-17",53.52
"11","2007-01-18",54.060001
"12","2007-01-19",53.09
"13","2007-01-22",53.259998
"14","2007-01-23",53.48
"15","2007-01-24",53.880001
"16","2007-01-25",52.849998
"17","2007-01-26",55.57
"18","2007-01-29",55.540001
"19","2007-01-30",56.110001
"20","2007-01-31",57.259998
"21","2007-02-01",58.139999
"22","2007-02-02",58.950001
"23","2007-02-05",57.700001
"24","2007-02-06",58.169998
"25","2007-02-07",58.09
"26","2007-02-08",57.849998
"27","2007-02-09",57
"28","2007-02-12",56.48
"29","2007-02-13",56.709999
"30","2007-02-14",57.380001
"31","2007-02-15",57.59
"32","2007-02-16",57.049999
"33","2007-02-20",57.529999
"34","2007-02-21",57.91
"35","2007-02-22",57.630001
"36","2007-02-23",57.619999
"37","2007-02-26",57.720001
"38","2007-02-27",55.41
"39","2007-02-28",55.57
"40","2007-03-01",55.509998
"41","2007-03-02",54.389999
"42","2007-03-05",53.049999
"43","2007-03-06",55.59
"44","2007-03-07",55.950001
"45","2007-03-08",56.59
"46","2007-03-09",56.400002
"47","2007-03-12",56.599998
"48","2007-03-13",55.560001
"49","2007-03-14",54.450001
"50","2007-03-15",54.279999
"51","2007-03-16",53.779999
"52","2007-03-19",54.080002
"53","2007-03-20",54.560001
"54","2007-03-21",55.59
"55","2007-03-22",55.619999
"56","2007-03-23",55.950001
"57","2007-03-26",55.400002
"58","2007-03-27",55.400002
"59","2007-03-28",55.169998
"60","2007-03-29",55.32
"61","2007-03-30",55.360001
"62","2007-04-02",55.810001
"63","2007-04-03",56.529999
"64","2007-04-04",56.549999
"65","2007-04-05",56.5
"66","2007-04-09",56.119999
"67","2007-04-10",56
"68","2007-04-11",55.18
"69","2007-04-12",55.330002
"70","2007-04-13",55.709999
"71","2007-04-16",57.02
"72","2007-04-17",57.400002
"73","2007-04-18",57.740002
"74","2007-04-19",57.91
"75","2007-04-20",58.470001
"76","2007-04-23",58.540001
"77","2007-04-24",59.450001
"78","2007-04-25",61.009998
"79","2007-04-26",59.869999
"80","2007-04-27",60.080002
"81","2007-04-30",58.279999
"82","2007-05-01",58.560001
"83","2007-05-02",58.84
"84","2007-05-03",59.369999
"85","2007-05-04",59.369999
"86","2007-05-07",59.509998
"87","2007-05-08",59.700001
"88","2007-05-09",60.34
"89","2007-05-10",59.5
"90","2007-05-11",60.009998
"91","2007-05-14",59.759998
"92","2007-05-15",58.959999
"93","2007-05-16",59.66
"94","2007-05-17",59.220001
"95","2007-05-18",59.830002
"96","2007-05-21",60.939999
"97","2007-05-22",61.540001
"98","2007-05-23",62.279999
"99","2007-05-24",61.330002
"100","2007-05-25",61.77
"101","2007-05-29",62.27
"102","2007-05-30",62.860001
"103","2007-05-31",63.23
"104","2007-06-01",63.130001
"105","2007-06-04",62.650002
"106","2007-06-05",62.93
"107","2007-06-06",61.240002
"108","2007-06-07",59.57
"109","2007-06-08",60.439999
"110","2007-06-11",59.970001
"111","2007-06-12",59.18
"112","2007-06-13",60.84
"113","2007-06-14",60.82
"114","2007-06-15",60.919998
"115","2007-06-18",60.740002
"116","2007-06-19",60.849998
"117","2007-06-20",60.599998
"118","2007-06-21",60.34
"119","2007-06-22",59.5
"120","2007-06-25",60.869999
"121","2007-06-26",60.650002
"122","2007-06-27",61.16
"123","2007-06-28",61.139999
"124","2007-06-29",60.700001
"125","2007-07-02",61.720001
"126","2007-07-03",62.110001
"127","2007-07-05",61.860001
"128","2007-07-06",62.650002
"129","2007-07-09",61.98
"130","2007-07-10",60.77
"131","2007-07-11",61.220001
"132","2007-07-12",63.349998
"133","2007-07-13",62.740002
"134","2007-07-16",62.82
"135","2007-07-17",63.349998
"136","2007-07-18",62.75
"137","2007-07-19",63.919998
